,date,from,to,load,pv
55,2017-01-02 00:00:00,2017-01-02 13:45:00,2017-01-02 14:00:00,24442.0,613.78
56,2017-01-02 00:00:00,2017-01-02 14:00:00,2017-01-02 14:15:00,24424.0,610.06
57,2017-01-02 00:00:00,2017-01-02 14:15:00,2017-01-02 14:30:00,24625.0,567.55
58,2017-01-02 00:00:00,2017-01-02 14:30:00,2017-01-02 14:45:00,24444.0,514.76
59,2017-01-02 00:00:00,2017-01-02 14:45:00,2017-01-02 15:00:00,24229.0,407.07
60,2017-01-02 00:00:00,2017-01-02 15:00:00,2017-01-02 15:15:00,24322.0,325.48
61,2017-01-02 00:00:00,2017-01-02 15:15:00,2017-01-02 15:30:00,24169.0,254.18
62,2017-01-02 00:00:00,2017-01-02 15:30:00,2017-01-02 15:45:00,24103.0,176.08
63,2017-01-02 00:00:00,2017-01-02 15:45:00,2017-01-02 16:00:00,23957.0,102.93
64,2017-01-02 00:00:00,2017-01-02 16:00:00,2017-01-02 16:15:00,23933.0,47.35
65,2017-01-02 00:00:00,2017-01-02 16:15:00,2017-01-02 16:30:00,23945.0,13.58
66,2017-01-02 00:00:00,2017-01-02 16:30:00,2017-01-02 16:45:00,24232.0,1.25
67,2017-01-02 00:00:00,2017-01-02 16:45:00,2017-01-02 17:00:00,24627.0,0.0
68,2017-01-02 00:00:00,2017-01-02 17:00:00,2017-01-02 17:15:00,25192.0,0.0
69,2017-01-02 00:00:00,2017-01-02 17:15:00,2017-01-02 17:30:00,25491.0,0.0
70,2017-01-02 00:00:00,2017-01-02 17:30:00,2017-01-02 17:45:00,25608.0,0.0
71,2017-01-02 00:00:00,2017-01-02 17:45:00,2017-01-02 18:00:00,25666.0,0.0
72,2017-01-02 00:00:00,2017-01-02 18:00:00,2017-01-02 18:15:00,25470.0,0.0
73,2017-01-02 00:00:00,2017-01-02 18:15:00,2017-01-02 18:30:00,25331.0,0.0
74,2017-01-02 00:00:00,2017-01-02 18:30:00,2017-01-02 18:45:00,25354.0,0.0
75,2017-01-02 00:00:00,2017-01-02 18:45:00,2017-01-02 19:00:00,25305.0,0.0
76,2017-01-02 00:00:00,2017-01-02 19:00:00,2017-01-02 19:15:00,25200.0,0.0
77,2017-01-02 00:00:00,2017-01-02 19:15:00,2017-01-02 19:30:00,25154.0,0.0
78,2017-01-02 00:00:00,2017-01-02 19:30:00,2017-01-02 19:45:00,25138.0,0.0
79,2017-01-02 00:00:00,2017-01-02 19:45:00,2017-01-02 20:00:00,25006.0,0.0
80,2017-01-02 00:00:00,2017-01-02 20:00:00,2017-01-02 20:15:00,24475.0,0.0
81,2017-01-02 00:00:00,2017-01-02 20:15:00,2017-01-02 20:30:00,24013.0,0.0
82,2017-01-02 00:00:00,2017-01-02 20:30:00,2017-01-02 20:45:00,23714.0,0.0
83,2017-01-02 00:00:00,2017-01-02 20:45:00,2017-01-02 21:00:00,23478.0,0.0
84,2017-01-02 00:00:00,2017-01-02 21:00:00,2017-01-02 21:15:00,23014.0,0.0
85,2017-01-02 00:00:00,2017-01-02 21:15:00,2017-01-02 21:30:00,22680.0,0.0
86,2017-01-02 00:00:00,2017-01-02 21:30:00,2017-01-02 21:45:00,22453.0,0.0
87,2017-01-02 00:00:00,2017-01-02 21:45:00,2017-01-02 22:00:00,22468.0,0.0
88,2017-01-02 00:00:00,2017-01-02 22:00:00,2017-01-02 22:15:00,22395.0,0.0
89,2017-01-02 00:00:00,2017-01-02 22:15:00,2017-01-02 22:30:00,22207.0,0.0
90,2017-01-02 00:00:00,2017-01-02 22:30:00,2017-01-02 22:45:00,21875.0,0.0
91,2017-01-02 00:00:00,2017-01-02 22:45:00,2017-01-02 23:00:00,21634.0,0.0
92,2017-01-02 00:00:00,2017-01-02 23:00:00,2017-01-02 23:15:00,21424.0,0.0
93,2017-01-02 00:00:00,2017-01-02 23:15:00,2017-01-02 23:30:00,21163.0,0.0
94,2017-01-02 00:00:00,2017-01-02 23:30:00,2017-01-02 23:45:00,20743.0,0.0
95,2017-01-02 00:00:00,2017-01-02 23:45:00,2017-01-03 00:00:00,20490.0,0.0
96,2017-01-03 00:00:00,2017-01-03 00:00:00,2017-01-03 00:15:00,20338.0,0.0
97,2017-01-03 00:00:00,2017-01-03 00:15:00,2017-01-03 00:30:00,20049.0,0.0
98,2017-01-03 00:00:00,2017-01-03 00:30:00,2017-01-03 00:45:00,19730.0,0.0
99,2017-01-03 00:00:00,2017-01-03 00:45:00,2017-01-03 01:00:00,19163.0,0.0
100,2017-01-03 00:00:00,2017-01-03 01:00:00,2017-01-03 01:15:00,18799.0,0.0
101,2017-01-03 00:00:00,2017-01-03 01:15:00,2017-01-03 01:30:00,18748.0,0.0
102,2017-01-03 00:00:00,2017-01-03 01:30:00,2017-01-03 01:45:00,18685.0,0.0
103,2017-01-03 00:00:00,2017-01-03 01:45:00,2017-01-03 02:00:00,18568.0,0.0
104,2017-01-03 00:00:00,2017-01-03 02:00:00,2017-01-03 02:15:00,18393.0,0.0
105,2017-01-03 00:00:00,2017-01-03 02:15:00,2017-01-03 02:30:00,18367.0,0.0
106,2017-01-03 00:00:00,2017-01-03 02:30:00,2017-01-03 02:45:00,18422.0,0.0
107,2017-01-03 00:00:00,2017-01-03 02:45:00,2017-01-03 03:00:00,18383.0,0.0
108,2017-01-03 00:00:00,2017-01-03 03:00:00,2017-01-03 03:15:00,18480.0,0.0
109,2017-01-03 00:00:00,2017-01-03 03:15:00,2017-01-03 03:30:00,18537.0,0.0
110,2017-01-03 00:00:00,2017-01-03 03:30:00,2017-01-03 03:45:00,18563.0,0.0
111,2017-01-03 00:00:00,2017-01-03 03:45:00,2017-01-03 04:00:00,18605.0,0.0
112,2017-01-03 00:00:00,2017-01-03 04:00:00,2017-01-03 04:15:00,18647.0,0.0
113,2017-01-03 00:00:00,2017-01-03 04:15:00,2017-01-03 04:30:00,18790.0,0.0
114,2017-01-03 00:00:00,2017-01-03 04:30:00,2017-01-03 04:45:00,18952.0,0.0
115,2017-01-03 00:00:00,2017-01-03 04:45:00,2017-01-03 05:00:00,18984.0,0.0
116,2017-01-03 00:00:00,2017-01-03 05:00:00,2017-01-03 05:15:00,19349.0,0.0
117,2017-01-03 00:00:00,2017-01-03 05:15:00,2017-01-03 05:30:00,19562.0,0.0
118,2017-01-03 00:00:00,2017-01-03 05:30:00,2017-01-03 05:45:00,19713.0,0.0
119,2017-01-03 00:00:00,2017-01-03 05:45:00,2017-01-03 06:00:00,20039.0,0.0
120,2017-01-03 00:00:00,2017-01-03 06:00:00,2017-01-03 06:15:00,20961.0,0.0
121,2017-01-03 00:00:00,2017-01-03 06:15:00,2017-01-03 06:30:00,21468.0,0.0
122,2017-01-03 00:00:00,2017-01-03 06:30:00,2017-01-03 06:45:00,21943.0,0.0
123,2017-01-03 00:00:00,2017-01-03 06:45:00,2017-01-03 07:00:00,22492.0,0.0
124,2017-01-03 00:00:00,2017-01-03 07:00:00,2017-01-03 07:15:00,23024.0,0.0
125,2017-01-03 00:00:00,2017-01-03 07:15:00,2017-01-03 07:30:00,23344.0,0.0
126,2017-01-03 00:00:00,2017-01-03 07:30:00,2017-01-03 07:45:00,23953.0,0.0
127,2017-01-03 00:00:00,2017-01-03 07:45:00,2017-01-03 08:00:00,24510.0,0.0
128,2017-01-03 00:00:00,2017-01-03 08:00:00,2017-01-03 08:15:00,24904.0,0.44
