"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"01.01.2016 00:00 - 01.01.2016 00:15","5570","7297"
"01.01.2016 00:15 - 01.01.2016 00:30","5414","7251"
"01.01.2016 00:30 - 01.01.2016 00:45","5295","7239"
"01.01.2016 00:45 - 01.01.2016 01:00","5190","7202"
"01.01.2016 01:00 - 01.01.2016 01:15","5132","7185"
"01.01.2016 01:15 - 01.01.2016 01:30","5078","7025"
"01.01.2016 01:30 - 01.01.2016 01:45","5002","6934"
"01.01.2016 01:45 - 01.01.2016 02:00","4952","6827"
"01.01.2016 02:00 - 01.01.2016 02:15","4940","6842"
"01.01.2016 02:15 - 01.01.2016 02:30","4919","6754"
"01.01.2016 02:30 - 01.01.2016 02:45","4896","6695"
"01.01.2016 02:45 - 01.01.2016 03:00","4897","6653"
"01.01.2016 03:00 - 01.01.2016 03:15","4928","6654"
"01.01.2016 03:15 - 01.01.2016 03:30","4929","6681"
"01.01.2016 03:30 - 01.01.2016 03:45","4909","6617"
"01.01.2016 03:45 - 01.01.2016 04:00","4876","6549"
"01.01.2016 04:00 - 01.01.2016 04:15","4911","6620"
"01.01.2016 04:15 - 01.01.2016 04:30","4913","6703"
"01.01.2016 04:30 - 01.01.2016 04:45","4902","6675"
"01.01.2016 04:45 - 01.01.2016 05:00","4870","6681"
"01.01.2016 05:00 - 01.01.2016 05:15","4896","6712"
"01.01.2016 05:15 - 01.01.2016 05:30","4883","6565"
"01.01.2016 05:30 - 01.01.2016 05:45","4840","6385"
"01.01.2016 05:45 - 01.01.2016 06:00","4689","6266"
"01.01.2016 06:00 - 01.01.2016 06:15","4605","6153"
"01.01.2016 06:15 - 01.01.2016 06:30","4558","6093"
"01.01.2016 06:30 - 01.01.2016 06:45","4610","6052"
"01.01.2016 06:45 - 01.01.2016 07:00","4700","6121"
"01.01.2016 07:00 - 01.01.2016 07:15","4801","6187"
"01.01.2016 07:15 - 01.01.2016 07:30","4911","6299"
"01.01.2016 07:30 - 01.01.2016 07:45","5309","6332"
"01.01.2016 07:45 - 01.01.2016 08:00","5465","6414"
"01.01.2016 08:00 - 01.01.2016 08:15","5568","6388"
"01.01.2016 08:15 - 01.01.2016 08:30","5731","6427"
"01.01.2016 08:30 - 01.01.2016 08:45","5863","6522"
"01.01.2016 08:45 - 01.01.2016 09:00","5991","6663"
"01.01.2016 09:00 - 01.01.2016 09:15","6124","6809"
"01.01.2016 09:15 - 01.01.2016 09:30","6218","6913"
"01.01.2016 09:30 - 01.01.2016 09:45","6253","6965"
"01.01.2016 09:45 - 01.01.2016 10:00","6303","7062"
"01.01.2016 10:00 - 01.01.2016 10:15","6451","7247"
"01.01.2016 10:15 - 01.01.2016 10:30","6619","7407"
"01.01.2016 10:30 - 01.01.2016 10:45","6747","7563"
"01.01.2016 10:45 - 01.01.2016 11:00","6887","7708"
"01.01.2016 11:00 - 01.01.2016 11:15","7089","7910"
"01.01.2016 11:15 - 01.01.2016 11:30","7213","8155"
"01.01.2016 11:30 - 01.01.2016 11:45","7340","8273"
"01.01.2016 11:45 - 01.01.2016 12:00","7366","8238"
"01.01.2016 12:00 - 01.01.2016 12:15","7171","8254"
"01.01.2016 12:15 - 01.01.2016 12:30","7015","8155"
"01.01.2016 12:30 - 01.01.2016 12:45","6793","8072"
"01.01.2016 12:45 - 01.01.2016 13:00","6607","7985"
"01.01.2016 13:00 - 01.01.2016 13:15","6529","7968"
"01.01.2016 13:15 - 01.01.2016 13:30","6380","7892"
"01.01.2016 13:30 - 01.01.2016 13:45","6273","7893"
"01.01.2016 13:45 - 01.01.2016 14:00","6214","7832"
"01.01.2016 14:00 - 01.01.2016 14:15","6191","7838"
"01.01.2016 14:15 - 01.01.2016 14:30","6155","7829"
"01.01.2016 14:30 - 01.01.2016 14:45","6144","7767"
"01.01.2016 14:45 - 01.01.2016 15:00","6109","7784"
"01.01.2016 15:00 - 01.01.2016 15:15","6164","7881"
"01.01.2016 15:15 - 01.01.2016 15:30","6104","7849"
"01.01.2016 15:30 - 01.01.2016 15:45","6067","7862"
"01.01.2016 15:45 - 01.01.2016 16:00","6152","7922"
"01.01.2016 16:00 - 01.01.2016 16:15","6420","8144"
"01.01.2016 16:15 - 01.01.2016 16:30","6608","8403"
"01.01.2016 16:30 - 01.01.2016 16:45","6821","8667"
"01.01.2016 16:45 - 01.01.2016 17:00","6955","8821"
"01.01.2016 17:00 - 01.01.2016 17:15","7049","8939"
"01.01.2016 17:15 - 01.01.2016 17:30","7089","9016"
"01.01.2016 17:30 - 01.01.2016 17:45","7189","9085"
"01.01.2016 17:45 - 01.01.2016 18:00","7150","9135"
"01.01.2016 18:00 - 01.01.2016 18:15","7194","9105"
"01.01.2016 18:15 - 01.01.2016 18:30","7185","9113"
"01.01.2016 18:30 - 01.01.2016 18:45","7102","9111"
"01.01.2016 18:45 - 01.01.2016 19:00","7106","9054"
"01.01.2016 19:00 - 01.01.2016 19:15","7170","9088"
"01.01.2016 19:15 - 01.01.2016 19:30","7061","9010"
"01.01.2016 19:30 - 01.01.2016 19:45","6947","8925"
"01.01.2016 19:45 - 01.01.2016 20:00","6871","8785"
"01.01.2016 20:00 - 01.01.2016 20:15","6847","8634"
"01.01.2016 20:15 - 01.01.2016 20:30","6689","8453"
"01.01.2016 20:30 - 01.01.2016 20:45","6524","8237"
"01.01.2016 20:45 - 01.01.2016 21:00","6480","8122"
"01.01.2016 21:00 - 01.01.2016 21:15","6445","8004"
"01.01.2016 21:15 - 01.01.2016 21:30","6412","7947"
"01.01.2016 21:30 - 01.01.2016 21:45","6332","7882"
"01.01.2016 21:45 - 01.01.2016 22:00","6362","7910"
"01.01.2016 22:00 - 01.01.2016 22:15","6425","7921"
"01.01.2016 22:15 - 01.01.2016 22:30","6420","7835"
"01.01.2016 22:30 - 01.01.2016 22:45","6359","7745"
"01.01.2016 22:45 - 01.01.2016 23:00","6281","7607"
"01.01.2016 23:00 - 01.01.2016 23:15","6212","7386"
"01.01.2016 23:15 - 01.01.2016 23:30","6092","7239"
"01.01.2016 23:30 - 01.01.2016 23:45","5992","7091"
"01.01.2016 23:45 - 02.01.2016 00:00","5900","6934"
"02.01.2016 00:00 - 02.01.2016 00:15","5820","6786"
"02.01.2016 00:15 - 02.01.2016 00:30","5678","6668"
"02.01.2016 00:30 - 02.01.2016 00:45","5558","6534"
"02.01.2016 00:45 - 02.01.2016 01:00","5500","6402"
"02.01.2016 01:00 - 02.01.2016 01:15","5444","6324"
"02.01.2016 01:15 - 02.01.2016 01:30","5387","6224"
"02.01.2016 01:30 - 02.01.2016 01:45","5352","6148"
"02.01.2016 01:45 - 02.01.2016 02:00","5341","6144"
"02.01.2016 02:00 - 02.01.2016 02:15","5338","6079"
"02.01.2016 02:15 - 02.01.2016 02:30","5321","6032"
"02.01.2016 02:30 - 02.01.2016 02:45","5297","6060"
"02.01.2016 02:45 - 02.01.2016 03:00","5306","6112"
"02.01.2016 03:00 - 02.01.2016 03:15","5334","6152"
"02.01.2016 03:15 - 02.01.2016 03:30","5333","6152"
"02.01.2016 03:30 - 02.01.2016 03:45","5307","6149"
"02.01.2016 03:45 - 02.01.2016 04:00","5271","6213"
"02.01.2016 04:00 - 02.01.2016 04:15","5343","6401"
"02.01.2016 04:15 - 02.01.2016 04:30","5362","6433"
"02.01.2016 04:30 - 02.01.2016 04:45","5388","6408"
"02.01.2016 04:45 - 02.01.2016 05:00","5327","6524"
"02.01.2016 05:00 - 02.01.2016 05:15","5367","6644"
"02.01.2016 05:15 - 02.01.2016 05:30","5365","6602"
"02.01.2016 05:30 - 02.01.2016 05:45","5339","6650"
"02.01.2016 05:45 - 02.01.2016 06:00","5208","6624"
"02.01.2016 06:00 - 02.01.2016 06:15","5093","6592"
"02.01.2016 06:15 - 02.01.2016 06:30","5141","6639"
"02.01.2016 06:30 - 02.01.2016 06:45","5331","6764"
"02.01.2016 06:45 - 02.01.2016 07:00","5544","6885"
"02.01.2016 07:00 - 02.01.2016 07:15","5781","7200"
"02.01.2016 07:15 - 02.01.2016 07:30","6028","7265"
"02.01.2016 07:30 - 02.01.2016 07:45","6419","7416"
"02.01.2016 07:45 - 02.01.2016 08:00","6572","7782"
"02.01.2016 08:00 - 02.01.2016 08:15","6727","7806"
"02.01.2016 08:15 - 02.01.2016 08:30","6918","8137"
"02.01.2016 08:30 - 02.01.2016 08:45","7090","8165"
"02.01.2016 08:45 - 02.01.2016 09:00","7255","8570"
"02.01.2016 09:00 - 02.01.2016 09:15","7407","8722"
"02.01.2016 09:15 - 02.01.2016 09:30","7562","8958"
"02.01.2016 09:30 - 02.01.2016 09:45","7639","9219"
"02.01.2016 09:45 - 02.01.2016 10:00","7729","9316"
"02.01.2016 10:00 - 02.01.2016 10:15","7841","9483"
"02.01.2016 10:15 - 02.01.2016 10:30","7949","9477"
"02.01.2016 10:30 - 02.01.2016 10:45","8137","9614"
"02.01.2016 10:45 - 02.01.2016 11:00","8285","9668"
"02.01.2016 11:00 - 02.01.2016 11:15","8395","9851"
"02.01.2016 11:15 - 02.01.2016 11:30","8586","10018"
"02.01.2016 11:30 - 02.01.2016 11:45","8798","10140"
"02.01.2016 11:45 - 02.01.2016 12:00","8848","10109"
"02.01.2016 12:00 - 02.01.2016 12:15","8624","10030"
"02.01.2016 12:15 - 02.01.2016 12:30","8524","9884"
"02.01.2016 12:30 - 02.01.2016 12:45","8361","9952"
"02.01.2016 12:45 - 02.01.2016 13:00","8148","9788"
"02.01.2016 13:00 - 02.01.2016 13:15","8052","9545"
"02.01.2016 13:15 - 02.01.2016 13:30","8027","9475"
"02.01.2016 13:30 - 02.01.2016 13:45","7870","9415"
"02.01.2016 13:45 - 02.01.2016 14:00","7764","9358"
"02.01.2016 14:00 - 02.01.2016 14:15","7789","9464"
"02.01.2016 14:15 - 02.01.2016 14:30","7742","9545"
"02.01.2016 14:30 - 02.01.2016 14:45","7680","9578"
"02.01.2016 14:45 - 02.01.2016 15:00","7628","9554"
"02.01.2016 15:00 - 02.01.2016 15:15","7653","9552"
"02.01.2016 15:15 - 02.01.2016 15:30","7605","9574"
"02.01.2016 15:30 - 02.01.2016 15:45","7626","9613"
"02.01.2016 15:45 - 02.01.2016 16:00","7759","9708"
"02.01.2016 16:00 - 02.01.2016 16:15","7947","9820"
"02.01.2016 16:15 - 02.01.2016 16:30","8266","10035"
"02.01.2016 16:30 - 02.01.2016 16:45","8613","10178"
"02.01.2016 16:45 - 02.01.2016 17:00","8785","10358"
"02.01.2016 17:00 - 02.01.2016 17:15","8918","10389"
"02.01.2016 17:15 - 02.01.2016 17:30","9062","10506"
"02.01.2016 17:30 - 02.01.2016 17:45","9187","10700"
"02.01.2016 17:45 - 02.01.2016 18:00","9187","10727"
"02.01.2016 18:00 - 02.01.2016 18:15","9185","10720"
"02.01.2016 18:15 - 02.01.2016 18:30","9058","10851"
"02.01.2016 18:30 - 02.01.2016 18:45","8912","10841"
"02.01.2016 18:45 - 02.01.2016 19:00","8754","10773"
"02.01.2016 19:00 - 02.01.2016 19:15","8809","10768"
"02.01.2016 19:15 - 02.01.2016 19:30","8676","10773"
"02.01.2016 19:30 - 02.01.2016 19:45","8541","10758"
"02.01.2016 19:45 - 02.01.2016 20:00","8316","10606"
"02.01.2016 20:00 - 02.01.2016 20:15","8133","10334"
"02.01.2016 20:15 - 02.01.2016 20:30","7772","10242"
"02.01.2016 20:30 - 02.01.2016 20:45","7520","10130"
"02.01.2016 20:45 - 02.01.2016 21:00","7396","9931"
"02.01.2016 21:00 - 02.01.2016 21:15","7301","9608"
"02.01.2016 21:15 - 02.01.2016 21:30","7133","9709"
"02.01.2016 21:30 - 02.01.2016 21:45","7129","9446"
"02.01.2016 21:45 - 02.01.2016 22:00","7152","9575"
"02.01.2016 22:00 - 02.01.2016 22:15","7336","9451"
"02.01.2016 22:15 - 02.01.2016 22:30","7244","9355"
"02.01.2016 22:30 - 02.01.2016 22:45","7131","9251"
"02.01.2016 22:45 - 02.01.2016 23:00","6980","9225"
"02.01.2016 23:00 - 02.01.2016 23:15","6874","9098"
"02.01.2016 23:15 - 02.01.2016 23:30","6765","8972"
"02.01.2016 23:30 - 02.01.2016 23:45","6646","8833"
"02.01.2016 23:45 - 03.01.2016 00:00","6402","8735"
"03.01.2016 00:00 - 03.01.2016 00:15","6073","8617"
"03.01.2016 00:15 - 03.01.2016 00:30","5898","8509"
"03.01.2016 00:30 - 03.01.2016 00:45","5776","8301"
"03.01.2016 00:45 - 03.01.2016 01:00","5689","8286"
"03.01.2016 01:00 - 03.01.2016 01:15","5639","8060"
"03.01.2016 01:15 - 03.01.2016 01:30","5576","8059"
"03.01.2016 01:30 - 03.01.2016 01:45","5543","8072"
"03.01.2016 01:45 - 03.01.2016 02:00","5531","8052"
"03.01.2016 02:00 - 03.01.2016 02:15","5529","7963"
"03.01.2016 02:15 - 03.01.2016 02:30","5514","7968"
"03.01.2016 02:30 - 03.01.2016 02:45","5489","8117"
"03.01.2016 02:45 - 03.01.2016 03:00","5491","8048"
"03.01.2016 03:00 - 03.01.2016 03:15","5506","7917"
"03.01.2016 03:15 - 03.01.2016 03:30","5498","7978"
"03.01.2016 03:30 - 03.01.2016 03:45","5480","8083"
"03.01.2016 03:45 - 03.01.2016 04:00","5423","7942"
"03.01.2016 04:00 - 03.01.2016 04:15","5501","7894"
"03.01.2016 04:15 - 03.01.2016 04:30","5472","7917"
"03.01.2016 04:30 - 03.01.2016 04:45","5552","7977"
"03.01.2016 04:45 - 03.01.2016 05:00","5468","7952"
"03.01.2016 05:00 - 03.01.2016 05:15","5480","7896"
"03.01.2016 05:15 - 03.01.2016 05:30","5448","7796"
"03.01.2016 05:30 - 03.01.2016 05:45","5408","7641"
"03.01.2016 05:45 - 03.01.2016 06:00","5175","7493"
"03.01.2016 06:00 - 03.01.2016 06:15","4942","7272"
"03.01.2016 06:15 - 03.01.2016 06:30","4935","7351"
"03.01.2016 06:30 - 03.01.2016 06:45","5082","7336"
"03.01.2016 06:45 - 03.01.2016 07:00","5210","7493"
"03.01.2016 07:00 - 03.01.2016 07:15","5425","7498"
"03.01.2016 07:15 - 03.01.2016 07:30","5647","7582"
"03.01.2016 07:30 - 03.01.2016 07:45","6295","7878"
"03.01.2016 07:45 - 03.01.2016 08:00","6423","8047"
"03.01.2016 08:00 - 03.01.2016 08:15","6543","8158"
