"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"01.01.2017 00:00 - 01.01.2017 00:15","6291","7335"
"01.01.2017 00:15 - 01.01.2017 00:30","6134","7325"
"01.01.2017 00:30 - 01.01.2017 00:45","5976","7302"
"01.01.2017 00:45 - 01.01.2017 01:00","5871","7220"
"01.01.2017 01:00 - 01.01.2017 01:15","5810","7153"
"01.01.2017 01:15 - 01.01.2017 01:30","5764","7193"
"01.01.2017 01:30 - 01.01.2017 01:45","5714","7275"
"01.01.2017 01:45 - 01.01.2017 02:00","5697","7221"
"01.01.2017 02:00 - 01.01.2017 02:15","5703","7257"
"01.01.2017 02:15 - 01.01.2017 02:30","5706","7223"
"01.01.2017 02:30 - 01.01.2017 02:45","5721","7051"
"01.01.2017 02:45 - 01.01.2017 03:00","5727","6928"
"01.01.2017 03:00 - 01.01.2017 03:15","5752","6884"
"01.01.2017 03:15 - 01.01.2017 03:30","5753","6802"
"01.01.2017 03:30 - 01.01.2017 03:45","5739","6718"
"01.01.2017 03:45 - 01.01.2017 04:00","5728","6675"
"01.01.2017 04:00 - 01.01.2017 04:15","5746","6756"
"01.01.2017 04:15 - 01.01.2017 04:30","5758","6658"
"01.01.2017 04:30 - 01.01.2017 04:45","5744","6611"
"01.01.2017 04:45 - 01.01.2017 05:00","5704","6577"
"01.01.2017 05:00 - 01.01.2017 05:15","5721","6539"
"01.01.2017 05:15 - 01.01.2017 05:30","5562","6419"
"01.01.2017 05:30 - 01.01.2017 05:45","5534","6277"
"01.01.2017 05:45 - 01.01.2017 06:00","5321","6041"
"01.01.2017 06:00 - 01.01.2017 06:15","5029","5898"
"01.01.2017 06:15 - 01.01.2017 06:30","4974","5857"
"01.01.2017 06:30 - 01.01.2017 06:45","4927","5868"
"01.01.2017 06:45 - 01.01.2017 07:00","5006","5913"
"01.01.2017 07:00 - 01.01.2017 07:15","5134","6083"
"01.01.2017 07:15 - 01.01.2017 07:30","5263","5931"
"01.01.2017 07:30 - 01.01.2017 07:45","5498","6143"
"01.01.2017 07:45 - 01.01.2017 08:00","5936","6454"
"01.01.2017 08:00 - 01.01.2017 08:15","6197","6240"
"01.01.2017 08:15 - 01.01.2017 08:30","6418","6328"
"01.01.2017 08:30 - 01.01.2017 08:45","6568","6472"
"01.01.2017 08:45 - 01.01.2017 09:00","6731","6862"
"01.01.2017 09:00 - 01.01.2017 09:15","7015","7135"
"01.01.2017 09:15 - 01.01.2017 09:30","7374","7326"
"01.01.2017 09:30 - 01.01.2017 09:45","7353","7561"
"01.01.2017 09:45 - 01.01.2017 10:00","7357","7584"
"01.01.2017 10:00 - 01.01.2017 10:15","7593","7765"
"01.01.2017 10:15 - 01.01.2017 10:30","7740","8068"
"01.01.2017 10:30 - 01.01.2017 10:45","7852","7975"
"01.01.2017 10:45 - 01.01.2017 11:00","8014","7989"
"01.01.2017 11:00 - 01.01.2017 11:15","8190","8246"
"01.01.2017 11:15 - 01.01.2017 11:30","8399","8417"
"01.01.2017 11:30 - 01.01.2017 11:45","8557","8689"
"01.01.2017 11:45 - 01.01.2017 12:00","8819","8661"
"01.01.2017 12:00 - 01.01.2017 12:15","8203","8569"
"01.01.2017 12:15 - 01.01.2017 12:30","8296","8466"
"01.01.2017 12:30 - 01.01.2017 12:45","7830","1911"
"01.01.2017 12:45 - 01.01.2017 13:00","7830","1935"
"01.01.2017 13:00 - 01.01.2017 13:15","7536","2139"
"01.01.2017 13:15 - 01.01.2017 13:30","7714","2076"
"01.01.2017 13:30 - 01.01.2017 13:45","7613","2389"
"01.01.2017 13:45 - 01.01.2017 14:00","7074","2400"
"01.01.2017 14:00 - 01.01.2017 14:15","7063","2711"
"01.01.2017 14:15 - 01.01.2017 14:30","6774","3032"
"01.01.2017 14:30 - 01.01.2017 14:45","7014","3277"
"01.01.2017 14:45 - 01.01.2017 15:00","7525","3526"
"01.01.2017 15:00 - 01.01.2017 15:15","8033","3856"
"01.01.2017 15:15 - 01.01.2017 15:30","6963","3994"
"01.01.2017 15:30 - 01.01.2017 15:45","6939","4082"
"01.01.2017 15:45 - 01.01.2017 16:00","7029","4044"
"01.01.2017 16:00 - 01.01.2017 16:15","7524","4332"
"01.01.2017 16:15 - 01.01.2017 16:30","7901","4248"
"01.01.2017 16:30 - 01.01.2017 16:45","8693","4435"
"01.01.2017 16:45 - 01.01.2017 17:00","7887","4478"
"01.01.2017 17:00 - 01.01.2017 17:15","8230","4480"
"01.01.2017 17:15 - 01.01.2017 17:30","8247","4559"
"01.01.2017 17:30 - 01.01.2017 17:45","8593","4664"
"01.01.2017 17:45 - 01.01.2017 18:00","8373","4665"
"01.01.2017 18:00 - 01.01.2017 18:15","8420","4656"
"01.01.2017 18:15 - 01.01.2017 18:30","8861","4594"
