"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"02.01.2015 00:15 - 02.01.2015 00:30","4798","6928"
"02.01.2015 00:30 - 02.01.2015 00:45","6522","6919"
"02.01.2015 00:45 - 02.01.2015 01:00","6478","6874"
"02.01.2015 01:00 - 02.01.2015 01:15","6452","6751"
"02.01.2015 01:15 - 02.01.2015 01:30","6434","6635"
"02.01.2015 01:30 - 02.01.2015 01:45","6402","6553"
"02.01.2015 01:45 - 02.01.2015 02:00","6387","6568"
"02.01.2015 02:00 - 02.01.2015 02:15","6396","6657"
"02.01.2015 02:15 - 02.01.2015 02:30","6421","6687"
"02.01.2015 02:30 - 02.01.2015 02:45","6479","6708"
"02.01.2015 02:45 - 02.01.2015 03:00","6568","6703"
"02.01.2015 03:00 - 02.01.2015 03:15","6662","6735"
"02.01.2015 03:15 - 02.01.2015 03:30","6734","6722"
"02.01.2015 03:30 - 02.01.2015 03:45","6752","6574"
"02.01.2015 03:45 - 02.01.2015 04:00","6988","6588"
"02.01.2015 04:00 - 02.01.2015 04:15","7253","6747"
"02.01.2015 04:15 - 02.01.2015 04:30","7460","6927"
"02.01.2015 04:30 - 02.01.2015 04:45","7585","7096"
"02.01.2015 04:45 - 02.01.2015 05:00","7717","7311"
"02.01.2015 05:00 - 02.01.2015 05:15","7789","7541"
"02.01.2015 05:15 - 02.01.2015 05:30","7763","7670"
"02.01.2015 05:30 - 02.01.2015 05:45","7944","7884"
"02.01.2015 05:45 - 02.01.2015 06:00","8236","8209"
"02.01.2015 06:00 - 02.01.2015 06:15","7884","8539"
"02.01.2015 06:15 - 02.01.2015 06:30","7588","8804"
"02.01.2015 06:30 - 02.01.2015 06:45","8028","9092"
"02.01.2015 06:45 - 02.01.2015 07:00","8363","9486"
"02.01.2015 07:00 - 02.01.2015 07:15","9363","9957"
"02.01.2015 07:15 - 02.01.2015 07:30","10288","10330"
"02.01.2015 07:30 - 02.01.2015 07:45","10428","10624"
"02.01.2015 07:45 - 02.01.2015 08:00","10512","10886"
"02.01.2015 08:00 - 02.01.2015 08:15","10543","11052"
"02.01.2015 08:15 - 02.01.2015 08:30","10471","10992"
"02.01.2015 08:30 - 02.01.2015 08:45","10436","10809"
"02.01.2015 08:45 - 02.01.2015 09:00","10468","10721"
"02.01.2015 09:00 - 02.01.2015 09:15","10480","10759"
"02.01.2015 09:15 - 02.01.2015 09:30","10516","10843"
"02.01.2015 09:30 - 02.01.2015 09:45","10563","10797"
"02.01.2015 09:45 - 02.01.2015 10:00","10604","10816"
"02.01.2015 10:00 - 02.01.2015 10:15","10640","10977"
"02.01.2015 10:15 - 02.01.2015 10:30","10694","11104"
"02.01.2015 10:30 - 02.01.2015 10:45","10754","11193"
"02.01.2015 10:45 - 02.01.2015 11:00","10822","11382"
"02.01.2015 11:00 - 02.01.2015 11:15","10890","11420"
"02.01.2015 11:15 - 02.01.2015 11:30","11074","11175"
"02.01.2015 11:30 - 02.01.2015 11:45","11042","10847"
"02.01.2015 11:45 - 02.01.2015 12:00","10801","10625"
"02.01.2015 12:00 - 02.01.2015 12:15","10661","10497"
"02.01.2015 12:15 - 02.01.2015 12:30","10629","10451"
"02.01.2015 12:30 - 02.01.2015 12:45","10667","10584"
"02.01.2015 12:45 - 02.01.2015 13:00","9775","10729"
"02.01.2015 13:00 - 02.01.2015 13:15","8836","10737"
"02.01.2015 13:15 - 02.01.2015 13:30","8694","10682"
"02.01.2015 13:30 - 02.01.2015 13:45","9672","10600"
"02.01.2015 13:45 - 02.01.2015 14:00","9668","10641"
"02.01.2015 14:00 - 02.01.2015 14:15","8589","10780"
"02.01.2015 14:15 - 02.01.2015 14:30","9622","10773"
"02.01.2015 14:30 - 02.01.2015 14:45","10610","10674"
"02.01.2015 14:45 - 02.01.2015 15:00","10454","10773"
"02.01.2015 15:00 - 02.01.2015 15:15","10280","10931"
"02.01.2015 15:15 - 02.01.2015 15:30","10146","10759"
"02.01.2015 15:30 - 02.01.2015 15:45","10041","10644"
"02.01.2015 15:45 - 02.01.2015 16:00","10001","10872"
"02.01.2015 16:00 - 02.01.2015 16:15","10079","11216"
"02.01.2015 16:15 - 02.01.2015 16:30","10161","11434"
