,daily_cost
0,1.8083006447760734
1,2.2433608684656456
2,2.352730202858541
3,2.080501951288476
4,1.9468114699323928
5,2.4698868756159267
6,2.325951998263511
7,2.065034327278882
8,2.2335517143573638
9,2.561654027580324
10,2.323924232269662
11,2.3713123021610536
12,2.3261276123151458
13,2.027580177924563
14,1.9144026476619256
15,2.157520219928491
16,1.9211485276525841
17,1.9249877313714432
18,1.9242141892651796
19,1.7743678975946968
20,1.5242440282747916
21,1.738711905602871
22,2.4252662406950853
23,2.2098158763372506
24,1.6184273185327245
25,1.7884975295200891
26,1.8155688185234573
27,1.7248499405668771
28,2.1040314743611455
29,2.3704341334155647
30,1.9014349590289743
31,1.6175500093904722
32,1.9390930396776827
33,1.8967578576921158
34,1.5085674644164921
35,1.5547479980998007
36,2.0045654581353283
37,2.0486249884044962
38,1.8498851455518768
39,2.306914498277516
40,1.5964069334634594
41,1.4857509864921878
42,0.9172119233534363
43,0.9634108191080183
44,0.9520547889134836
45,1.2078613355370391
46,2.1040657561443004
47,1.6988657396344407
48,1.2793582477266314
49,1.713749973423539
50,1.8243492255277565
51,2.1660918468196306
52,1.7806355740272166
53,1.229473192157327
54,1.061684351604633
55,1.1360093089380776
56,0.9949062404524587
57,1.4841329847845317
58,1.474378097214257
59,1.213149306264915
60,1.143279771125258
61,0.9922864530136235
62,0.7518809577589703
63,1.182053271422389
64,1.329348523444431
65,1.8772327647064178
66,1.8055921941323945
67,0.510379007772918
68,0.3876877798163376
69,0.0005719593048965077
70,-0.07646697460225949
71,0.3488545614859405
72,0.3786506010779248
73,0.07967123238047424
74,0.6997894461427836
75,1.8142733353751437
76,1.5556599710934478
77,1.0987101627563804
78,1.0074093095082193
79,0.6928578689296694
80,0.049300542300751315
81,0.3972591753323541
82,-0.04893673406741894
83,-0.27906997936347433
84,-0.7030837415854895
85,-0.21753985368322537
86,0.48207159340644345
87,0.001969103679509754
88,-0.20371992969866803
89,0.3429949465297507
90,-0.2238890352855203
91,-0.3277077517555649
92,-0.28635464646253883
93,0.2410521415778436
94,0.47753635956683804
95,0.32837052381937304
96,-0.11069099680627925
97,-0.7992733025547513
98,-0.31105892079896347
99,0.11769243628606851
100,0.23667909522778052
101,0.5165560401531114
102,0.5421813044281835
103,0.46515158840618387
104,0.34983008486893596
105,0.0238537701407876
106,-0.18654626565620192
107,0.017479669431050837
108,-0.5655656337758392
109,0.1637764201598526
110,0.5092237416305779
111,-0.18374487598171174
112,-0.7146250011315112
113,0.24411859093204835
114,0.21146195871738416
115,0.08374607684660496
116,0.4772435468014271
117,-0.3642147185480553
118,-1.2130522543201923
119,0.5761060004925943
120,0.4215377974118285
121,0.27276992426386226
122,0.6014423498790438
123,0.7161472461848691
124,-0.6180641936777895
125,0.3792468796526447
126,0.7833169824762971
127,-0.5151240416382987
128,-1.0957052415616249
129,-0.4901264280014719
130,-0.10566078242500665
131,-0.5256718856975215
132,-0.6141321932643086
