date,from,to,actual,forecast
2010-01-01 00:00:00,2010-01-01 14:00:00,2010-01-01 14:15:00,17631.0,18612.0
2010-01-01 00:00:00,2010-01-01 14:15:00,2010-01-01 14:30:00,17548.0,18451.0
2010-01-01 00:00:00,2010-01-01 14:30:00,2010-01-01 14:45:00,17606.0,18469.0
2010-01-01 00:00:00,2010-01-01 14:45:00,2010-01-01 15:00:00,17551.0,18343.0
2010-01-01 00:00:00,2010-01-01 15:00:00,2010-01-01 15:15:00,17527.0,18199.0
2010-01-01 00:00:00,2010-01-01 15:15:00,2010-01-01 15:30:00,17543.0,18215.0
2010-01-01 00:00:00,2010-01-01 15:30:00,2010-01-01 15:45:00,17482.0,18203.0
2010-01-01 00:00:00,2010-01-01 15:45:00,2010-01-01 16:00:00,17401.0,18341.0
2010-01-01 00:00:00,2010-01-01 16:00:00,2010-01-01 16:15:00,17522.0,18410.0
2010-01-01 00:00:00,2010-01-01 16:15:00,2010-01-01 16:30:00,17751.0,18574.0
2010-01-01 00:00:00,2010-01-01 16:30:00,2010-01-01 16:45:00,18081.0,18858.0
2010-01-01 00:00:00,2010-01-01 16:45:00,2010-01-01 17:00:00,18492.0,19163.0
2010-01-01 00:00:00,2010-01-01 17:00:00,2010-01-01 17:15:00,18589.0,19617.0
2010-01-01 00:00:00,2010-01-01 17:15:00,2010-01-01 17:30:00,18810.0,19634.0
2010-01-01 00:00:00,2010-01-01 17:30:00,2010-01-01 17:45:00,18823.0,19742.0
2010-01-01 00:00:00,2010-01-01 17:45:00,2010-01-01 18:00:00,18928.0,19796.0
2010-01-01 00:00:00,2010-01-01 18:00:00,2010-01-01 18:15:00,19169.0,19867.0
2010-01-01 00:00:00,2010-01-01 18:15:00,2010-01-01 18:30:00,19244.0,19880.0
2010-01-01 00:00:00,2010-01-01 18:30:00,2010-01-01 18:45:00,19248.0,19778.0
2010-01-01 00:00:00,2010-01-01 18:45:00,2010-01-01 19:00:00,19109.0,19742.0
2010-01-01 00:00:00,2010-01-01 19:00:00,2010-01-01 19:15:00,19041.0,19755.0
2010-01-01 00:00:00,2010-01-01 19:15:00,2010-01-01 19:30:00,18870.0,19549.0
2010-01-01 00:00:00,2010-01-01 19:30:00,2010-01-01 19:45:00,18702.0,19572.0
2010-01-01 00:00:00,2010-01-01 19:45:00,2010-01-01 20:00:00,18587.0,19285.0
2010-01-01 00:00:00,2010-01-01 20:00:00,2010-01-01 20:15:00,18656.0,19309.0
