date,from,to,actual,they
2017-01-01 00:00:00,2017-01-01 14:00:00,2017-01-01 14:15:00,18135.0,18791.0
2017-01-01 00:00:00,2017-01-01 14:15:00,2017-01-01 14:30:00,18150.0,18703.0
2017-01-01 00:00:00,2017-01-01 14:30:00,2017-01-01 14:45:00,18057.0,18696.0
2017-01-01 00:00:00,2017-01-01 14:45:00,2017-01-01 15:00:00,17904.0,18604.0
2017-01-01 00:00:00,2017-01-01 15:00:00,2017-01-01 15:15:00,18096.0,18645.0
2017-01-01 00:00:00,2017-01-01 15:15:00,2017-01-01 15:30:00,18037.0,18598.0
2017-01-01 00:00:00,2017-01-01 15:30:00,2017-01-01 15:45:00,18153.0,18704.0
2017-01-01 00:00:00,2017-01-01 15:45:00,2017-01-01 16:00:00,18112.0,18682.0
2017-01-01 00:00:00,2017-01-01 16:00:00,2017-01-01 16:15:00,18358.0,18775.0
2017-01-01 00:00:00,2017-01-01 16:15:00,2017-01-01 16:30:00,18380.0,18952.0
2017-01-01 00:00:00,2017-01-01 16:30:00,2017-01-01 16:45:00,18644.0,19299.0
2017-01-01 00:00:00,2017-01-01 16:45:00,2017-01-01 17:00:00,19229.0,19683.0
2017-01-01 00:00:00,2017-01-01 17:00:00,2017-01-01 17:15:00,19919.0,20297.0
2017-01-01 00:00:00,2017-01-01 17:15:00,2017-01-01 17:30:00,20098.0,20441.0
2017-01-01 00:00:00,2017-01-01 17:30:00,2017-01-01 17:45:00,20076.0,20563.0
2017-01-01 00:00:00,2017-01-01 17:45:00,2017-01-01 18:00:00,20141.0,20661.0
2017-01-01 00:00:00,2017-01-01 18:00:00,2017-01-01 18:15:00,20336.0,20932.0
2017-01-01 00:00:00,2017-01-01 18:15:00,2017-01-01 18:30:00,20322.0,21024.0
2017-01-01 00:00:00,2017-01-01 18:30:00,2017-01-01 18:45:00,20314.0,21029.0
2017-01-01 00:00:00,2017-01-01 18:45:00,2017-01-01 19:00:00,20353.0,20954.0
2017-01-01 00:00:00,2017-01-01 19:00:00,2017-01-01 19:15:00,20505.0,20898.0
2017-01-01 00:00:00,2017-01-01 19:15:00,2017-01-01 19:30:00,20471.0,20748.0
2017-01-01 00:00:00,2017-01-01 19:30:00,2017-01-01 19:45:00,20369.0,20625.0
2017-01-01 00:00:00,2017-01-01 19:45:00,2017-01-01 20:00:00,20228.0,20472.0
2017-01-01 00:00:00,2017-01-01 20:00:00,2017-01-01 20:15:00,19935.0,20297.0
2017-01-01 00:00:00,2017-01-01 20:15:00,2017-01-01 20:30:00,19640.0,20075.0
2017-01-01 00:00:00,2017-01-01 20:30:00,2017-01-01 20:45:00,19484.0,19747.0
2017-01-01 00:00:00,2017-01-01 20:45:00,2017-01-01 21:00:00,19296.0,19550.0
2017-01-01 00:00:00,2017-01-01 21:00:00,2017-01-01 21:15:00,19139.0,19604.0
2017-01-01 00:00:00,2017-01-01 21:15:00,2017-01-01 21:30:00,19019.0,19564.0
2017-01-01 00:00:00,2017-01-01 21:30:00,2017-01-01 21:45:00,18987.0,19575.0
2017-01-01 00:00:00,2017-01-01 21:45:00,2017-01-01 22:00:00,18978.0,19690.0
2017-01-01 00:00:00,2017-01-01 22:00:00,2017-01-01 22:15:00,19094.0,19919.0
2017-01-01 00:00:00,2017-01-01 22:15:00,2017-01-01 22:30:00,18952.0,19807.0
2017-01-01 00:00:00,2017-01-01 22:30:00,2017-01-01 22:45:00,18671.0,19616.0
2017-01-01 00:00:00,2017-01-01 22:45:00,2017-01-01 23:00:00,18581.0,19278.0
