,daily_cost,adjusted_daily_cost
0,2.086710279936299,3.0283986167636874
1,2.775412204269538,3.3792517418195054
2,2.9953746039005305,3.454402165803271
3,3.0524804238358607,3.3356190049155416
4,2.9754414465573777,3.251237032405819
5,2.935177056364487,2.8598125977065036
6,2.695225114069104,2.3925369755934707
7,2.366099239797101,3.4283844224444113
8,2.6186577677975724,3.582290492117893
9,3.0951239809306013,3.6141423040813323
10,3.113050870875908,3.511217979073839
11,3.068247964070112,3.582043289063332
12,3.1041372060646064,2.8370380152648504
13,2.6695978957836286,2.526796423591791
14,2.4469384462673096,3.471396250677815
15,3.017871252155606,3.617524745135065
16,2.679830082198652,3.564536865105157
17,3.0802614843286182,3.5951113312889285
18,3.1025030631665107,3.406403790828965
19,3.0033982324947903,2.706363750484925
20,2.5660240911436176,2.383506181384021
21,2.326676309942444,3.485699952712397
22,3.0105513626783598,3.54645080344448
23,3.0608567563169364,3.607727117913181
24,2.6739150095346886,3.6487483891691754
25,3.108496575124454,3.584720995021613
26,3.08649565686998,2.8958603529172167
27,2.680796152724528,2.6196531734526824
28,2.4784784197658345,3.5329415872956145
29,3.028818142408846,3.4766965101369065
30,3.0098117461305867,3.5096806965913205
31,3.0794362477910124,3.543275488804034
32,2.6688213962599896,3.369177764775057
33,2.992487537257684,2.798840535792655
34,2.6543943627796756,2.439415254970471
35,2.4002812199015997,3.394268767522476
36,2.985404323444655,3.5812252454834805
37,3.1025129430418144,3.552039279002312
38,3.0923148143873997,3.5910518091970256
39,3.1058207578310326,3.5543702312391
40,2.671080659601064,2.856361562056053
41,2.672042253519735,2.4808628708053932
42,2.4141808634998063,3.6414486884995556
43,3.1076586785831535,3.528476007512882
44,3.0736913041180234,3.4264746579217293
45,3.010591665239044,3.474755722628249
46,3.0299648666399737,3.406812800889952
47,2.9962374867779684,2.642526595127178
48,2.42287543368148,2.449781801170013
49,2.37338715211207,3.5485890899139267
50,3.0344915436106463,3.448398914417225
51,3.0113388476186715,3.593175506777045
52,3.079534741796689,3.5984375467616383
