"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"01.01.2016 00:00 - 01.01.2016 00:15","17180","15684"
"01.01.2016 00:15 - 01.01.2016 00:30","16823","15685"
"01.01.2016 00:30 - 01.01.2016 00:45","16635","15630"
"01.01.2016 00:45 - 01.01.2016 01:00","16529","15672"
"01.01.2016 01:00 - 01.01.2016 01:15","16372","15353"
"01.01.2016 01:15 - 01.01.2016 01:30","16243","15160"
"01.01.2016 01:30 - 01.01.2016 01:45","16113","15042"
"01.01.2016 01:45 - 01.01.2016 02:00","16036","15127"
"01.01.2016 02:00 - 01.01.2016 02:15","15942","14783"
"01.01.2016 02:15 - 01.01.2016 02:30","15897","14716"
"01.01.2016 02:30 - 01.01.2016 02:45","15895","14663"
"01.01.2016 02:45 - 01.01.2016 03:00","15891","14493"
"01.01.2016 03:00 - 01.01.2016 03:15","15904","14626"
"01.01.2016 03:15 - 01.01.2016 03:30","15883","14538"
"01.01.2016 03:30 - 01.01.2016 03:45","15855","14444"
"01.01.2016 03:45 - 01.01.2016 04:00","15894","14303"
"01.01.2016 04:00 - 01.01.2016 04:15","15959","14388"
"01.01.2016 04:15 - 01.01.2016 04:30","16007","14307"
"01.01.2016 04:30 - 01.01.2016 04:45","16130","14161"
"01.01.2016 04:45 - 01.01.2016 05:00","16271","14176"
"01.01.2016 05:00 - 01.01.2016 05:15","16524","14050"
"01.01.2016 05:15 - 01.01.2016 05:30","16641","13949"
"01.01.2016 05:30 - 01.01.2016 05:45","16872","13870"
"01.01.2016 05:45 - 01.01.2016 06:00","17172","13666"
"01.01.2016 06:00 - 01.01.2016 06:15","17906","13653"
"01.01.2016 06:15 - 01.01.2016 06:30","18429","13432"
"01.01.2016 06:30 - 01.01.2016 06:45","18943","13486"
"01.01.2016 06:45 - 01.01.2016 07:00","19324","13427"
"01.01.2016 07:00 - 01.01.2016 07:15","19718","13396"
"01.01.2016 07:15 - 01.01.2016 07:30","19945","13364"
"01.01.2016 07:30 - 01.01.2016 07:45","20170","13344"
"01.01.2016 07:45 - 01.01.2016 08:00","20384","13400"
"01.01.2016 08:00 - 01.01.2016 08:15","20653","13646"
"01.01.2016 08:15 - 01.01.2016 08:30","20720","13575"
"01.01.2016 08:30 - 01.01.2016 08:45","20771","13717"
"01.01.2016 08:45 - 01.01.2016 09:00","20808","13751"
"01.01.2016 09:00 - 01.01.2016 09:15","20882","14059"
"01.01.2016 09:15 - 01.01.2016 09:30","21017","14221"
"01.01.2016 09:30 - 01.01.2016 09:45","21157","14307"
"01.01.2016 09:45 - 01.01.2016 10:00","21287","14586"
"01.01.2016 10:00 - 01.01.2016 10:15","21275","14829"
"01.01.2016 10:15 - 01.01.2016 10:30","21442","15103"
"01.01.2016 10:30 - 01.01.2016 10:45","21615","15424"
"01.01.2016 10:45 - 01.01.2016 11:00","21728","15747"
"01.01.2016 11:00 - 01.01.2016 11:15","21770","15925"
"01.01.2016 11:15 - 01.01.2016 11:30","21860","16175"
"01.01.2016 11:30 - 01.01.2016 11:45","21980","16393"
"01.01.2016 11:45 - 01.01.2016 12:00","22005","16642"
"01.01.2016 12:00 - 01.01.2016 12:15","21906","16650"
"01.01.2016 12:15 - 01.01.2016 12:30","21960","16689"
"01.01.2016 12:30 - 01.01.2016 12:45","21995","16713"
"01.01.2016 12:45 - 01.01.2016 13:00","21985","16795"
"01.01.2016 13:00 - 01.01.2016 13:15","21964","16688"
"01.01.2016 13:15 - 01.01.2016 13:30","21900","16565"
"01.01.2016 13:30 - 01.01.2016 13:45","21850","16589"
"01.01.2016 13:45 - 01.01.2016 14:00","21703","16505"
"01.01.2016 14:00 - 01.01.2016 14:15","21628","16586"
"01.01.2016 14:15 - 01.01.2016 14:30","21540","16484"
"01.01.2016 14:30 - 01.01.2016 14:45","21510","16496"
"01.01.2016 14:45 - 01.01.2016 15:00","21423","16351"
"01.01.2016 15:00 - 01.01.2016 15:15","21447","16464"
"01.01.2016 15:15 - 01.01.2016 15:30","21372","16595"
"01.01.2016 15:30 - 01.01.2016 15:45","21395","16661"
"01.01.2016 15:45 - 01.01.2016 16:00","21322","16645"
"01.01.2016 16:00 - 01.01.2016 16:15","21332","16804"
"01.01.2016 16:15 - 01.01.2016 16:30","21435","17006"
"01.01.2016 16:30 - 01.01.2016 16:45","21677","17262"
"01.01.2016 16:45 - 01.01.2016 17:00","21972","17634"
"01.01.2016 17:00 - 01.01.2016 17:15","22571","17906"
"01.01.2016 17:15 - 01.01.2016 17:30","22751","18084"
"01.01.2016 17:30 - 01.01.2016 17:45","22815","18236"
"01.01.2016 17:45 - 01.01.2016 18:00","22736","18291"
"01.01.2016 18:00 - 01.01.2016 18:15","22745","18530"
"01.01.2016 18:15 - 01.01.2016 18:30","22703","18402"
"01.01.2016 18:30 - 01.01.2016 18:45","22730","18460"
"01.01.2016 18:45 - 01.01.2016 19:00","22640","18223"
"01.01.2016 19:00 - 01.01.2016 19:15","22538","18261"
"01.01.2016 19:15 - 01.01.2016 19:30","22378","17980"
"01.01.2016 19:30 - 01.01.2016 19:45","22235","17874"
"01.01.2016 19:45 - 01.01.2016 20:00","22020","17690"
"01.01.2016 20:00 - 01.01.2016 20:15","21529","17807"
"01.01.2016 20:15 - 01.01.2016 20:30","21233","17686"
"01.01.2016 20:30 - 01.01.2016 20:45","20819","17489"
"01.01.2016 20:45 - 01.01.2016 21:00","20554","17435"
"01.01.2016 21:00 - 01.01.2016 21:15","20532","17510"
"01.01.2016 21:15 - 01.01.2016 21:30","20429","17535"
"01.01.2016 21:30 - 01.01.2016 21:45","20332","17407"
"01.01.2016 21:45 - 01.01.2016 22:00","20249","17383"
"01.01.2016 22:00 - 01.01.2016 22:15","20174","17473"
"01.01.2016 22:15 - 01.01.2016 22:30","19949","17269"
"01.01.2016 22:30 - 01.01.2016 22:45","19692","17039"
"01.01.2016 22:45 - 01.01.2016 23:00","19288","16917"
"01.01.2016 23:00 - 01.01.2016 23:15","18885","16363"
"01.01.2016 23:15 - 01.01.2016 23:30","18560","15991"
"01.01.2016 23:30 - 01.01.2016 23:45","18188","15660"
"01.01.2016 23:45 - 02.01.2016 00:00","17815","15490"
"02.01.2016 00:00 - 02.01.2016 00:15","15536","15142"
"02.01.2016 00:15 - 02.01.2016 00:30","15215","14780"
"02.01.2016 00:30 - 02.01.2016 00:45","15091","14727"
"02.01.2016 00:45 - 02.01.2016 01:00","14981","14678"
"02.01.2016 01:00 - 02.01.2016 01:15","14868","14617"
"02.01.2016 01:15 - 02.01.2016 01:30","14698","14411"
"02.01.2016 01:30 - 02.01.2016 01:45","14521","14455"
"02.01.2016 01:45 - 02.01.2016 02:00","14454","14434"
"02.01.2016 02:00 - 02.01.2016 02:15","14446","14320"
"02.01.2016 02:15 - 02.01.2016 02:30","14375","14406"
"02.01.2016 02:30 - 02.01.2016 02:45","14249","14308"
"02.01.2016 02:45 - 02.01.2016 03:00","14134","14267"
"02.01.2016 03:00 - 02.01.2016 03:15","14094","14231"
"02.01.2016 03:15 - 02.01.2016 03:30","13983","14286"
"02.01.2016 03:30 - 02.01.2016 03:45","13851","14217"
"02.01.2016 03:45 - 02.01.2016 04:00","13809","14369"
"02.01.2016 04:00 - 02.01.2016 04:15","13739","14330"
"02.01.2016 04:15 - 02.01.2016 04:30","13632","14240"
"02.01.2016 04:30 - 02.01.2016 04:45","13619","14305"
"02.01.2016 04:45 - 02.01.2016 05:00","13638","14289"
"02.01.2016 05:00 - 02.01.2016 05:15","13520","14365"
"02.01.2016 05:15 - 02.01.2016 05:30","13342","14467"
