"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"02.01.2017 00:15 - 02.01.2017 00:30","16300","16936"
"02.01.2017 00:30 - 02.01.2017 00:45","16207","16927"
"02.01.2017 00:45 - 02.01.2017 01:00","16149","16657"
"02.01.2017 01:00 - 02.01.2017 01:15","16017","16354"
"02.01.2017 01:15 - 02.01.2017 01:30","15918","16282"
"02.01.2017 01:30 - 02.01.2017 01:45","15822","16135"
"02.01.2017 01:45 - 02.01.2017 02:00","15772","15920"
"02.01.2017 02:00 - 02.01.2017 02:15","15738","15743"
"02.01.2017 02:15 - 02.01.2017 02:30","15735","15775"
"02.01.2017 02:30 - 02.01.2017 02:45","15702","15788"
"02.01.2017 02:45 - 02.01.2017 03:00","15656","15805"
"02.01.2017 03:00 - 02.01.2017 03:15","15751","15837"
"02.01.2017 03:15 - 02.01.2017 03:30","15769","15827"
"02.01.2017 03:30 - 02.01.2017 03:45","15736","16403"
"02.01.2017 03:45 - 02.01.2017 04:00","15776","16533"
"02.01.2017 04:00 - 02.01.2017 04:15","15907","16606"
"02.01.2017 04:15 - 02.01.2017 04:30","15965","16966"
"02.01.2017 04:30 - 02.01.2017 04:45","16087","17078"
"02.01.2017 04:45 - 02.01.2017 05:00","16228","17014"
"02.01.2017 05:00 - 02.01.2017 05:15","16641","17355"
"02.01.2017 05:15 - 02.01.2017 05:30","16874","17605"
"02.01.2017 05:30 - 02.01.2017 05:45","17215","17804"
"02.01.2017 05:45 - 02.01.2017 06:00","17656","18306"
"02.01.2017 06:00 - 02.01.2017 06:15","18667","19201"
"02.01.2017 06:15 - 02.01.2017 06:30","19306","19727"
"02.01.2017 06:30 - 02.01.2017 06:45","19916","20380"
"02.01.2017 06:45 - 02.01.2017 07:00","20336","20987"
"02.01.2017 07:00 - 02.01.2017 07:15","20941","21613"
"02.01.2017 07:15 - 02.01.2017 07:30","21213","21891"
"02.01.2017 07:30 - 02.01.2017 07:45","21515","22463"
"02.01.2017 07:45 - 02.01.2017 08:00","21805","22968"
"02.01.2017 08:00 - 02.01.2017 08:15","22154","23448"
"02.01.2017 08:15 - 02.01.2017 08:30","22264","23747"
"02.01.2017 08:30 - 02.01.2017 08:45","22361","23952"
"02.01.2017 08:45 - 02.01.2017 09:00","22411","24179"
"02.01.2017 09:00 - 02.01.2017 09:15","22455","24194"
"02.01.2017 09:15 - 02.01.2017 09:30","22599","24348"
"02.01.2017 09:30 - 02.01.2017 09:45","22784","24668"
"02.01.2017 09:45 - 02.01.2017 10:00","22914","24636"
"02.01.2017 10:00 - 02.01.2017 10:15","23002","24749"
"02.01.2017 10:15 - 02.01.2017 10:30","23127","24772"
"02.01.2017 10:30 - 02.01.2017 10:45","23314","25112"
"02.01.2017 10:45 - 02.01.2017 11:00","23457","25209"
"02.01.2017 11:00 - 02.01.2017 11:15","23566","25205"
"02.01.2017 11:15 - 02.01.2017 11:30","23696","25300"
"02.01.2017 11:30 - 02.01.2017 11:45","23900","25229"
"02.01.2017 11:45 - 02.01.2017 12:00","23978","25296"
"02.01.2017 12:00 - 02.01.2017 12:15","23868","25204"
"02.01.2017 12:15 - 02.01.2017 12:30","23982","25274"
"02.01.2017 12:30 - 02.01.2017 12:45","24151","25149"
"02.01.2017 12:45 - 02.01.2017 13:00","24205","25216"
"02.01.2017 13:00 - 02.01.2017 13:15","24231","25286"
"02.01.2017 13:15 - 02.01.2017 13:30","24168","25008"
"02.01.2017 13:30 - 02.01.2017 13:45","24155","24754"
"02.01.2017 13:45 - 02.01.2017 14:00","24030","24442"
"02.01.2017 14:00 - 02.01.2017 14:15","23988","24424"
"02.01.2017 14:15 - 02.01.2017 14:30","23979","24625"
"02.01.2017 14:30 - 02.01.2017 14:45","23999","24444"
"02.01.2017 14:45 - 02.01.2017 15:00","23913","24229"
"02.01.2017 15:00 - 02.01.2017 15:15","23972","24322"
"02.01.2017 15:15 - 02.01.2017 15:30","23855","24169"
"02.01.2017 15:30 - 02.01.2017 15:45","23841","24103"
"02.01.2017 15:45 - 02.01.2017 16:00","23700","23957"
