"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"01.01.2015 00:00 - 01.01.2015 00:15","15765","15125"
"01.01.2015 00:15 - 01.01.2015 00:30","15537","15040"
"01.01.2015 00:30 - 01.01.2015 00:45","15369","15298"
"01.01.2015 00:45 - 01.01.2015 01:00","15198","15520"
"01.01.2015 01:00 - 01.01.2015 01:15","14974","15316"
"01.01.2015 01:15 - 01.01.2015 01:30","14813","15252"
"01.01.2015 01:30 - 01.01.2015 01:45","14586","15204"
"01.01.2015 01:45 - 01.01.2015 02:00","14455","15034"
"01.01.2015 02:00 - 01.01.2015 02:15","14384","15006"
"01.01.2015 02:15 - 01.01.2015 02:30","14407","14897"
"01.01.2015 02:30 - 01.01.2015 02:45","14371","14780"
"01.01.2015 02:45 - 01.01.2015 03:00","14249","14621"
"01.01.2015 03:00 - 01.01.2015 03:15","14200","14521"
"01.01.2015 03:15 - 01.01.2015 03:30","14107","14449"
"01.01.2015 03:30 - 01.01.2015 03:45","14050","14378"
"01.01.2015 03:45 - 01.01.2015 04:00","14036","14272"
"01.01.2015 04:00 - 01.01.2015 04:15","13996","14172"
"01.01.2015 04:15 - 01.01.2015 04:30","13953","14053"
"01.01.2015 04:30 - 01.01.2015 04:45","13938","14051"
"01.01.2015 04:45 - 01.01.2015 05:00","13923","14057"
"01.01.2015 05:00 - 01.01.2015 05:15","13848","13932"
"01.01.2015 05:15 - 01.01.2015 05:30","13714","13865"
"01.01.2015 05:30 - 01.01.2015 05:45","13544","13765"
"01.01.2015 05:45 - 01.01.2015 06:00","13310","13679"
"01.01.2015 06:00 - 01.01.2015 06:15","13029","13449"
"01.01.2015 06:15 - 01.01.2015 06:30","12868","13389"
"01.01.2015 06:30 - 01.01.2015 06:45","12855","13407"
"01.01.2015 06:45 - 01.01.2015 07:00","12925","13340"
"01.01.2015 07:00 - 01.01.2015 07:15","12915","13326"
"01.01.2015 07:15 - 01.01.2015 07:30","13007","13236"
"01.01.2015 07:30 - 01.01.2015 07:45","13274","13282"
"01.01.2015 07:45 - 01.01.2015 08:00","13508","13402"
"01.01.2015 08:00 - 01.01.2015 08:15","13815","13496"
"01.01.2015 08:15 - 01.01.2015 08:30","13931","13449"
"01.01.2015 08:30 - 01.01.2015 08:45","14068","13567"
"01.01.2015 08:45 - 01.01.2015 09:00","14346","13821"
"01.01.2015 09:00 - 01.01.2015 09:15","14795","14090"
"01.01.2015 09:15 - 01.01.2015 09:30","15062","14339"
"01.01.2015 09:30 - 01.01.2015 09:45","15355","14675"
"01.01.2015 09:45 - 01.01.2015 10:00","15487","15089"
"01.01.2015 10:00 - 01.01.2015 10:15","15696","15162"
"01.01.2015 10:15 - 01.01.2015 10:30","15898","15325"
"01.01.2015 10:30 - 01.01.2015 10:45","16122","15614"
"01.01.2015 10:45 - 01.01.2015 11:00","16343","15848"
"01.01.2015 11:00 - 01.01.2015 11:15","16632","16067"
"01.01.2015 11:15 - 01.01.2015 11:30","16904","16147"
"01.01.2015 11:30 - 01.01.2015 11:45","17195","16354"
"01.01.2015 11:45 - 01.01.2015 12:00","17269","16620"
"01.01.2015 12:00 - 01.01.2015 12:15","17374","16810"
"01.01.2015 12:15 - 01.01.2015 12:30","17460","17133"
"01.01.2015 12:30 - 01.01.2015 12:45","17460","17302"
"01.01.2015 12:45 - 01.01.2015 13:00","17342","17178"
"01.01.2015 13:00 - 01.01.2015 13:15","17256","17002"
"01.01.2015 13:15 - 01.01.2015 13:30","17113","16887"
"01.01.2015 13:30 - 01.01.2015 13:45","17073","16868"
"01.01.2015 13:45 - 01.01.2015 14:00","16952","16899"
"01.01.2015 14:00 - 01.01.2015 14:15","16974","17015"
"01.01.2015 14:15 - 01.01.2015 14:30","16911","17073"
"01.01.2015 14:30 - 01.01.2015 14:45","16914","17130"
"01.01.2015 14:45 - 01.01.2015 15:00","16768","16917"
"01.01.2015 15:00 - 01.01.2015 15:15","16812","17059"
"01.01.2015 15:15 - 01.01.2015 15:30","16706","17107"
"01.01.2015 15:30 - 01.01.2015 15:45","16718","17104"
"01.01.2015 15:45 - 01.01.2015 16:00","16655","17127"
"01.01.2015 16:00 - 01.01.2015 16:15","16653","17088"
"01.01.2015 16:15 - 01.01.2015 16:30","16749","17246"
"01.01.2015 16:30 - 01.01.2015 16:45","17021","17717"
"01.01.2015 16:45 - 01.01.2015 17:00","17309","18197"
"01.01.2015 17:00 - 01.01.2015 17:15","17774","18756"
"01.01.2015 17:15 - 01.01.2015 17:30","17994","19085"
"01.01.2015 17:30 - 01.01.2015 17:45","18160","19273"
"01.01.2015 17:45 - 01.01.2015 18:00","18252","19191"
"01.01.2015 18:00 - 01.01.2015 18:15","18351","19190"
"01.01.2015 18:15 - 01.01.2015 18:30","18425","19266"
"01.01.2015 18:30 - 01.01.2015 18:45","18455","19287"
"01.01.2015 18:45 - 01.01.2015 19:00","18341","19138"
"01.01.2015 19:00 - 01.01.2015 19:15","18257","19271"
"01.01.2015 19:15 - 01.01.2015 19:30","18134","19396"
"01.01.2015 19:30 - 01.01.2015 19:45","18112","19278"
"01.01.2015 19:45 - 01.01.2015 20:00","17976","19103"
"01.01.2015 20:00 - 01.01.2015 20:15","17806","19025"
"01.01.2015 20:15 - 01.01.2015 20:30","17611","18677"
"01.01.2015 20:30 - 01.01.2015 20:45","17344","18335"
"01.01.2015 20:45 - 01.01.2015 21:00","17202","18140"
"01.01.2015 21:00 - 01.01.2015 21:15","17340","18240"
"01.01.2015 21:15 - 01.01.2015 21:30","17339","18176"
"01.01.2015 21:30 - 01.01.2015 21:45","17387","18176"
"01.01.2015 21:45 - 01.01.2015 22:00","17432","18519"
"01.01.2015 22:00 - 01.01.2015 22:15","17454","18733"
"01.01.2015 22:15 - 01.01.2015 22:30","17324","18365"
"01.01.2015 22:30 - 01.01.2015 22:45","17107","18237"
"01.01.2015 22:45 - 01.01.2015 23:00","16745","17938"
"01.01.2015 23:00 - 01.01.2015 23:15","16514","17760"
"01.01.2015 23:15 - 01.01.2015 23:30","16261","17435"
"01.01.2015 23:30 - 01.01.2015 23:45","15825","17180"
"01.01.2015 23:45 - 02.01.2015 00:00","15410","17097"
"02.01.2015 00:00 - 02.01.2015 00:15","15345","16016"
"02.01.2015 00:15 - 02.01.2015 00:30","15048","16571"
"02.01.2015 00:30 - 02.01.2015 00:45","14856","15956"
"02.01.2015 00:45 - 02.01.2015 01:00","14700","15755"
"02.01.2015 01:00 - 02.01.2015 01:15","14514","15793"
"02.01.2015 01:15 - 02.01.2015 01:30","14379","15631"
"02.01.2015 01:30 - 02.01.2015 01:45","14211","15520"
"02.01.2015 01:45 - 02.01.2015 02:00","14164","15421"
