"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"01.01.2015 00:00 - 01.01.2015 00:15","14630","14369"
"01.01.2015 00:15 - 01.01.2015 00:30","14525","14223"
"01.01.2015 00:30 - 01.01.2015 00:45","14312","14036"
"01.01.2015 00:45 - 01.01.2015 01:00","14077","13813"
"01.01.2015 01:00 - 01.01.2015 01:15","13821","13570"
"01.01.2015 01:15 - 01.01.2015 01:30","13548","13342"
"01.01.2015 01:30 - 01.01.2015 01:45","13359","13129"
"01.01.2015 01:45 - 01.01.2015 02:00","13181","13029"
"01.01.2015 02:00 - 01.01.2015 02:15","12988","12883"
"01.01.2015 02:15 - 01.01.2015 02:30","12896","12713"
"01.01.2015 02:30 - 01.01.2015 02:45","12838","12567"
"01.01.2015 02:45 - 01.01.2015 03:00","12710","12405"
"01.01.2015 03:00 - 01.01.2015 03:15","12724","12296"
"01.01.2015 03:15 - 01.01.2015 03:30","12638","12207"
"01.01.2015 03:30 - 01.01.2015 03:45","12569","11991"
"01.01.2015 03:45 - 01.01.2015 04:00","12514","12036"
"01.01.2015 04:00 - 01.01.2015 04:15","12575","12088"
"01.01.2015 04:15 - 01.01.2015 04:30","12488","12005"
"01.01.2015 04:30 - 01.01.2015 04:45","12467","11737"
"01.01.2015 04:45 - 01.01.2015 05:00","12428","11531"
"01.01.2015 05:00 - 01.01.2015 05:15","12505","11716"
"01.01.2015 05:15 - 01.01.2015 05:30","12470","11462"
"01.01.2015 05:30 - 01.01.2015 05:45","12523","11390"
"01.01.2015 05:45 - 01.01.2015 06:00","12360","11191"
"01.01.2015 06:00 - 01.01.2015 06:15","12120","10879"
"01.01.2015 06:15 - 01.01.2015 06:30","11862","10868"
"01.01.2015 06:30 - 01.01.2015 06:45","11992","10995"
"01.01.2015 06:45 - 01.01.2015 07:00","12104","11077"
"01.01.2015 07:00 - 01.01.2015 07:15","12352","11074"
"01.01.2015 07:15 - 01.01.2015 07:30","12621","11105"
"01.01.2015 07:30 - 01.01.2015 07:45","12553","11258"
"01.01.2015 07:45 - 01.01.2015 08:00","12582","11378"
"01.01.2015 08:00 - 01.01.2015 08:15","13019","11363"
"01.01.2015 08:15 - 01.01.2015 08:30","13242","11387"
"01.01.2015 08:30 - 01.01.2015 08:45","13150","11257"
"01.01.2015 08:45 - 01.01.2015 09:00","13451","11305"
"01.01.2015 09:00 - 01.01.2015 09:15","13808","11546"
"01.01.2015 09:15 - 01.01.2015 09:30","14102","11756"
"01.01.2015 09:30 - 01.01.2015 09:45","14181","11924"
"01.01.2015 09:45 - 01.01.2015 10:00","14305","12010"
"01.01.2015 10:00 - 01.01.2015 10:15","14428","12296"
"01.01.2015 10:15 - 01.01.2015 10:30","14698","12644"
"01.01.2015 10:30 - 01.01.2015 10:45","15142","12937"
"01.01.2015 10:45 - 01.01.2015 11:00","15196","13050"
"01.01.2015 11:00 - 01.01.2015 11:15","15755","13528"
"01.01.2015 11:15 - 01.01.2015 11:30","15937","13905"
"01.01.2015 11:30 - 01.01.2015 11:45","16212","14150"
"01.01.2015 11:45 - 01.01.2015 12:00","16283","14281"
"01.01.2015 12:00 - 01.01.2015 12:15","16249","14390"
"01.01.2015 12:15 - 01.01.2015 12:30","16277","14510"
"01.01.2015 12:30 - 01.01.2015 12:45","16212","14397"
"01.01.2015 12:45 - 01.01.2015 13:00","16189","14351"
"01.01.2015 13:00 - 01.01.2015 13:15","15831","14371"
"01.01.2015 13:15 - 01.01.2015 13:30","15824","14359"
"01.01.2015 13:30 - 01.01.2015 13:45","15625","14143"
"01.01.2015 13:45 - 01.01.2015 14:00","15429","14109"
"01.01.2015 14:00 - 01.01.2015 14:15","15594","13772"
"01.01.2015 14:15 - 01.01.2015 14:30","15320","13752"
"01.01.2015 14:30 - 01.01.2015 14:45","15347","13684"
"01.01.2015 14:45 - 01.01.2015 15:00","15104","13619"
"01.01.2015 15:00 - 01.01.2015 15:15","15147","13525"
"01.01.2015 15:15 - 01.01.2015 15:30","15258","13560"
"01.01.2015 15:30 - 01.01.2015 15:45","15139","13625"
"01.01.2015 15:45 - 01.01.2015 16:00","15276","13829"
"01.01.2015 16:00 - 01.01.2015 16:15","15648","14011"
"01.01.2015 16:15 - 01.01.2015 16:30","15823","14299"
"01.01.2015 16:30 - 01.01.2015 16:45","16347","14722"
"01.01.2015 16:45 - 01.01.2015 17:00","17025","15109"
"01.01.2015 17:00 - 01.01.2015 17:15","17026","15379"
"01.01.2015 17:15 - 01.01.2015 17:30","17421","15603"
"01.01.2015 17:30 - 01.01.2015 17:45","17755","15647"
"01.01.2015 17:45 - 01.01.2015 18:00","17815","15659"
"01.01.2015 18:00 - 01.01.2015 18:15","18110","15557"
"01.01.2015 18:15 - 01.01.2015 18:30","18084","15374"
"01.01.2015 18:30 - 01.01.2015 18:45","17995","15157"
"01.01.2015 18:45 - 01.01.2015 19:00","17852","14904"
"01.01.2015 19:00 - 01.01.2015 19:15","17951","14583"
"01.01.2015 19:15 - 01.01.2015 19:30","17884","14463"
"01.01.2015 19:30 - 01.01.2015 19:45","17598","14182"
"01.01.2015 19:45 - 01.01.2015 20:00","17306","13863"
"01.01.2015 20:00 - 01.01.2015 20:15","17150","13588"
"01.01.2015 20:15 - 01.01.2015 20:30","16692","13359"
"01.01.2015 20:30 - 01.01.2015 20:45","16422","13040"
"01.01.2015 20:45 - 01.01.2015 21:00","16247","12703"
"01.01.2015 21:00 - 01.01.2015 21:15","16193","12593"
"01.01.2015 21:15 - 01.01.2015 21:30","16100","12410"
"01.01.2015 21:30 - 01.01.2015 21:45","15890","12050"
"01.01.2015 21:45 - 01.01.2015 22:00","15851","11945"
"01.01.2015 22:00 - 01.01.2015 22:15","16519","16966"
"01.01.2015 22:15 - 01.01.2015 22:30","16522","16841"
"01.01.2015 22:30 - 01.01.2015 22:45","16139","16455"
"01.01.2015 22:45 - 01.01.2015 23:00","15969","16261"
"01.01.2015 23:00 - 01.01.2015 23:15","15692","16158"
"01.01.2015 23:15 - 01.01.2015 23:30","15600","15868"
"01.01.2015 23:30 - 01.01.2015 23:45","15319","15645"
"01.01.2015 23:45 - 02.01.2015 00:00","14965","15489"
"02.01.2015 00:00 - 02.01.2015 00:15","15966","15285"
"02.01.2015 00:15 - 02.01.2015 00:30","14312","14955"
"02.01.2015 00:30 - 02.01.2015 00:45","14043","14756"
"02.01.2015 00:45 - 02.01.2015 01:00","13871","14808"
"02.01.2015 01:00 - 02.01.2015 01:15","13617","14563"
"02.01.2015 01:15 - 02.01.2015 01:30","13398","14418"
"02.01.2015 01:30 - 02.01.2015 01:45","13333","14355"
"02.01.2015 01:45 - 02.01.2015 02:00","13192","14266"
"02.01.2015 02:00 - 02.01.2015 02:15","12933","14016"
"02.01.2015 02:15 - 02.01.2015 02:30","12885","13985"
"02.01.2015 02:30 - 02.01.2015 02:45","12896","13895"
"02.01.2015 02:45 - 02.01.2015 03:00","12761","13816"
"02.01.2015 03:00 - 02.01.2015 03:15","12823","13871"
"02.01.2015 03:15 - 02.01.2015 03:30","12750","13785"
"02.01.2015 03:30 - 02.01.2015 03:45","12631","13573"
"02.01.2015 03:45 - 02.01.2015 04:00","12503","13651"
"02.01.2015 04:00 - 02.01.2015 04:15","12727","13773"
"02.01.2015 04:15 - 02.01.2015 04:30","12571","13861"
"02.01.2015 04:30 - 02.01.2015 04:45","12517","13873"
"02.01.2015 04:45 - 02.01.2015 05:00","12706","13928"
"02.01.2015 05:00 - 02.01.2015 05:15","12933","14358"
"02.01.2015 05:15 - 02.01.2015 05:30","12870","14490"
"02.01.2015 05:30 - 02.01.2015 05:45","13092","14791"
"02.01.2015 05:45 - 02.01.2015 06:00","13263","14883"
"02.01.2015 06:00 - 02.01.2015 06:15","13532","15062"
"02.01.2015 06:15 - 02.01.2015 06:30","13757","15348"
"02.01.2015 06:30 - 02.01.2015 06:45","14054","15890"
"02.01.2015 06:45 - 02.01.2015 07:00","14393","15939"
"02.01.2015 07:00 - 02.01.2015 07:15","14821","16376"
"02.01.2015 07:15 - 02.01.2015 07:30","15299","16594"
"02.01.2015 07:30 - 02.01.2015 07:45","15658","16905"
"02.01.2015 07:45 - 02.01.2015 08:00","15958","17286"
"02.01.2015 08:00 - 02.01.2015 08:15","16281","17713"
"02.01.2015 08:15 - 02.01.2015 08:30","16319","18296"
"02.01.2015 08:30 - 02.01.2015 08:45","16512","18691"
"02.01.2015 08:45 - 02.01.2015 09:00","16497","18441"
"02.01.2015 09:00 - 02.01.2015 09:15","16651","18756"
"02.01.2015 09:15 - 02.01.2015 09:30","17034","18920"
"02.01.2015 09:30 - 02.01.2015 09:45","17086","18921"
"02.01.2015 09:45 - 02.01.2015 10:00","17312","19105"
"02.01.2015 10:00 - 02.01.2015 10:15","17537","19237"
"02.01.2015 10:15 - 02.01.2015 10:30","17377","19180"
"02.01.2015 10:30 - 02.01.2015 10:45","17500","19491"
"02.01.2015 10:45 - 02.01.2015 11:00","17676","19631"
"02.01.2015 11:00 - 02.01.2015 11:15","17832","19663"
"02.01.2015 11:15 - 02.01.2015 11:30","17938","19911"
"02.01.2015 11:30 - 02.01.2015 11:45","17922","20066"
"02.01.2015 11:45 - 02.01.2015 12:00","17914","20103"
"02.01.2015 12:00 - 02.01.2015 12:15","18079","20112"
"02.01.2015 12:15 - 02.01.2015 12:30","17882","19903"
"02.01.2015 12:30 - 02.01.2015 12:45","17909","19841"
"02.01.2015 12:45 - 02.01.2015 13:00","17907","19663"
"02.01.2015 13:00 - 02.01.2015 13:15","17634","19680"
