"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"01.01.2016 00:00 - 01.01.2016 00:15","13357","13344"
"01.01.2016 00:15 - 01.01.2016 00:30","13948","13262"
"01.01.2016 00:30 - 01.01.2016 00:45","13788","13124"
"01.01.2016 00:45 - 01.01.2016 01:00","13531","12875"
"01.01.2016 01:00 - 01.01.2016 01:15","13366","12843"
"01.01.2016 01:15 - 01.01.2016 01:30","12983","12682"
"01.01.2016 01:30 - 01.01.2016 01:45","12980","12517"
"01.01.2016 01:45 - 01.01.2016 02:00","12825","12283"
"01.01.2016 02:00 - 01.01.2016 02:15","12555","12208"
"01.01.2016 02:15 - 01.01.2016 02:30","12266","11949"
"01.01.2016 02:30 - 01.01.2016 02:45","12113","11763"
"01.01.2016 02:45 - 01.01.2016 03:00","12046","11628"
"01.01.2016 03:00 - 01.01.2016 03:15","12083","11497"
"01.01.2016 03:15 - 01.01.2016 03:30","12050","11278"
"01.01.2016 03:30 - 01.01.2016 03:45","11935","11140"
"01.01.2016 03:45 - 01.01.2016 04:00","11852","11141"
"01.01.2016 04:00 - 01.01.2016 04:15","11748","11361"
"01.01.2016 04:15 - 01.01.2016 04:30","12079","11326"
"01.01.2016 04:30 - 01.01.2016 04:45","11629","11253"
"01.01.2016 04:45 - 01.01.2016 05:00","11681","11227"
"01.01.2016 05:00 - 01.01.2016 05:15","11811","11453"
"01.01.2016 05:15 - 01.01.2016 05:30","11759","11341"
"01.01.2016 05:30 - 01.01.2016 05:45","11710","11296"
"01.01.2016 05:45 - 01.01.2016 06:00","11658","11222"
"01.01.2016 06:00 - 01.01.2016 06:15","11461","11099"
"01.01.2016 06:15 - 01.01.2016 06:30","11645","11015"
"01.01.2016 06:30 - 01.01.2016 06:45","11754","11148"
"01.01.2016 06:45 - 01.01.2016 07:00","11485","11172"
"01.01.2016 07:00 - 01.01.2016 07:15","11862","10924"
"01.01.2016 07:15 - 01.01.2016 07:30","12103","11034"
"01.01.2016 07:30 - 01.01.2016 07:45","12588","11062"
"01.01.2016 07:45 - 01.01.2016 08:00","12234","11105"
"01.01.2016 08:00 - 01.01.2016 08:15","12784","10829"
"01.01.2016 08:15 - 01.01.2016 08:30","12684","10877"
"01.01.2016 08:30 - 01.01.2016 08:45","12691","10938"
"01.01.2016 08:45 - 01.01.2016 09:00","12882","11252"
"01.01.2016 09:00 - 01.01.2016 09:15","13005","11515"
"01.01.2016 09:15 - 01.01.2016 09:30","13447","11802"
"01.01.2016 09:30 - 01.01.2016 09:45","13542","12060"
"01.01.2016 09:45 - 01.01.2016 10:00","13754","12267"
"01.01.2016 10:00 - 01.01.2016 10:15","13816","12487"
"01.01.2016 10:15 - 01.01.2016 10:30","14502","12725"
"01.01.2016 10:30 - 01.01.2016 10:45","14584","13021"
"01.01.2016 10:45 - 01.01.2016 11:00","14612","13250"
"01.01.2016 11:00 - 01.01.2016 11:15","15047","13409"
"01.01.2016 11:15 - 01.01.2016 11:30","15469","13692"
"01.01.2016 11:30 - 01.01.2016 11:45","15759","13860"
"01.01.2016 11:45 - 01.01.2016 12:00","15756","13837"
"01.01.2016 12:00 - 01.01.2016 12:15","15891","13910"
"01.01.2016 12:15 - 01.01.2016 12:30","15708","13881"
"01.01.2016 12:30 - 01.01.2016 12:45","15569","13917"
"01.01.2016 12:45 - 01.01.2016 13:00","15683","13843"
"01.01.2016 13:00 - 01.01.2016 13:15","15462","13825"
"01.01.2016 13:15 - 01.01.2016 13:30","15888","13688"
"01.01.2016 13:30 - 01.01.2016 13:45","15350","13628"
"01.01.2016 13:45 - 01.01.2016 14:00","14684","13580"
"01.01.2016 14:00 - 01.01.2016 14:15","14734","13571"
"01.01.2016 14:15 - 01.01.2016 14:30","14705","13473"
"01.01.2016 14:30 - 01.01.2016 14:45","14323","13475"
"01.01.2016 14:45 - 01.01.2016 15:00","15256","13429"
"01.01.2016 15:00 - 01.01.2016 15:15","14270","13563"
"01.01.2016 15:15 - 01.01.2016 15:30","14914","13603"
"01.01.2016 15:30 - 01.01.2016 15:45","14298","13621"
"01.01.2016 15:45 - 01.01.2016 16:00","14421","13691"
"01.01.2016 16:00 - 01.01.2016 16:15","14442","14006"
"01.01.2016 16:15 - 01.01.2016 16:30","14826","14336"
"01.01.2016 16:30 - 01.01.2016 16:45","14955","14781"
"01.01.2016 16:45 - 01.01.2016 17:00","15703","15209"
"01.01.2016 17:00 - 01.01.2016 17:15","15606","15356"
"01.01.2016 17:15 - 01.01.2016 17:30","15481","15480"
"01.01.2016 17:30 - 01.01.2016 17:45","16088","15637"
"01.01.2016 17:45 - 01.01.2016 18:00","15850","15699"
"01.01.2016 18:00 - 01.01.2016 18:15","16051","15734"
"01.01.2016 18:15 - 01.01.2016 18:30","16321","15706"
"01.01.2016 18:30 - 01.01.2016 18:45","16244","15708"
"01.01.2016 18:45 - 01.01.2016 19:00","16095","15552"
"01.01.2016 19:00 - 01.01.2016 19:15","15983","15457"
"01.01.2016 19:15 - 01.01.2016 19:30","15137","15280"
"01.01.2016 19:30 - 01.01.2016 19:45","15231","15171"
"01.01.2016 19:45 - 01.01.2016 20:00","15021","14963"
"01.01.2016 20:00 - 01.01.2016 20:15","14274","14777"
"01.01.2016 20:15 - 01.01.2016 20:30","14084","14371"
"01.01.2016 20:30 - 01.01.2016 20:45","13860","14015"
"01.01.2016 20:45 - 01.01.2016 21:00","13675","13773"
"01.01.2016 21:00 - 01.01.2016 21:15","13261","13755"
"01.01.2016 21:15 - 01.01.2016 21:30","13220","13637"
"01.01.2016 21:30 - 01.01.2016 21:45","12750","13589"
"01.01.2016 21:45 - 01.01.2016 22:00","12848","13536"
"01.01.2016 22:00 - 01.01.2016 22:15","14962","13985"
"01.01.2016 22:15 - 01.01.2016 22:30","15078","13856"
"01.01.2016 22:30 - 01.01.2016 22:45","14935","13455"
"01.01.2016 22:45 - 01.01.2016 23:00","14809","13310"
