"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TenneT GER)","Actual Total Load [MW] - CTA|DE(TenneT GER)"
"02.01.2017 00:15 - 02.01.2017 00:30","12052","13688"
"02.01.2017 00:30 - 02.01.2017 00:45","11814","13402"
"02.01.2017 00:45 - 02.01.2017 01:00","11573","13191"
"02.01.2017 01:00 - 02.01.2017 01:15","11548","13069"
"02.01.2017 01:15 - 02.01.2017 01:30","11539","12813"
"02.01.2017 01:30 - 02.01.2017 01:45","11618","13011"
"02.01.2017 01:45 - 02.01.2017 02:00","11404","13130"
"02.01.2017 02:00 - 02.01.2017 02:15","11559","13142"
"02.01.2017 02:15 - 02.01.2017 02:30","11490","13076"
"02.01.2017 02:30 - 02.01.2017 02:45","11453","12864"
"02.01.2017 02:45 - 02.01.2017 03:00","11393","12776"
"02.01.2017 03:00 - 02.01.2017 03:15","11617","12901"
"02.01.2017 03:15 - 02.01.2017 03:30","11689","13145"
"02.01.2017 03:30 - 02.01.2017 03:45","11559","13163"
"02.01.2017 03:45 - 02.01.2017 04:00","11558","13033"
"02.01.2017 04:00 - 02.01.2017 04:15","11775","12913"
"02.01.2017 04:15 - 02.01.2017 04:30","12017","12903"
"02.01.2017 04:30 - 02.01.2017 04:45","11871","13104"
"02.01.2017 04:45 - 02.01.2017 05:00","11986","13281"
"02.01.2017 05:00 - 02.01.2017 05:15","12274","13707"
"02.01.2017 05:15 - 02.01.2017 05:30","12637","13875"
"02.01.2017 05:30 - 02.01.2017 05:45","12754","14170"
"02.01.2017 05:45 - 02.01.2017 06:00","13103","14657"
"02.01.2017 06:00 - 02.01.2017 06:15","14489","15405"
"02.01.2017 06:15 - 02.01.2017 06:30","15013","16020"
"02.01.2017 06:30 - 02.01.2017 06:45","15384","16600"
"02.01.2017 06:45 - 02.01.2017 07:00","15875","17098"
"02.01.2017 07:00 - 02.01.2017 07:15","16296","17747"
"02.01.2017 07:15 - 02.01.2017 07:30","17190","18183"
"02.01.2017 07:30 - 02.01.2017 07:45","17642","18563"
"02.01.2017 07:45 - 02.01.2017 08:00","17306","19240"
"02.01.2017 08:00 - 02.01.2017 08:15","17022","19646"
"02.01.2017 08:15 - 02.01.2017 08:30","17455","19524"
"02.01.2017 08:30 - 02.01.2017 08:45","18386","19706"
"02.01.2017 08:45 - 02.01.2017 09:00","18559","19977"
"02.01.2017 09:00 - 02.01.2017 09:15","18278","20054"
"02.01.2017 09:15 - 02.01.2017 09:30","19032","20186"
"02.01.2017 09:30 - 02.01.2017 09:45","19194","20392"
"02.01.2017 09:45 - 02.01.2017 10:00","19137","20105"
"02.01.2017 10:00 - 02.01.2017 10:15","19721","20173"
"02.01.2017 10:15 - 02.01.2017 10:30","19865","20481"
"02.01.2017 10:30 - 02.01.2017 10:45","19864","20465"
"02.01.2017 10:45 - 02.01.2017 11:00","20148","20539"
"02.01.2017 11:00 - 02.01.2017 11:15","20582","20839"
"02.01.2017 11:15 - 02.01.2017 11:30","20432","20736"
"02.01.2017 11:30 - 02.01.2017 11:45","20459","21082"
"02.01.2017 11:45 - 02.01.2017 12:00","20463","20945"
"02.01.2017 12:00 - 02.01.2017 12:15","20307","20766"
"02.01.2017 12:15 - 02.01.2017 12:30","20147","20632"
"02.01.2017 12:30 - 02.01.2017 12:45","20346","20753"
"02.01.2017 12:45 - 02.01.2017 13:00","20532","20355"
"02.01.2017 13:00 - 02.01.2017 13:15","20398","20418"
"02.01.2017 13:15 - 02.01.2017 13:30","20259","20373"
"02.01.2017 13:30 - 02.01.2017 13:45","19972","19944"
"02.01.2017 13:45 - 02.01.2017 14:00","19943","19709"
"02.01.2017 14:00 - 02.01.2017 14:15","19862","19680"
"02.01.2017 14:15 - 02.01.2017 14:30","20119","19523"
"02.01.2017 14:30 - 02.01.2017 14:45","20138","19568"
"02.01.2017 14:45 - 02.01.2017 15:00","20029","19650"
"02.01.2017 15:00 - 02.01.2017 15:15","19732","19701"
"02.01.2017 15:15 - 02.01.2017 15:30","19597","19571"
"02.01.2017 15:30 - 02.01.2017 15:45","19669","19547"
"02.01.2017 15:45 - 02.01.2017 16:00","19667","19679"
"02.01.2017 16:00 - 02.01.2017 16:15","19520","19948"
"02.01.2017 16:15 - 02.01.2017 16:30","19069","20013"
"02.01.2017 16:30 - 02.01.2017 16:45","19404","20241"
"02.01.2017 16:45 - 02.01.2017 17:00","19544","20708"
"02.01.2017 17:00 - 02.01.2017 17:15","19198","20969"
"02.01.2017 17:15 - 02.01.2017 17:30","20129","21245"
"02.01.2017 17:30 - 02.01.2017 17:45","19321","21371"
"02.01.2017 17:45 - 02.01.2017 18:00","19733","21393"
"02.01.2017 18:00 - 02.01.2017 18:15","19209","21359"
"02.01.2017 18:15 - 02.01.2017 18:30","18594","21131"
"02.01.2017 18:30 - 02.01.2017 18:45","18546","21051"
"02.01.2017 18:45 - 02.01.2017 19:00","17988","21384"
"02.01.2017 19:00 - 02.01.2017 19:15","17746","21008"
"02.01.2017 19:15 - 02.01.2017 19:30","18515","20666"
"02.01.2017 19:30 - 02.01.2017 19:45","17631","20410"
"02.01.2017 19:45 - 02.01.2017 20:00","17929","20120"
"02.01.2017 20:00 - 02.01.2017 20:15","18007","19422"
"02.01.2017 20:15 - 02.01.2017 20:30","17828","19355"
"02.01.2017 20:30 - 02.01.2017 20:45","16960","18716"
"02.01.2017 20:45 - 02.01.2017 21:00","16853","18355"
"02.01.2017 21:00 - 02.01.2017 21:15","16939","18355"
"02.01.2017 21:15 - 02.01.2017 21:30","16732","18049"
"02.01.2017 21:30 - 02.01.2017 21:45","16632","17840"
"02.01.2017 21:45 - 02.01.2017 22:00","16383","17647"
"02.01.2017 22:00 - 02.01.2017 22:15","15812","18153"
"02.01.2017 22:15 - 02.01.2017 22:30","15161","17717"
"02.01.2017 22:30 - 02.01.2017 22:45","14875","17654"
"02.01.2017 22:45 - 02.01.2017 23:00","13754","17500"
"02.01.2017 23:00 - 02.01.2017 23:15","12892","16974"
"02.01.2017 23:15 - 02.01.2017 23:30","12218","16754"
"02.01.2017 23:30 - 02.01.2017 23:45","12976","16434"
"02.01.2017 23:45 - 03.01.2017 00:00","10822","16182"
"03.01.2017 00:00 - 03.01.2017 00:15","14908","16026"
"03.01.2017 00:15 - 03.01.2017 00:30","14802","15740"
"03.01.2017 00:30 - 03.01.2017 00:45","14703","15521"
"03.01.2017 00:45 - 03.01.2017 01:00","14561","15192"
"03.01.2017 01:00 - 03.01.2017 01:15","14365","15121"
"03.01.2017 01:15 - 03.01.2017 01:30","14225","15092"
"03.01.2017 01:30 - 03.01.2017 01:45","14158","15138"
"03.01.2017 01:45 - 03.01.2017 02:00","13898","14815"
"03.01.2017 02:00 - 03.01.2017 02:15","13795","14528"
"03.01.2017 02:15 - 03.01.2017 02:30","13715","14458"
"03.01.2017 02:30 - 03.01.2017 02:45","13708","14185"
"03.01.2017 02:45 - 03.01.2017 03:00","13746","14092"
"03.01.2017 03:00 - 03.01.2017 03:15","13733","14159"
"03.01.2017 03:15 - 03.01.2017 03:30","13779","14092"
"03.01.2017 03:30 - 03.01.2017 03:45","13694","14119"
"03.01.2017 03:45 - 03.01.2017 04:00","13607","14278"
"03.01.2017 04:00 - 03.01.2017 04:15","13973","14481"
"03.01.2017 04:15 - 03.01.2017 04:30","14127","14454"
"03.01.2017 04:30 - 03.01.2017 04:45","14167","14476"
"03.01.2017 04:45 - 03.01.2017 05:00","14289","14720"
"03.01.2017 05:00 - 03.01.2017 05:15","14506","15081"
"03.01.2017 05:15 - 03.01.2017 05:30","14747","15306"
"03.01.2017 05:30 - 03.01.2017 05:45","15076","15410"
"03.01.2017 05:45 - 03.01.2017 06:00","15699","15836"
"03.01.2017 06:00 - 03.01.2017 06:15","15982","16388"
"03.01.2017 06:15 - 03.01.2017 06:30","17180","17183"
"03.01.2017 06:30 - 03.01.2017 06:45","17498","17558"
"03.01.2017 06:45 - 03.01.2017 07:00","17667","17816"
"03.01.2017 07:00 - 03.01.2017 07:15","18429","18527"
"03.01.2017 07:15 - 03.01.2017 07:30","19895","19142"
"03.01.2017 07:30 - 03.01.2017 07:45","20079","19763"
"03.01.2017 07:45 - 03.01.2017 08:00","20513","20235"
"03.01.2017 08:00 - 03.01.2017 08:15","20623","20525"
"03.01.2017 08:15 - 03.01.2017 08:30","20985","20723"
"03.01.2017 08:30 - 03.01.2017 08:45","20806","20848"
"03.01.2017 08:45 - 03.01.2017 09:00","20508","20835"
"03.01.2017 09:00 - 03.01.2017 09:15","20293","21043"
"03.01.2017 09:15 - 03.01.2017 09:30","20337","21337"
"03.01.2017 09:30 - 03.01.2017 09:45","20331","21272"
"03.01.2017 09:45 - 03.01.2017 10:00","20425","21362"
"03.01.2017 10:00 - 03.01.2017 10:15","20485","21632"
"03.01.2017 10:15 - 03.01.2017 10:30","20646","21901"
"03.01.2017 10:30 - 03.01.2017 10:45","20536","22243"
"03.01.2017 10:45 - 03.01.2017 11:00","20594","22398"
"03.01.2017 11:00 - 03.01.2017 11:15","20642","22565"
"03.01.2017 11:15 - 03.01.2017 11:30","20569","22682"
"03.01.2017 11:30 - 03.01.2017 11:45","20712","22723"
"03.01.2017 11:45 - 03.01.2017 12:00","20728","22951"
"03.01.2017 12:00 - 03.01.2017 12:15","20619","22890"
"03.01.2017 12:15 - 03.01.2017 12:30","20524","22960"
"03.01.2017 12:30 - 03.01.2017 12:45","20526","23103"
"03.01.2017 12:45 - 03.01.2017 13:00","20604","22759"
"03.01.2017 13:00 - 03.01.2017 13:15","20478","22589"
"03.01.2017 13:15 - 03.01.2017 13:30","20349","22510"
"03.01.2017 13:30 - 03.01.2017 13:45","20260","22469"
"03.01.2017 13:45 - 03.01.2017 14:00","20090","22377"
"03.01.2017 14:00 - 03.01.2017 14:15","19974","22451"
"03.01.2017 14:15 - 03.01.2017 14:30","19877","22324"
"03.01.2017 14:30 - 03.01.2017 14:45","19915","22435"
"03.01.2017 14:45 - 03.01.2017 15:00","19873","22382"
"03.01.2017 15:00 - 03.01.2017 15:15","19819","22307"
"03.01.2017 15:15 - 03.01.2017 15:30","19738","22252"
"03.01.2017 15:30 - 03.01.2017 15:45","19943","22267"
"03.01.2017 15:45 - 03.01.2017 16:00","20066","22221"
"03.01.2017 16:00 - 03.01.2017 16:15","19986","22343"
"03.01.2017 16:15 - 03.01.2017 16:30","20164","22662"
"03.01.2017 16:30 - 03.01.2017 16:45","20534","23098"
"03.01.2017 16:45 - 03.01.2017 17:00","20913","23536"
"03.01.2017 17:00 - 03.01.2017 17:15","21356","23708"
"03.01.2017 17:15 - 03.01.2017 17:30","21518","23902"
"03.01.2017 17:30 - 03.01.2017 17:45","21668","23944"
"03.01.2017 17:45 - 03.01.2017 18:00","21491","23965"
"03.01.2017 18:00 - 03.01.2017 18:15","21162","23877"
"03.01.2017 18:15 - 03.01.2017 18:30","21004","23734"
"03.01.2017 18:30 - 03.01.2017 18:45","20927","23677"
"03.01.2017 18:45 - 03.01.2017 19:00","21093","23616"
"03.01.2017 19:00 - 03.01.2017 19:15","20810","23315"
"03.01.2017 19:15 - 03.01.2017 19:30","20523","23112"
"03.01.2017 19:30 - 03.01.2017 19:45","20499","22882"
"03.01.2017 19:45 - 03.01.2017 20:00","20009","22595"
"03.01.2017 20:00 - 03.01.2017 20:15","19453","22249"
"03.01.2017 20:15 - 03.01.2017 20:30","19112","21780"
"03.01.2017 20:30 - 03.01.2017 20:45","18659","21500"
"03.01.2017 20:45 - 03.01.2017 21:00","18268","21176"
"03.01.2017 21:00 - 03.01.2017 21:15","17989","21055"
"03.01.2017 21:15 - 03.01.2017 21:30","17973","20920"
"03.01.2017 21:30 - 03.01.2017 21:45","17516","20513"
