"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.07.2013;00:00;01.07.2013;00:15;5352;5353
01.07.2013;00:15;01.07.2013;00:30;5441;5242
01.07.2013;00:30;01.07.2013;00:45;5214;5275
01.07.2013;00:45;01.07.2013;01:00;5139;5260
01.07.2013;01:00;01.07.2013;01:15;5027;5080
01.07.2013;01:15;01.07.2013;01:30;4984;5035
01.07.2013;01:30;01.07.2013;01:45;4975;5032
01.07.2013;01:45;01.07.2013;02:00;4996;4977
01.07.2013;02:00;01.07.2013;02:15;4947;4899
01.07.2013;02:15;01.07.2013;02:30;4877;4829
01.07.2013;02:30;01.07.2013;02:45;4904;4804
01.07.2013;02:45;01.07.2013;03:00;5001;4788
01.07.2013;03:00;01.07.2013;03:15;5008;4830
01.07.2013;03:15;01.07.2013;03:30;5026;4782
01.07.2013;03:30;01.07.2013;03:45;5056;4754
01.07.2013;03:45;01.07.2013;04:00;5066;4802
01.07.2013;04:00;01.07.2013;04:15;5174;4843
01.07.2013;04:15;01.07.2013;04:30;5237;4970
01.07.2013;04:30;01.07.2013;04:45;5289;5079
01.07.2013;04:45;01.07.2013;05:00;5379;5136
01.07.2013;05:00;01.07.2013;05:15;5528;5361
01.07.2013;05:15;01.07.2013;05:30;5617;5423
01.07.2013;05:30;01.07.2013;05:45;5826;5581
01.07.2013;05:45;01.07.2013;06:00;6070;5853
01.07.2013;06:00;01.07.2013;06:15;6500;6333
01.07.2013;06:15;01.07.2013;06:30;6832;6647
01.07.2013;06:30;01.07.2013;06:45;7054;6849
01.07.2013;06:45;01.07.2013;07:00;7282;7089
01.07.2013;07:00;01.07.2013;07:15;7667;7414
01.07.2013;07:15;01.07.2013;07:30;7940;7574
01.07.2013;07:30;01.07.2013;07:45;8070;7772
01.07.2013;07:45;01.07.2013;08:00;8283;7930
01.07.2013;08:00;01.07.2013;08:15;8432;8087
01.07.2013;08:15;01.07.2013;08:30;8520;8270
01.07.2013;08:30;01.07.2013;08:45;8562;8378
01.07.2013;08:45;01.07.2013;09:00;8683;8488
01.07.2013;09:00;01.07.2013;09:15;8522;8384
01.07.2013;09:15;01.07.2013;09:30;8587;8521
01.07.2013;09:30;01.07.2013;09:45;8826;8642
01.07.2013;09:45;01.07.2013;10:00;9037;8853
01.07.2013;10:00;01.07.2013;10:15;9026;8934
01.07.2013;10:15;01.07.2013;10:30;9136;9031
01.07.2013;10:30;01.07.2013;10:45;9229;9162
01.07.2013;10:45;01.07.2013;11:00;9331;9311
01.07.2013;11:00;01.07.2013;11:15;9399;9278
01.07.2013;11:15;01.07.2013;11:30;9412;9494
01.07.2013;11:30;01.07.2013;11:45;9457;9547
01.07.2013;11:45;01.07.2013;12:00;9471;9468
01.07.2013;12:00;01.07.2013;12:15;9335;9408
01.07.2013;12:15;01.07.2013;12:30;9198;9346
01.07.2013;12:30;01.07.2013;12:45;9094;9349
01.07.2013;12:45;01.07.2013;13:00;9032;9383
01.07.2013;13:00;01.07.2013;13:15;9023;9422
01.07.2013;13:15;01.07.2013;13:30;8997;9545
01.07.2013;13:30;01.07.2013;13:45;9003;9441
01.07.2013;13:45;01.07.2013;14:00;8919;9370
01.07.2013;14:00;01.07.2013;14:15;8827;9404
01.07.2013;14:15;01.07.2013;14:30;8862;9362
01.07.2013;14:30;01.07.2013;14:45;8874;9275
01.07.2013;14:45;01.07.2013;15:00;8745;9247
01.07.2013;15:00;01.07.2013;15:15;8767;9238
01.07.2013;15:15;01.07.2013;15:30;8596;9171
01.07.2013;15:30;01.07.2013;15:45;8575;9023
01.07.2013;15:45;01.07.2013;16:00;8483;8870
01.07.2013;16:00;01.07.2013;16:15;8447;8750
01.07.2013;16:15;01.07.2013;16:30;8493;8661
01.07.2013;16:30;01.07.2013;16:45;8396;8660
01.07.2013;16:45;01.07.2013;17:00;8321;8525
01.07.2013;17:00;01.07.2013;17:15;8345;8408
01.07.2013;17:15;01.07.2013;17:30;8099;8272
01.07.2013;17:30;01.07.2013;17:45;8110;8264
01.07.2013;17:45;01.07.2013;18:00;8109;8142
01.07.2013;18:00;01.07.2013;18:15;8105;8094
01.07.2013;18:15;01.07.2013;18:30;8002;8037
01.07.2013;18:30;01.07.2013;18:45;7966;8052
01.07.2013;18:45;01.07.2013;19:00;7884;7941
01.07.2013;19:00;01.07.2013;19:15;7930;7950
01.07.2013;19:15;01.07.2013;19:30;7844;7920
01.07.2013;19:30;01.07.2013;19:45;7750;7891
01.07.2013;19:45;01.07.2013;20:00;7667;7869
01.07.2013;20:00;01.07.2013;20:15;7610;7734
01.07.2013;20:15;01.07.2013;20:30;7478;7638
01.07.2013;20:30;01.07.2013;20:45;7399;7561
01.07.2013;20:45;01.07.2013;21:00;7357;7536
01.07.2013;21:00;01.07.2013;21:15;7207;7443
01.07.2013;21:15;01.07.2013;21:30;7191;7390
01.07.2013;21:30;01.07.2013;21:45;7257;7375
01.07.2013;21:45;01.07.2013;22:00;7273;7462
01.07.2013;22:00;01.07.2013;22:15;7228;7380
01.07.2013;22:15;01.07.2013;22:30;7028;7203
01.07.2013;22:30;01.07.2013;22:45;6939;7097
01.07.2013;22:45;01.07.2013;23:00;6757;6929
01.07.2013;23:00;01.07.2013;23:15;6541;6705
01.07.2013;23:15;01.07.2013;23:30;6326;6578
01.07.2013;23:30;01.07.2013;23:45;6250;6423
01.07.2013;23:45;02.07.2013;00:00;6198;6287
02.07.2013;00:00;02.07.2013;00:15;6049;6154
02.07.2013;00:15;02.07.2013;00:30;5910;5949
02.07.2013;00:30;02.07.2013;00:45;5818;5823
02.07.2013;00:45;02.07.2013;01:00;5734;5792
02.07.2013;01:00;02.07.2013;01:15;5619;5659
02.07.2013;01:15;02.07.2013;01:30;5596;5600
02.07.2013;01:30;02.07.2013;01:45;5569;5549
