"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.10.2013;00:00;01.10.2013;00:15;6013;6241
01.10.2013;00:15;01.10.2013;00:30;5893;6134
01.10.2013;00:30;01.10.2013;00:45;5798;5996
01.10.2013;00:45;01.10.2013;01:00;5670;5936
01.10.2013;01:00;01.10.2013;01:15;5553;5748
01.10.2013;01:15;01.10.2013;01:30;5436;5724
01.10.2013;01:30;01.10.2013;01:45;5397;5640
01.10.2013;01:45;01.10.2013;02:00;5395;5613
01.10.2013;02:00;01.10.2013;02:15;5315;5558
01.10.2013;02:15;01.10.2013;02:30;5292;5478
01.10.2013;02:30;01.10.2013;02:45;5277;5482
01.10.2013;02:45;01.10.2013;03:00;5283;5482
01.10.2013;03:00;01.10.2013;03:15;5402;5590
01.10.2013;03:15;01.10.2013;03:30;5332;5649
01.10.2013;03:30;01.10.2013;03:45;5449;5613
01.10.2013;03:45;01.10.2013;04:00;5432;5596
01.10.2013;04:00;01.10.2013;04:15;5561;5614
01.10.2013;04:15;01.10.2013;04:30;5622;5697
01.10.2013;04:30;01.10.2013;04:45;5664;5771
01.10.2013;04:45;01.10.2013;05:00;5782;5898
01.10.2013;05:00;01.10.2013;05:15;5915;6080
01.10.2013;05:15;01.10.2013;05:30;6017;6171
01.10.2013;05:30;01.10.2013;05:45;6194;6386
01.10.2013;05:45;01.10.2013;06:00;6467;6660
01.10.2013;06:00;01.10.2013;06:15;6990;7153
01.10.2013;06:15;01.10.2013;06:30;7313;7573
01.10.2013;06:30;01.10.2013;06:45;7651;7796
01.10.2013;06:45;01.10.2013;07:00;7799;8061
01.10.2013;07:00;01.10.2013;07:15;8122;8373
01.10.2013;07:15;01.10.2013;07:30;8318;8457
01.10.2013;07:30;01.10.2013;07:45;8481;8628
01.10.2013;07:45;01.10.2013;08:00;8647;8671
01.10.2013;08:00;01.10.2013;08:15;8760;8802
01.10.2013;08:15;01.10.2013;08:30;8776;8793
01.10.2013;08:30;01.10.2013;08:45;8774;8888
01.10.2013;08:45;01.10.2013;09:00;8854;8857
01.10.2013;09:00;01.10.2013;09:15;8635;8746
01.10.2013;09:15;01.10.2013;09:30;8761;8776
01.10.2013;09:30;01.10.2013;09:45;8860;8903
01.10.2013;09:45;01.10.2013;10:00;8947;8982
01.10.2013;10:00;01.10.2013;10:15;8983;8938
01.10.2013;10:15;01.10.2013;10:30;9074;8975
01.10.2013;10:30;01.10.2013;10:45;9117;8976
01.10.2013;10:45;01.10.2013;11:00;9137;9023
01.10.2013;11:00;01.10.2013;11:15;9230;8974
01.10.2013;11:15;01.10.2013;11:30;9287;9082
01.10.2013;11:30;01.10.2013;11:45;9258;9210
01.10.2013;11:45;01.10.2013;12:00;9228;9123
01.10.2013;12:00;01.10.2013;12:15;9013;8839
01.10.2013;12:15;01.10.2013;12:30;9033;8714
01.10.2013;12:30;01.10.2013;12:45;9021;8672
01.10.2013;12:45;01.10.2013;13:00;9126;8653
01.10.2013;13:00;01.10.2013;13:15;9148;8643
01.10.2013;13:15;01.10.2013;13:30;9152;8688
01.10.2013;13:30;01.10.2013;13:45;9149;8690
01.10.2013;13:45;01.10.2013;14:00;9157;8687
01.10.2013;14:00;01.10.2013;14:15;9166;8627
01.10.2013;14:15;01.10.2013;14:30;9170;8665
01.10.2013;14:30;01.10.2013;14:45;9074;8707
01.10.2013;14:45;01.10.2013;15:00;9015;9004
01.10.2013;15:00;01.10.2013;15:15;9075;8876
01.10.2013;15:15;01.10.2013;15:30;8961;8897
01.10.2013;15:30;01.10.2013;15:45;8848;8786
01.10.2013;15:45;01.10.2013;16:00;8731;8685
01.10.2013;16:00;01.10.2013;16:15;8687;8605
01.10.2013;16:15;01.10.2013;16:30;8650;8605
01.10.2013;16:30;01.10.2013;16:45;8490;8523
01.10.2013;16:45;01.10.2013;17:00;8431;8434
01.10.2013;17:00;01.10.2013;17:15;8379;8406
01.10.2013;17:15;01.10.2013;17:30;8348;8399
01.10.2013;17:30;01.10.2013;17:45;8321;8287
01.10.2013;17:45;01.10.2013;18:00;8226;8260
01.10.2013;18:00;01.10.2013;18:15;8206;8246
01.10.2013;18:15;01.10.2013;18:30;8014;8196
01.10.2013;18:30;01.10.2013;18:45;7993;8204
01.10.2013;18:45;01.10.2013;19:00;8090;8384
01.10.2013;19:00;01.10.2013;19:15;8176;8459
01.10.2013;19:15;01.10.2013;19:30;8145;8608
01.10.2013;19:30;01.10.2013;19:45;8341;8710
01.10.2013;19:45;01.10.2013;20:00;8497;8698
01.10.2013;20:00;01.10.2013;20:15;8325;8581
01.10.2013;20:15;01.10.2013;20:30;8183;8455
01.10.2013;20:30;01.10.2013;20:45;8063;8317
01.10.2013;20:45;01.10.2013;21:00;8010;8200
01.10.2013;21:00;01.10.2013;21:15;8002;8010
01.10.2013;21:15;01.10.2013;21:30;7877;7943
01.10.2013;21:30;01.10.2013;21:45;7695;7832
01.10.2013;21:45;01.10.2013;22:00;7580;7635
01.10.2013;22:00;01.10.2013;22:15;7314;7513
01.10.2013;22:15;01.10.2013;22:30;7169;7354
01.10.2013;22:30;01.10.2013;22:45;7041;7179
01.10.2013;22:45;01.10.2013;23:00;6807;6944
01.10.2013;23:00;01.10.2013;23:15;6689;6748
01.10.2013;23:15;01.10.2013;23:30;6537;6611
01.10.2013;23:30;01.10.2013;23:45;6350;6530
01.10.2013;23:45;02.10.2013;00:00;6261;6373
02.10.2013;00:00;02.10.2013;00:15;6100;6211
02.10.2013;00:15;02.10.2013;00:30;5962;6170
02.10.2013;00:30;02.10.2013;00:45;5907;6037
02.10.2013;00:45;02.10.2013;01:00;5763;5907
02.10.2013;01:00;02.10.2013;01:15;5652;5800
02.10.2013;01:15;02.10.2013;01:30;5626;5711
02.10.2013;01:30;02.10.2013;01:45;5540;5718
02.10.2013;01:45;02.10.2013;02:00;5493;5666
02.10.2013;02:00;02.10.2013;02:15;5377;5548
02.10.2013;02:15;02.10.2013;02:30;5395;5528
02.10.2013;02:30;02.10.2013;02:45;5392;5432
02.10.2013;02:45;02.10.2013;03:00;5382;5438
02.10.2013;03:00;02.10.2013;03:15;5352;5521
02.10.2013;03:15;02.10.2013;03:30;5404;5468
02.10.2013;03:30;02.10.2013;03:45;5432;5515
02.10.2013;03:45;02.10.2013;04:00;5472;5514
02.10.2013;04:00;02.10.2013;04:15;5509;5592
02.10.2013;04:15;02.10.2013;04:30;5512;5641
02.10.2013;04:30;02.10.2013;04:45;5585;5747
02.10.2013;04:45;02.10.2013;05:00;5632;5855
02.10.2013;05:00;02.10.2013;05:15;5893;5976
02.10.2013;05:15;02.10.2013;05:30;5959;6135
02.10.2013;05:30;02.10.2013;05:45;6170;6321
02.10.2013;05:45;02.10.2013;06:00;6570;6522
02.10.2013;06:00;02.10.2013;06:15;6984;7041
02.10.2013;06:15;02.10.2013;06:30;7394;7378
02.10.2013;06:30;02.10.2013;06:45;7631;7686
02.10.2013;06:45;02.10.2013;07:00;7969;7965
02.10.2013;07:00;02.10.2013;07:15;8277;8336
02.10.2013;07:15;02.10.2013;07:30;8416;8421
02.10.2013;07:30;02.10.2013;07:45;8589;8508
02.10.2013;07:45;02.10.2013;08:00;8709;8566
02.10.2013;08:00;02.10.2013;08:15;8804;8631
02.10.2013;08:15;02.10.2013;08:30;8822;8660
02.10.2013;08:30;02.10.2013;08:45;8864;8610
02.10.2013;08:45;02.10.2013;09:00;8939;8686
02.10.2013;09:00;02.10.2013;09:15;8890;8655
02.10.2013;09:15;02.10.2013;09:30;8929;8760
02.10.2013;09:30;02.10.2013;09:45;8778;8961
02.10.2013;09:45;02.10.2013;10:00;8888;9105
02.10.2013;10:00;02.10.2013;10:15;9011;9148
02.10.2013;10:15;02.10.2013;10:30;9028;9160
02.10.2013;10:30;02.10.2013;10:45;9123;9213
02.10.2013;10:45;02.10.2013;11:00;9073;9279
02.10.2013;11:00;02.10.2013;11:15;9160;9259
02.10.2013;11:15;02.10.2013;11:30;9284;9230
02.10.2013;11:30;02.10.2013;11:45;9304;9214
02.10.2013;11:45;02.10.2013;12:00;9308;9224
02.10.2013;12:00;02.10.2013;12:15;9187;9019
02.10.2013;12:15;02.10.2013;12:30;9165;9013
02.10.2013;12:30;02.10.2013;12:45;9147;8922
02.10.2013;12:45;02.10.2013;13:00;9166;8968
02.10.2013;13:00;02.10.2013;13:15;9240;9005
02.10.2013;13:15;02.10.2013;13:30;9273;8989
02.10.2013;13:30;02.10.2013;13:45;9241;8960
02.10.2013;13:45;02.10.2013;14:00;9261;8905
02.10.2013;14:00;02.10.2013;14:15;9136;8968
02.10.2013;14:15;02.10.2013;14:30;9045;8908
02.10.2013;14:30;02.10.2013;14:45;8992;8883
02.10.2013;14:45;02.10.2013;15:00;8963;8837
02.10.2013;15:00;02.10.2013;15:15;8723;8765
02.10.2013;15:15;02.10.2013;15:30;8745;8645
02.10.2013;15:30;02.10.2013;15:45;8574;8560
02.10.2013;15:45;02.10.2013;16:00;8476;8460
02.10.2013;16:00;02.10.2013;16:15;8472;8351
02.10.2013;16:15;02.10.2013;16:30;8536;8300
02.10.2013;16:30;02.10.2013;16:45;8394;8229
02.10.2013;16:45;02.10.2013;17:00;8304;8143
02.10.2013;17:00;02.10.2013;17:15;8329;7993
02.10.2013;17:15;02.10.2013;17:30;8252;8134
02.10.2013;17:30;02.10.2013;17:45;8173;8049
02.10.2013;17:45;02.10.2013;18:00;8164;8005
02.10.2013;18:00;02.10.2013;18:15;8074;7932
02.10.2013;18:15;02.10.2013;18:30;7938;7842
02.10.2013;18:30;02.10.2013;18:45;7975;7879
02.10.2013;18:45;02.10.2013;19:00;7959;8011
02.10.2013;19:00;02.10.2013;19:15;8104;8197
02.10.2013;19:15;02.10.2013;19:30;8152;8354
02.10.2013;19:30;02.10.2013;19:45;8331;8471
02.10.2013;19:45;02.10.2013;20:00;8397;8372
02.10.2013;20:00;02.10.2013;20:15;8304;8182
02.10.2013;20:15;02.10.2013;20:30;8190;8144
02.10.2013;20:30;02.10.2013;20:45;8057;7937
02.10.2013;20:45;02.10.2013;21:00;7945;7881
02.10.2013;21:00;02.10.2013;21:15;7876;7762
02.10.2013;21:15;02.10.2013;21:30;7741;7636
02.10.2013;21:30;02.10.2013;21:45;7647;7531
02.10.2013;21:45;02.10.2013;22:00;7519;7331
02.10.2013;22:00;02.10.2013;22:15;7246;7196
02.10.2013;22:15;02.10.2013;22:30;7050;7022
02.10.2013;22:30;02.10.2013;22:45;6969;6756
02.10.2013;22:45;02.10.2013;23:00;6779;6608
02.10.2013;23:00;02.10.2013;23:15;6541;6437
02.10.2013;23:15;02.10.2013;23:30;6396;6291
02.10.2013;23:30;02.10.2013;23:45;6353;6259
02.10.2013;23:45;03.10.2013;00:00;6170;6072
03.10.2013;00:00;03.10.2013;00:15;4930;5996
03.10.2013;00:15;03.10.2013;00:30;4830;5860
03.10.2013;00:30;03.10.2013;00:45;4701;5697
03.10.2013;00:45;03.10.2013;01:00;4604;5635
03.10.2013;01:00;03.10.2013;01:15;4499;5528
03.10.2013;01:15;03.10.2013;01:30;4348;5422
03.10.2013;01:30;03.10.2013;01:45;4366;5407
03.10.2013;01:45;03.10.2013;02:00;4293;5292
03.10.2013;02:00;03.10.2013;02:15;4228;5295
03.10.2013;02:15;03.10.2013;02:30;4235;5255
03.10.2013;02:30;03.10.2013;02:45;4154;5174
03.10.2013;02:45;03.10.2013;03:00;4232;5212
03.10.2013;03:00;03.10.2013;03:15;4277;5167
03.10.2013;03:15;03.10.2013;03:30;4198;5214
03.10.2013;03:30;03.10.2013;03:45;4240;5219
03.10.2013;03:45;03.10.2013;04:00;4179;5135
03.10.2013;04:00;03.10.2013;04:15;4206;5164
03.10.2013;04:15;03.10.2013;04:30;4254;5163
03.10.2013;04:30;03.10.2013;04:45;4219;5231
03.10.2013;04:45;03.10.2013;05:00;4237;5248
03.10.2013;05:00;03.10.2013;05:15;4250;5196
03.10.2013;05:15;03.10.2013;05:30;4288;5176
03.10.2013;05:30;03.10.2013;05:45;4299;5041
03.10.2013;05:45;03.10.2013;06:00;4283;4979
03.10.2013;06:00;03.10.2013;06:15;4321;4990
03.10.2013;06:15;03.10.2013;06:30;4284;4982
03.10.2013;06:30;03.10.2013;06:45;4430;5059
03.10.2013;06:45;03.10.2013;07:00;4527;5092
03.10.2013;07:00;03.10.2013;07:15;4516;5127
03.10.2013;07:15;03.10.2013;07:30;4527;5084
03.10.2013;07:30;03.10.2013;07:45;4577;5040
03.10.2013;07:45;03.10.2013;08:00;4689;5149
