"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.11.2014;00:00;01.11.2014;00:15;6545;5974
01.11.2014;00:15;01.11.2014;00:30;6433;5842
01.11.2014;00:30;01.11.2014;00:45;6293;5736
01.11.2014;00:45;01.11.2014;01:00;6174;5626
01.11.2014;01:00;01.11.2014;01:15;6050;5574
01.11.2014;01:15;01.11.2014;01:30;5950;5444
01.11.2014;01:30;01.11.2014;01:45;5939;5362
01.11.2014;01:45;01.11.2014;02:00;5915;5265
01.11.2014;02:00;01.11.2014;02:15;5848;5175
01.11.2014;02:15;01.11.2014;02:30;5832;5170
01.11.2014;02:30;01.11.2014;02:45;5819;5101
01.11.2014;02:45;01.11.2014;03:00;5844;5126
01.11.2014;03:00;01.11.2014;03:15;5882;5120
01.11.2014;03:15;01.11.2014;03:30;5888;5064
01.11.2014;03:30;01.11.2014;03:45;5948;5150
01.11.2014;03:45;01.11.2014;04:00;5975;5115
01.11.2014;04:00;01.11.2014;04:15;6057;5155
01.11.2014;04:15;01.11.2014;04:30;6124;5163
01.11.2014;04:30;01.11.2014;04:45;6209;5192
01.11.2014;04:45;01.11.2014;05:00;6271;5188
01.11.2014;05:00;01.11.2014;05:15;6449;5140
01.11.2014;05:15;01.11.2014;05:30;6551;5090
01.11.2014;05:30;01.11.2014;05:45;6746;5062
01.11.2014;05:45;01.11.2014;06:00;6928;4970
01.11.2014;06:00;01.11.2014;06:15;7396;4958
01.11.2014;06:15;01.11.2014;06:30;7761;4965
01.11.2014;06:30;01.11.2014;06:45;7910;5018
01.11.2014;06:45;01.11.2014;07:00;8218;5069
01.11.2014;07:00;01.11.2014;07:15;8497;5049
01.11.2014;07:15;01.11.2014;07:30;8639;5095
01.11.2014;07:30;01.11.2014;07:45;8924;5079
01.11.2014;07:45;01.11.2014;08:00;9133;5080
01.11.2014;08:00;01.11.2014;08:15;9296;5173
01.11.2014;08:15;01.11.2014;08:30;9428;5281
01.11.2014;08:30;01.11.2014;08:45;9520;5414
