"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.12.2014;00:00;01.12.2014;00:15;5893;6327
01.12.2014;00:15;01.12.2014;00:30;5759;6187
01.12.2014;00:30;01.12.2014;00:45;5648;6052
01.12.2014;00:45;01.12.2014;01:00;5495;5970
01.12.2014;01:00;01.12.2014;01:15;5472;5776
01.12.2014;01:15;01.12.2014;01:30;5410;5759
01.12.2014;01:30;01.12.2014;01:45;5385;5775
01.12.2014;01:45;01.12.2014;02:00;5351;5734
01.12.2014;02:00;01.12.2014;02:15;5319;5728
01.12.2014;02:15;01.12.2014;02:30;5321;5714
01.12.2014;02:30;01.12.2014;02:45;5349;5767
01.12.2014;02:45;01.12.2014;03:00;5325;5749
01.12.2014;03:00;01.12.2014;03:15;5399;5776
01.12.2014;03:15;01.12.2014;03:30;5447;5759
01.12.2014;03:30;01.12.2014;03:45;5465;5815
01.12.2014;03:45;01.12.2014;04:00;5553;5868
01.12.2014;04:00;01.12.2014;04:15;5649;5966
01.12.2014;04:15;01.12.2014;04:30;5691;6031
01.12.2014;04:30;01.12.2014;04:45;5865;6170
01.12.2014;04:45;01.12.2014;05:00;5929;6201
01.12.2014;05:00;01.12.2014;05:15;6160;6371
01.12.2014;05:15;01.12.2014;05:30;6269;6455
01.12.2014;05:30;01.12.2014;05:45;6437;6669
01.12.2014;05:45;01.12.2014;06:00;6771;6895
01.12.2014;06:00;01.12.2014;06:15;7167;7399
01.12.2014;06:15;01.12.2014;06:30;7619;7796
01.12.2014;06:30;01.12.2014;06:45;7978;8152
01.12.2014;06:45;01.12.2014;07:00;8240;8421
01.12.2014;07:00;01.12.2014;07:15;8570;8818
01.12.2014;07:15;01.12.2014;07:30;8909;9116
01.12.2014;07:30;01.12.2014;07:45;8956;9335
01.12.2014;07:45;01.12.2014;08:00;9060;9453
01.12.2014;08:00;01.12.2014;08:15;9054;9466
01.12.2014;08:15;01.12.2014;08:30;9154;9542
01.12.2014;08:30;01.12.2014;08:45;9244;9534
01.12.2014;08:45;01.12.2014;09:00;9251;9513
01.12.2014;09:00;01.12.2014;09:15;9268;9625
01.12.2014;09:15;01.12.2014;09:30;9197;9679
01.12.2014;09:30;01.12.2014;09:45;9189;9760
01.12.2014;09:45;01.12.2014;10:00;9253;9796
01.12.2014;10:00;01.12.2014;10:15;9315;9827
01.12.2014;10:15;01.12.2014;10:30;9231;9868
01.12.2014;10:30;01.12.2014;10:45;9176;9885
01.12.2014;10:45;01.12.2014;11:00;9290;9996
01.12.2014;11:00;01.12.2014;11:15;9297;9992
01.12.2014;11:15;01.12.2014;11:30;9324;10066
01.12.2014;11:30;01.12.2014;11:45;9362;10125
01.12.2014;11:45;01.12.2014;12:00;9387;10096
01.12.2014;12:00;01.12.2014;12:15;9279;10015
01.12.2014;12:15;01.12.2014;12:30;9173;10070
01.12.2014;12:30;01.12.2014;12:45;9284;9939
01.12.2014;12:45;01.12.2014;13:00;9285;9964
01.12.2014;13:00;01.12.2014;13:15;9449;9988
01.12.2014;13:15;01.12.2014;13:30;9454;10043
01.12.2014;13:30;01.12.2014;13:45;9532;9995
01.12.2014;13:45;01.12.2014;14:00;9543;9887
01.12.2014;14:00;01.12.2014;14:15;9550;9848
01.12.2014;14:15;01.12.2014;14:30;9520;9874
01.12.2014;14:30;01.12.2014;14:45;9200;9857
01.12.2014;14:45;01.12.2014;15:00;9410;9814
01.12.2014;15:00;01.12.2014;15:15;9480;9820
01.12.2014;15:15;01.12.2014;15:30;9415;9868
01.12.2014;15:30;01.12.2014;15:45;9369;9843
01.12.2014;15:45;01.12.2014;16:00;9362;9806
01.12.2014;16:00;01.12.2014;16:15;9334;9749
01.12.2014;16:15;01.12.2014;16:30;9341;9739
