"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.03.2011;00:00;01.03.2011;00:15;;6663
01.03.2011;00:15;01.03.2011;00:30;;6559
01.03.2011;00:30;01.03.2011;00:45;;6481
01.03.2011;00:45;01.03.2011;01:00;;6926
01.03.2011;01:00;01.03.2011;01:15;;6775
01.03.2011;01:15;01.03.2011;01:30;;6760
01.03.2011;01:30;01.03.2011;01:45;;6855
01.03.2011;01:45;01.03.2011;02:00;;6829
01.03.2011;02:00;01.03.2011;02:15;;6742
01.03.2011;02:15;01.03.2011;02:30;;6736
01.03.2011;02:30;01.03.2011;02:45;;6729
01.03.2011;02:45;01.03.2011;03:00;;6745
01.03.2011;03:00;01.03.2011;03:15;;6696
01.03.2011;03:15;01.03.2011;03:30;;6685
01.03.2011;03:30;01.03.2011;03:45;;6780
01.03.2011;03:45;01.03.2011;04:00;;6758
01.03.2011;04:00;01.03.2011;04:15;;6839
01.03.2011;04:15;01.03.2011;04:30;;6887
01.03.2011;04:30;01.03.2011;04:45;;7002
01.03.2011;04:45;01.03.2011;05:00;;7029
01.03.2011;05:00;01.03.2011;05:15;;7042
01.03.2011;05:15;01.03.2011;05:30;;7109
01.03.2011;05:30;01.03.2011;05:45;;7189
01.03.2011;05:45;01.03.2011;06:00;;7395
01.03.2011;06:00;01.03.2011;06:15;;7673
01.03.2011;06:15;01.03.2011;06:30;;8054
01.03.2011;06:30;01.03.2011;06:45;;8286
01.03.2011;06:45;01.03.2011;07:00;;8488
01.03.2011;07:00;01.03.2011;07:15;;8639
01.03.2011;07:15;01.03.2011;07:30;;8714
01.03.2011;07:30;01.03.2011;07:45;;8801
01.03.2011;07:45;01.03.2011;08:00;;8962
01.03.2011;08:00;01.03.2011;08:15;;8902
01.03.2011;08:15;01.03.2011;08:30;;8889
01.03.2011;08:30;01.03.2011;08:45;;8824
01.03.2011;08:45;01.03.2011;09:00;;8677
01.03.2011;09:00;01.03.2011;09:15;;8595
01.03.2011;09:15;01.03.2011;09:30;;8552
01.03.2011;09:30;01.03.2011;09:45;;8508
01.03.2011;09:45;01.03.2011;10:00;;8422
01.03.2011;10:00;01.03.2011;10:15;;8307
01.03.2011;10:15;01.03.2011;10:30;;8146
01.03.2011;10:30;01.03.2011;10:45;;8061
01.03.2011;10:45;01.03.2011;11:00;;8011
01.03.2011;11:00;01.03.2011;11:15;;7867
01.03.2011;11:15;01.03.2011;11:30;;7876
01.03.2011;11:30;01.03.2011;11:45;;7889
01.03.2011;11:45;01.03.2011;12:00;;7814
01.03.2011;12:00;01.03.2011;12:15;;7771
01.03.2011;12:15;01.03.2011;12:30;;7654
01.03.2011;12:30;01.03.2011;12:45;;7593
01.03.2011;12:45;01.03.2011;13:00;;7605
01.03.2011;13:00;01.03.2011;13:15;;7650
01.03.2011;13:15;01.03.2011;13:30;;7705
01.03.2011;13:30;01.03.2011;13:45;;7727
01.03.2011;13:45;01.03.2011;14:00;;7635
01.03.2011;14:00;01.03.2011;14:15;;7705
01.03.2011;14:15;01.03.2011;14:30;;7757
01.03.2011;14:30;01.03.2011;14:45;;7743
01.03.2011;14:45;01.03.2011;15:00;;7815
01.03.2011;15:00;01.03.2011;15:15;;7854
01.03.2011;15:15;01.03.2011;15:30;;7944
01.03.2011;15:30;01.03.2011;15:45;;6437
01.03.2011;15:45;01.03.2011;16:00;;7996
01.03.2011;16:00;01.03.2011;16:15;;8017
01.03.2011;16:15;01.03.2011;16:30;;8098
01.03.2011;16:30;01.03.2011;16:45;;8170
01.03.2011;16:45;01.03.2011;17:00;;8284
01.03.2011;17:00;01.03.2011;17:15;;8344
01.03.2011;17:15;01.03.2011;17:30;;8394
01.03.2011;17:30;01.03.2011;17:45;;8429
01.03.2011;17:45;01.03.2011;18:00;;8636
01.03.2011;18:00;01.03.2011;18:15;;8740
01.03.2011;18:15;01.03.2011;18:30;;9036
01.03.2011;18:30;01.03.2011;18:45;;9252
01.03.2011;18:45;01.03.2011;19:00;;9240
01.03.2011;19:00;01.03.2011;19:15;;9287
01.03.2011;19:15;01.03.2011;19:30;;9219
01.03.2011;19:30;01.03.2011;19:45;;9178
01.03.2011;19:45;01.03.2011;20:00;;9117
01.03.2011;20:00;01.03.2011;20:15;;8924
01.03.2011;20:15;01.03.2011;20:30;;8803
01.03.2011;20:30;01.03.2011;20:45;;8719
01.03.2011;20:45;01.03.2011;21:00;;8548
01.03.2011;21:00;01.03.2011;21:15;;8556
01.03.2011;21:15;01.03.2011;21:30;;8478
01.03.2011;21:30;01.03.2011;21:45;;8356
01.03.2011;21:45;01.03.2011;22:00;;8298
01.03.2011;22:00;01.03.2011;22:15;;8350
01.03.2011;22:15;01.03.2011;22:30;;8157
01.03.2011;22:30;01.03.2011;22:45;;8124
01.03.2011;22:45;01.03.2011;23:00;;7986
01.03.2011;23:00;01.03.2011;23:15;;7804
01.03.2011;23:15;01.03.2011;23:30;;7656
01.03.2011;23:30;01.03.2011;23:45;;7532
01.03.2011;23:45;02.03.2011;00:00;;7402
02.03.2011;00:00;02.03.2011;00:15;;7267
02.03.2011;00:15;02.03.2011;00:30;;7137
02.03.2011;00:30;02.03.2011;00:45;;7065
02.03.2011;00:45;02.03.2011;01:00;;6979
02.03.2011;01:00;02.03.2011;01:15;;6889
02.03.2011;01:15;02.03.2011;01:30;;6823
02.03.2011;01:30;02.03.2011;01:45;;6831
02.03.2011;01:45;02.03.2011;02:00;;6831
02.03.2011;02:00;02.03.2011;02:15;;6683
02.03.2011;02:15;02.03.2011;02:30;;6632
02.03.2011;02:30;02.03.2011;02:45;;6655
02.03.2011;02:45;02.03.2011;03:00;;6610
02.03.2011;03:00;02.03.2011;03:15;;6669
02.03.2011;03:15;02.03.2011;03:30;;6679
02.03.2011;03:30;02.03.2011;03:45;;6745
02.03.2011;03:45;02.03.2011;04:00;;6792
02.03.2011;04:00;02.03.2011;04:15;;6817
02.03.2011;04:15;02.03.2011;04:30;;6867
02.03.2011;04:30;02.03.2011;04:45;;7016
02.03.2011;04:45;02.03.2011;05:00;;6986
02.03.2011;05:00;02.03.2011;05:15;;7080
02.03.2011;05:15;02.03.2011;05:30;;7145
02.03.2011;05:30;02.03.2011;05:45;;7262
02.03.2011;05:45;02.03.2011;06:00;;7447
02.03.2011;06:00;02.03.2011;06:15;;7658
02.03.2011;06:15;02.03.2011;06:30;;7939
02.03.2011;06:30;02.03.2011;06:45;;8203
02.03.2011;06:45;02.03.2011;07:00;;8351
02.03.2011;07:00;02.03.2011;07:15;;8477
02.03.2011;07:15;02.03.2011;07:30;;8614
02.03.2011;07:30;02.03.2011;07:45;;8663
02.03.2011;07:45;02.03.2011;08:00;;8727
02.03.2011;08:00;02.03.2011;08:15;;8729
02.03.2011;08:15;02.03.2011;08:30;;8642
02.03.2011;08:30;02.03.2011;08:45;;8504
02.03.2011;08:45;02.03.2011;09:00;;8374
02.03.2011;09:00;02.03.2011;09:15;;8238
02.03.2011;09:15;02.03.2011;09:30;;8129
02.03.2011;09:30;02.03.2011;09:45;;8119
02.03.2011;09:45;02.03.2011;10:00;;8018
02.03.2011;10:00;02.03.2011;10:15;;7916
02.03.2011;10:15;02.03.2011;10:30;;7862
02.03.2011;10:30;02.03.2011;10:45;;7781
02.03.2011;10:45;02.03.2011;11:00;;7697
02.03.2011;11:00;02.03.2011;11:15;;7623
02.03.2011;11:15;02.03.2011;11:30;;7600
02.03.2011;11:30;02.03.2011;11:45;;7614
02.03.2011;11:45;02.03.2011;12:00;;7580
02.03.2011;12:00;02.03.2011;12:15;;7480
02.03.2011;12:15;02.03.2011;12:30;;7381
02.03.2011;12:30;02.03.2011;12:45;;7286
02.03.2011;12:45;02.03.2011;13:00;;7310
02.03.2011;13:00;02.03.2011;13:15;;7373
02.03.2011;13:15;02.03.2011;13:30;;7335
02.03.2011;13:30;02.03.2011;13:45;;7360
02.03.2011;13:45;02.03.2011;14:00;;7370
02.03.2011;14:00;02.03.2011;14:15;;7338
02.03.2011;14:15;02.03.2011;14:30;;7404
02.03.2011;14:30;02.03.2011;14:45;;7474
02.03.2011;14:45;02.03.2011;15:00;;7473
02.03.2011;15:00;02.03.2011;15:15;;7569
02.03.2011;15:15;02.03.2011;15:30;;7657
02.03.2011;15:30;02.03.2011;15:45;;7662
02.03.2011;15:45;02.03.2011;16:00;;7623
02.03.2011;16:00;02.03.2011;16:15;;7584
02.03.2011;16:15;02.03.2011;16:30;;7647
02.03.2011;16:30;02.03.2011;16:45;;7768
02.03.2011;16:45;02.03.2011;17:00;;7868
02.03.2011;17:00;02.03.2011;17:15;;8013
02.03.2011;17:15;02.03.2011;17:30;;8160
02.03.2011;17:30;02.03.2011;17:45;;8219
02.03.2011;17:45;02.03.2011;18:00;;8296
02.03.2011;18:00;02.03.2011;18:15;;8565
02.03.2011;18:15;02.03.2011;18:30;;8905
02.03.2011;18:30;02.03.2011;18:45;;9128
02.03.2011;18:45;02.03.2011;19:00;;9237
02.03.2011;19:00;02.03.2011;19:15;;9288
02.03.2011;19:15;02.03.2011;19:30;;9196
02.03.2011;19:30;02.03.2011;19:45;;9207
02.03.2011;19:45;02.03.2011;20:00;;9069
02.03.2011;20:00;02.03.2011;20:15;;8898
02.03.2011;20:15;02.03.2011;20:30;;8756
02.03.2011;20:30;02.03.2011;20:45;;8671
02.03.2011;20:45;02.03.2011;21:00;;8507
02.03.2011;21:00;02.03.2011;21:15;;8470
02.03.2011;21:15;02.03.2011;21:30;;8433
02.03.2011;21:30;02.03.2011;21:45;;8375
02.03.2011;21:45;02.03.2011;22:00;;8272
02.03.2011;22:00;02.03.2011;22:15;;8383
02.03.2011;22:15;02.03.2011;22:30;;8140
02.03.2011;22:30;02.03.2011;22:45;;8103
02.03.2011;22:45;02.03.2011;23:00;;7951
02.03.2011;23:00;02.03.2011;23:15;;7942
02.03.2011;23:15;02.03.2011;23:30;;7856
02.03.2011;23:30;02.03.2011;23:45;;7820
02.03.2011;23:45;03.03.2011;00:00;;7691
03.03.2011;00:00;03.03.2011;00:15;;7323
03.03.2011;00:15;03.03.2011;00:30;;7196
03.03.2011;00:30;03.03.2011;00:45;;7089
03.03.2011;00:45;03.03.2011;01:00;;7100
03.03.2011;01:00;03.03.2011;01:15;;6983
03.03.2011;01:15;03.03.2011;01:30;;6904
03.03.2011;01:30;03.03.2011;01:45;;6982
03.03.2011;01:45;03.03.2011;02:00;;6927
03.03.2011;02:00;03.03.2011;02:15;;6928
03.03.2011;02:15;03.03.2011;02:30;;6888
03.03.2011;02:30;03.03.2011;02:45;;6839
03.03.2011;02:45;03.03.2011;03:00;;6825
03.03.2011;03:00;03.03.2011;03:15;;6818
03.03.2011;03:15;03.03.2011;03:30;;6783
03.03.2011;03:30;03.03.2011;03:45;;6882
03.03.2011;03:45;03.03.2011;04:00;;6877
03.03.2011;04:00;03.03.2011;04:15;;6937
03.03.2011;04:15;03.03.2011;04:30;;6985
03.03.2011;04:30;03.03.2011;04:45;;7087
03.03.2011;04:45;03.03.2011;05:00;;7142
03.03.2011;05:00;03.03.2011;05:15;;7272
03.03.2011;05:15;03.03.2011;05:30;;7299
03.03.2011;05:30;03.03.2011;05:45;;7377
03.03.2011;05:45;03.03.2011;06:00;;7450
03.03.2011;06:00;03.03.2011;06:15;;7745
03.03.2011;06:15;03.03.2011;06:30;;8044
03.03.2011;06:30;03.03.2011;06:45;;8239
03.03.2011;06:45;03.03.2011;07:00;;8367
03.03.2011;07:00;03.03.2011;07:15;;8541
03.03.2011;07:15;03.03.2011;07:30;;8656
03.03.2011;07:30;03.03.2011;07:45;;8690
