"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"01.01.2015 00:00 - 01.01.2015 00:15","5143","5519"
"01.01.2015 00:15 - 01.01.2015 00:30","4996","5453"
"01.01.2015 00:30 - 01.01.2015 00:45","4962","5470"
"01.01.2015 00:45 - 01.01.2015 01:00","4888","5438"
"01.01.2015 01:00 - 01.01.2015 01:15","4761","5386"
"01.01.2015 01:15 - 01.01.2015 01:30","4752","5370"
"01.01.2015 01:30 - 01.01.2015 01:45","4669","5294"
"01.01.2015 01:45 - 01.01.2015 02:00","4687","5258"
"01.01.2015 02:00 - 01.01.2015 02:15","4619","5197"
"01.01.2015 02:15 - 01.01.2015 02:30","4562","5117"
"01.01.2015 02:30 - 01.01.2015 02:45","4550","5045"
"01.01.2015 02:45 - 01.01.2015 03:00","4517","4990"
"01.01.2015 03:00 - 01.01.2015 03:15","4511","4946"
"01.01.2015 03:15 - 01.01.2015 03:30","4507","4886"
"01.01.2015 03:30 - 01.01.2015 03:45","4517","4911"
"01.01.2015 03:45 - 01.01.2015 04:00","4533","4879"
"01.01.2015 04:00 - 01.01.2015 04:15","4534","4844"
"01.01.2015 04:15 - 01.01.2015 04:30","4514","4803"
"01.01.2015 04:30 - 01.01.2015 04:45","4673","4922"
"01.01.2015 04:45 - 01.01.2015 05:00","4683","4891"
"01.01.2015 05:00 - 01.01.2015 05:15","4593","4819"
"01.01.2015 05:15 - 01.01.2015 05:30","4567","4737"
"01.01.2015 05:30 - 01.01.2015 05:45","4502","4652"
"01.01.2015 05:45 - 01.01.2015 06:00","4414","4533"
"01.01.2015 06:00 - 01.01.2015 06:15","4305","4479"
"01.01.2015 06:15 - 01.01.2015 06:30","4303","4472"
"01.01.2015 06:30 - 01.01.2015 06:45","4299","4467"
"01.01.2015 06:45 - 01.01.2015 07:00","4357","4446"
"01.01.2015 07:00 - 01.01.2015 07:15","4428","4453"
"01.01.2015 07:15 - 01.01.2015 07:30","4412","4418"
"01.01.2015 07:30 - 01.01.2015 07:45","4405","4386"
"01.01.2015 07:45 - 01.01.2015 08:00","4521","4385"
"01.01.2015 08:00 - 01.01.2015 08:15","4580","4313"
"01.01.2015 08:15 - 01.01.2015 08:30","4694","4286"
"01.01.2015 08:30 - 01.01.2015 08:45","4615","4283"
"01.01.2015 08:45 - 01.01.2015 09:00","4657","4296"
"01.01.2015 09:00 - 01.01.2015 09:15","4880","4489"
"01.01.2015 09:15 - 01.01.2015 09:30","5054","4595"
"01.01.2015 09:30 - 01.01.2015 09:45","5053","4695"
"01.01.2015 09:45 - 01.01.2015 10:00","5181","4783"
"01.01.2015 10:00 - 01.01.2015 10:15","5246","4840"
"01.01.2015 10:15 - 01.01.2015 10:30","5300","4872"
"01.01.2015 10:30 - 01.01.2015 10:45","5391","4906"
"01.01.2015 10:45 - 01.01.2015 11:00","5433","4954"
"01.01.2015 11:00 - 01.01.2015 11:15","5469","4986"
"01.01.2015 11:15 - 01.01.2015 11:30","5550","5064"
"01.01.2015 11:30 - 01.01.2015 11:45","5628","5133"
"01.01.2015 11:45 - 01.01.2015 12:00","5666","5170"
"01.01.2015 12:00 - 01.01.2015 12:15","5859","5352"
"01.01.2015 12:15 - 01.01.2015 12:30","5847","5432"
"01.01.2015 12:30 - 01.01.2015 12:45","5789","5418"
"01.01.2015 12:45 - 01.01.2015 13:00","5774","5408"
"01.01.2015 13:00 - 01.01.2015 13:15","5680","5346"
"01.01.2015 13:15 - 01.01.2015 13:30","5633","5285"
