"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.02.2013;00:00;01.02.2013;00:15;;7268
01.02.2013;00:15;01.02.2013;00:30;;7082
01.02.2013;00:30;01.02.2013;00:45;;7060
01.02.2013;00:45;01.02.2013;01:00;;6863
01.02.2013;01:00;01.02.2013;01:15;;6815
01.02.2013;01:15;01.02.2013;01:30;;6714
01.02.2013;01:30;01.02.2013;01:45;;6722
01.02.2013;01:45;01.02.2013;02:00;;6713
01.02.2013;02:00;01.02.2013;02:15;;6551
01.02.2013;02:15;01.02.2013;02:30;;6527
01.02.2013;02:30;01.02.2013;02:45;;6527
01.02.2013;02:45;01.02.2013;03:00;;6498
01.02.2013;03:00;01.02.2013;03:15;;6535
01.02.2013;03:15;01.02.2013;03:30;;6552
01.02.2013;03:30;01.02.2013;03:45;;6654
01.02.2013;03:45;01.02.2013;04:00;;6707
01.02.2013;04:00;01.02.2013;04:15;;6790
01.02.2013;04:15;01.02.2013;04:30;;6867
01.02.2013;04:30;01.02.2013;04:45;;6918
01.02.2013;04:45;01.02.2013;05:00;;6915
01.02.2013;05:00;01.02.2013;05:15;;7089
01.02.2013;05:15;01.02.2013;05:30;;7101
01.02.2013;05:30;01.02.2013;05:45;;7208
01.02.2013;05:45;01.02.2013;06:00;;7387
01.02.2013;06:00;01.02.2013;06:15;;7679
01.02.2013;06:15;01.02.2013;06:30;;8057
01.02.2013;06:30;01.02.2013;06:45;;8339
01.02.2013;06:45;01.02.2013;07:00;;8531
01.02.2013;07:00;01.02.2013;07:15;;8992
01.02.2013;07:15;01.02.2013;07:30;;9185
01.02.2013;07:30;01.02.2013;07:45;;9354
01.02.2013;07:45;01.02.2013;08:00;;9542
01.02.2013;08:00;01.02.2013;08:15;;9687
01.02.2013;08:15;01.02.2013;08:30;;9698
01.02.2013;08:30;01.02.2013;08:45;;9761
01.02.2013;08:45;01.02.2013;09:00;;9707
01.02.2013;09:00;01.02.2013;09:15;;9738
01.02.2013;09:15;01.02.2013;09:30;;9641
01.02.2013;09:30;01.02.2013;09:45;;9790
01.02.2013;09:45;01.02.2013;10:00;;9863
01.02.2013;10:00;01.02.2013;10:15;;10047
01.02.2013;10:15;01.02.2013;10:30;;9995
01.02.2013;10:30;01.02.2013;10:45;;9948
01.02.2013;10:45;01.02.2013;11:00;;10004
01.02.2013;11:00;01.02.2013;11:15;;9903
01.02.2013;11:15;01.02.2013;11:30;;9846
01.02.2013;11:30;01.02.2013;11:45;;10073
01.02.2013;11:45;01.02.2013;12:00;;9998
01.02.2013;12:00;01.02.2013;12:15;;10013
01.02.2013;12:15;01.02.2013;12:30;;9918
01.02.2013;12:30;01.02.2013;12:45;;9857
01.02.2013;12:45;01.02.2013;13:00;;9660
01.02.2013;13:00;01.02.2013;13:15;;9555
01.02.2013;13:15;01.02.2013;13:30;;9599
01.02.2013;13:30;01.02.2013;13:45;;9488
01.02.2013;13:45;01.02.2013;14:00;;9434
01.02.2013;14:00;01.02.2013;14:15;;9444
01.02.2013;14:15;01.02.2013;14:30;;9437
01.02.2013;14:30;01.02.2013;14:45;;9352
01.02.2013;14:45;01.02.2013;15:00;;9253
01.02.2013;15:00;01.02.2013;15:15;;9295
01.02.2013;15:15;01.02.2013;15:30;;9264
01.02.2013;15:30;01.02.2013;15:45;;9044
01.02.2013;15:45;01.02.2013;16:00;;9093
01.02.2013;16:00;01.02.2013;16:15;;9125
01.02.2013;16:15;01.02.2013;16:30;;9081
01.02.2013;16:30;01.02.2013;16:45;;9053
01.02.2013;16:45;01.02.2013;17:00;;8969
01.02.2013;17:00;01.02.2013;17:15;;9257
01.02.2013;17:15;01.02.2013;17:30;;9238
01.02.2013;17:30;01.02.2013;17:45;;9334
01.02.2013;17:45;01.02.2013;18:00;;9337
01.02.2013;18:00;01.02.2013;18:15;;9295
01.02.2013;18:15;01.02.2013;18:30;;9265
01.02.2013;18:30;01.02.2013;18:45;;9227
01.02.2013;18:45;01.02.2013;19:00;;9231
01.02.2013;19:00;01.02.2013;19:15;;9215
01.02.2013;19:15;01.02.2013;19:30;;9005
01.02.2013;19:30;01.02.2013;19:45;;8993
01.02.2013;19:45;01.02.2013;20:00;;8857
01.02.2013;20:00;01.02.2013;20:15;;8554
01.02.2013;20:15;01.02.2013;20:30;;8696
01.02.2013;20:30;01.02.2013;20:45;;8466
01.02.2013;20:45;01.02.2013;21:00;;8389
01.02.2013;21:00;01.02.2013;21:15;;8357
01.02.2013;21:15;01.02.2013;21:30;;8343
01.02.2013;21:30;01.02.2013;21:45;;8256
01.02.2013;21:45;01.02.2013;22:00;;8193
01.02.2013;22:00;01.02.2013;22:15;;8084
01.02.2013;22:15;01.02.2013;22:30;;7988
01.02.2013;22:30;01.02.2013;22:45;;7838
01.02.2013;22:45;01.02.2013;23:00;;7698
01.02.2013;23:00;01.02.2013;23:15;;7597
01.02.2013;23:15;01.02.2013;23:30;;7448
01.02.2013;23:30;01.02.2013;23:45;;7305
01.02.2013;23:45;02.02.2013;00:00;;7131
02.02.2013;00:00;02.02.2013;00:15;;7330
02.02.2013;00:15;02.02.2013;00:30;;7175
02.02.2013;00:30;02.02.2013;00:45;;7069
02.02.2013;00:45;02.02.2013;01:00;;6678
02.02.2013;01:00;02.02.2013;01:15;;6506
02.02.2013;01:15;02.02.2013;01:30;;6444
02.02.2013;01:30;02.02.2013;01:45;;6478
02.02.2013;01:45;02.02.2013;02:00;;6411
02.02.2013;02:00;02.02.2013;02:15;;6311
02.02.2013;02:15;02.02.2013;02:30;;6273
02.02.2013;02:30;02.02.2013;02:45;;6312
02.02.2013;02:45;02.02.2013;03:00;;6371
02.02.2013;03:00;02.02.2013;03:15;;6330
02.02.2013;03:15;02.02.2013;03:30;;6347
02.02.2013;03:30;02.02.2013;03:45;;6390
02.02.2013;03:45;02.02.2013;04:00;;6327
02.02.2013;04:00;02.02.2013;04:15;;6501
02.02.2013;04:15;02.02.2013;04:30;;6520
02.02.2013;04:30;02.02.2013;04:45;;6519
02.02.2013;04:45;02.02.2013;05:00;;6517
02.02.2013;05:00;02.02.2013;05:15;;6422
02.02.2013;05:15;02.02.2013;05:30;;6317
02.02.2013;05:30;02.02.2013;05:45;;6335
02.02.2013;05:45;02.02.2013;06:00;;6155
02.02.2013;06:00;02.02.2013;06:15;;6078
02.02.2013;06:15;02.02.2013;06:30;;6130
02.02.2013;06:30;02.02.2013;06:45;;6249
02.02.2013;06:45;02.02.2013;07:00;;6408
02.02.2013;07:00;02.02.2013;07:15;;6484
02.02.2013;07:15;02.02.2013;07:30;;6555
02.02.2013;07:30;02.02.2013;07:45;;6531
02.02.2013;07:45;02.02.2013;08:00;;6711
02.02.2013;08:00;02.02.2013;08:15;;6866
02.02.2013;08:15;02.02.2013;08:30;;6922
02.02.2013;08:30;02.02.2013;08:45;;7012
02.02.2013;08:45;02.02.2013;09:00;;7151
