"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.05.2010;00:00;01.05.2010;00:15;;5498
01.05.2010;00:15;01.05.2010;00:30;;5255
01.05.2010;00:30;01.05.2010;00:45;;5217
01.05.2010;00:45;01.05.2010;01:00;;5192
01.05.2010;01:00;01.05.2010;01:15;;5213
01.05.2010;01:15;01.05.2010;01:30;;5212
01.05.2010;01:30;01.05.2010;01:45;;5105
01.05.2010;01:45;01.05.2010;02:00;;5025
01.05.2010;02:00;01.05.2010;02:15;;4879
01.05.2010;02:15;01.05.2010;02:30;;4784
01.05.2010;02:30;01.05.2010;02:45;;4712
01.05.2010;02:45;01.05.2010;03:00;;4568
01.05.2010;03:00;01.05.2010;03:15;;4269
01.05.2010;03:15;01.05.2010;03:30;;4237
01.05.2010;03:30;01.05.2010;03:45;;4233
01.05.2010;03:45;01.05.2010;04:00;;4212
01.05.2010;04:00;01.05.2010;04:15;;4281
01.05.2010;04:15;01.05.2010;04:30;;4254
01.05.2010;04:30;01.05.2010;04:45;;4296
01.05.2010;04:45;01.05.2010;05:00;;4272
01.05.2010;05:00;01.05.2010;05:15;;4288
01.05.2010;05:15;01.05.2010;05:30;;4253
01.05.2010;05:30;01.05.2010;05:45;;4206
01.05.2010;05:45;01.05.2010;06:00;;4198
01.05.2010;06:00;01.05.2010;06:15;;4068
01.05.2010;06:15;01.05.2010;06:30;;4037
01.05.2010;06:30;01.05.2010;06:45;;4036
01.05.2010;06:45;01.05.2010;07:00;;4027
01.05.2010;07:00;01.05.2010;07:15;;4076
01.05.2010;07:15;01.05.2010;07:30;;4078
01.05.2010;07:30;01.05.2010;07:45;;4079
01.05.2010;07:45;01.05.2010;08:00;;4180
01.05.2010;08:00;01.05.2010;08:15;;4277
01.05.2010;08:15;01.05.2010;08:30;;4358
01.05.2010;08:30;01.05.2010;08:45;;4539
01.05.2010;08:45;01.05.2010;09:00;;4544
01.05.2010;09:00;01.05.2010;09:15;;4647
01.05.2010;09:15;01.05.2010;09:30;;4729
01.05.2010;09:30;01.05.2010;09:45;;4898
01.05.2010;09:45;01.05.2010;10:00;;4993
01.05.2010;10:00;01.05.2010;10:15;;5055
01.05.2010;10:15;01.05.2010;10:30;;5124
01.05.2010;10:30;01.05.2010;10:45;;5168
01.05.2010;10:45;01.05.2010;11:00;;5284
01.05.2010;11:00;01.05.2010;11:15;;5342
01.05.2010;11:15;01.05.2010;11:30;;5313
01.05.2010;11:30;01.05.2010;11:45;;5337
01.05.2010;11:45;01.05.2010;12:00;;5347
01.05.2010;12:00;01.05.2010;12:15;;5334
