"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.06.2011;00:00;01.06.2011;00:15;;7090
01.06.2011;00:15;01.06.2011;00:30;;6932
01.06.2011;00:30;01.06.2011;00:45;;6794
01.06.2011;00:45;01.06.2011;01:00;;6720
01.06.2011;01:00;01.06.2011;01:15;;6575
01.06.2011;01:15;01.06.2011;01:30;;6541
01.06.2011;01:30;01.06.2011;01:45;;6480
01.06.2011;01:45;01.06.2011;02:00;;6339
01.06.2011;02:00;01.06.2011;02:15;;6284
01.06.2011;02:15;01.06.2011;02:30;;6198
01.06.2011;02:30;01.06.2011;02:45;;6167
01.06.2011;02:45;01.06.2011;03:00;;6232
01.06.2011;03:00;01.06.2011;03:15;;6209
01.06.2011;03:15;01.06.2011;03:30;;6219
01.06.2011;03:30;01.06.2011;03:45;;6211
01.06.2011;03:45;01.06.2011;04:00;;6157
01.06.2011;04:00;01.06.2011;04:15;;6193
01.06.2011;04:15;01.06.2011;04:30;;6236
01.06.2011;04:30;01.06.2011;04:45;;6303
01.06.2011;04:45;01.06.2011;05:00;;6384
01.06.2011;05:00;01.06.2011;05:15;;6589
01.06.2011;05:15;01.06.2011;05:30;;6693
01.06.2011;05:30;01.06.2011;05:45;;6793
01.06.2011;05:45;01.06.2011;06:00;;7154
01.06.2011;06:00;01.06.2011;06:15;;7585
01.06.2011;06:15;01.06.2011;06:30;;7944
01.06.2011;06:30;01.06.2011;06:45;;8238
01.06.2011;06:45;01.06.2011;07:00;;8484
01.06.2011;07:00;01.06.2011;07:15;;8832
01.06.2011;07:15;01.06.2011;07:30;;9066
01.06.2011;07:30;01.06.2011;07:45;;9239
01.06.2011;07:45;01.06.2011;08:00;;9443
01.06.2011;08:00;01.06.2011;08:15;;9583
01.06.2011;08:15;01.06.2011;08:30;;9663
01.06.2011;08:30;01.06.2011;08:45;;9721
01.06.2011;08:45;01.06.2011;09:00;;9783
01.06.2011;09:00;01.06.2011;09:15;;9679
01.06.2011;09:15;01.06.2011;09:30;;9708
01.06.2011;09:30;01.06.2011;09:45;;9874
01.06.2011;09:45;01.06.2011;10:00;;9946
01.06.2011;10:00;01.06.2011;10:15;;9988
01.06.2011;10:15;01.06.2011;10:30;;10035
01.06.2011;10:30;01.06.2011;10:45;;10066
01.06.2011;10:45;01.06.2011;11:00;;10127
01.06.2011;11:00;01.06.2011;11:15;;10238
01.06.2011;11:15;01.06.2011;11:30;;10293
01.06.2011;11:30;01.06.2011;11:45;;10378
01.06.2011;11:45;01.06.2011;12:00;;10348
01.06.2011;12:00;01.06.2011;12:15;;10184
01.06.2011;12:15;01.06.2011;12:30;;10069
01.06.2011;12:30;01.06.2011;12:45;;10022
01.06.2011;12:45;01.06.2011;13:00;;9996
01.06.2011;13:00;01.06.2011;13:15;;10121
01.06.2011;13:15;01.06.2011;13:30;;10142
01.06.2011;13:30;01.06.2011;13:45;;10082
01.06.2011;13:45;01.06.2011;14:00;;9942
01.06.2011;14:00;01.06.2011;14:15;;9931
01.06.2011;14:15;01.06.2011;14:30;;9941
01.06.2011;14:30;01.06.2011;14:45;;9875
01.06.2011;14:45;01.06.2011;15:00;;9819
01.06.2011;15:00;01.06.2011;15:15;;9815
01.06.2011;15:15;01.06.2011;15:30;;9778
01.06.2011;15:30;01.06.2011;15:45;;9712
01.06.2011;15:45;01.06.2011;16:00;;9625
01.06.2011;16:00;01.06.2011;16:15;;9468
01.06.2011;16:15;01.06.2011;16:30;;9330
01.06.2011;16:30;01.06.2011;16:45;;9237
01.06.2011;16:45;01.06.2011;17:00;;9231
01.06.2011;17:00;01.06.2011;17:15;;9149
01.06.2011;17:15;01.06.2011;17:30;;9154
01.06.2011;17:30;01.06.2011;17:45;;9166
01.06.2011;17:45;01.06.2011;18:00;;9067
01.06.2011;18:00;01.06.2011;18:15;;9026
01.06.2011;18:15;01.06.2011;18:30;;9011
01.06.2011;18:30;01.06.2011;18:45;;8934
01.06.2011;18:45;01.06.2011;19:00;;8984
01.06.2011;19:00;01.06.2011;19:15;;8958
01.06.2011;19:15;01.06.2011;19:30;;8784
01.06.2011;19:30;01.06.2011;19:45;;8754
01.06.2011;19:45;01.06.2011;20:00;;8628
01.06.2011;20:00;01.06.2011;20:15;;8531
01.06.2011;20:15;01.06.2011;20:30;;8401
01.06.2011;20:30;01.06.2011;20:45;;8347
01.06.2011;20:45;01.06.2011;21:00;;8304
01.06.2011;21:00;01.06.2011;21:15;;8244
01.06.2011;21:15;01.06.2011;21:30;;8228
01.06.2011;21:30;01.06.2011;21:45;;8186
01.06.2011;21:45;01.06.2011;22:00;;8036
01.06.2011;22:00;01.06.2011;22:15;;7948
01.06.2011;22:15;01.06.2011;22:30;;7811
01.06.2011;22:30;01.06.2011;22:45;;7565
01.06.2011;22:45;01.06.2011;23:00;;7375
01.06.2011;23:00;01.06.2011;23:15;;7283
01.06.2011;23:15;01.06.2011;23:30;;7100
01.06.2011;23:30;01.06.2011;23:45;;6912
01.06.2011;23:45;02.06.2011;00:00;;6814
02.06.2011;00:00;02.06.2011;00:15;;7019
02.06.2011;00:15;02.06.2011;00:30;;6842
02.06.2011;00:30;02.06.2011;00:45;;6702
02.06.2011;00:45;02.06.2011;01:00;;6632
02.06.2011;01:00;02.06.2011;01:15;;6547
02.06.2011;01:15;02.06.2011;01:30;;6419
02.06.2011;01:30;02.06.2011;01:45;;6484
02.06.2011;01:45;02.06.2011;02:00;;5971
02.06.2011;02:00;02.06.2011;02:15;;5847
02.06.2011;02:15;02.06.2011;02:30;;5798
02.06.2011;02:30;02.06.2011;02:45;;5718
02.06.2011;02:45;02.06.2011;03:00;;5716
02.06.2011;03:00;02.06.2011;03:15;;5747
02.06.2011;03:15;02.06.2011;03:30;;5657
02.06.2011;03:30;02.06.2011;03:45;;5678
02.06.2011;03:45;02.06.2011;04:00;;5603
02.06.2011;04:00;02.06.2011;04:15;;5641
02.06.2011;04:15;02.06.2011;04:30;;5646
02.06.2011;04:30;02.06.2011;04:45;;5568
02.06.2011;04:45;02.06.2011;05:00;;5566
02.06.2011;05:00;02.06.2011;05:15;;5520
02.06.2011;05:15;02.06.2011;05:30;;5444
02.06.2011;05:30;02.06.2011;05:45;;5316
02.06.2011;05:45;02.06.2011;06:00;;5282
02.06.2011;06:00;02.06.2011;06:15;;5268
02.06.2011;06:15;02.06.2011;06:30;;5315
02.06.2011;06:30;02.06.2011;06:45;;5308
02.06.2011;06:45;02.06.2011;07:00;;5355
02.06.2011;07:00;02.06.2011;07:15;;5405
02.06.2011;07:15;02.06.2011;07:30;;5516
02.06.2011;07:30;02.06.2011;07:45;;5532
02.06.2011;07:45;02.06.2011;08:00;;5638
02.06.2011;08:00;02.06.2011;08:15;;5744
02.06.2011;08:15;02.06.2011;08:30;;5791
02.06.2011;08:30;02.06.2011;08:45;;5889
02.06.2011;08:45;02.06.2011;09:00;;6029
02.06.2011;09:00;02.06.2011;09:15;;6087
02.06.2011;09:15;02.06.2011;09:30;;6270
02.06.2011;09:30;02.06.2011;09:45;;6347
02.06.2011;09:45;02.06.2011;10:00;;6423
02.06.2011;10:00;02.06.2011;10:15;;6529
02.06.2011;10:15;02.06.2011;10:30;;6574
02.06.2011;10:30;02.06.2011;10:45;;6637
02.06.2011;10:45;02.06.2011;11:00;;6682
02.06.2011;11:00;02.06.2011;11:15;;6764
02.06.2011;11:15;02.06.2011;11:30;;6891
02.06.2011;11:30;02.06.2011;11:45;;6856
02.06.2011;11:45;02.06.2011;12:00;;6986
02.06.2011;12:00;02.06.2011;12:15;;7019
02.06.2011;12:15;02.06.2011;12:30;;6949
02.06.2011;12:30;02.06.2011;12:45;;6829
02.06.2011;12:45;02.06.2011;13:00;;6618
02.06.2011;13:00;02.06.2011;13:15;;6556
02.06.2011;13:15;02.06.2011;13:30;;6444
02.06.2011;13:30;02.06.2011;13:45;;6253
02.06.2011;13:45;02.06.2011;14:00;;6244
02.06.2011;14:00;02.06.2011;14:15;;6108
02.06.2011;14:15;02.06.2011;14:30;;6204
02.06.2011;14:30;02.06.2011;14:45;;6189
02.06.2011;14:45;02.06.2011;15:00;;6185
02.06.2011;15:00;02.06.2011;15:15;;6169
02.06.2011;15:15;02.06.2011;15:30;;6104
02.06.2011;15:30;02.06.2011;15:45;;6132
02.06.2011;15:45;02.06.2011;16:00;;6122
02.06.2011;16:00;02.06.2011;16:15;;6042
02.06.2011;16:15;02.06.2011;16:30;;6062
02.06.2011;16:30;02.06.2011;16:45;;6087
02.06.2011;16:45;02.06.2011;17:00;;6141
