"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.06.2013;00:00;01.06.2013;00:15;6164;5767
01.06.2013;00:15;01.06.2013;00:30;6112;5633
01.06.2013;00:30;01.06.2013;00:45;6096;5414
01.06.2013;00:45;01.06.2013;01:00;5951;5315
01.06.2013;01:00;01.06.2013;01:15;5854;5180
01.06.2013;01:15;01.06.2013;01:30;5650;5148
01.06.2013;01:30;01.06.2013;01:45;5769;5036
01.06.2013;01:45;01.06.2013;02:00;5683;5047
01.06.2013;02:00;01.06.2013;02:15;5607;4885
01.06.2013;02:15;01.06.2013;02:30;5558;4956
01.06.2013;02:30;01.06.2013;02:45;5553;4936
01.06.2013;02:45;01.06.2013;03:00;5527;4840
01.06.2013;03:00;01.06.2013;03:15;5524;4745
01.06.2013;03:15;01.06.2013;03:30;5510;4824
01.06.2013;03:30;01.06.2013;03:45;5540;4841
01.06.2013;03:45;01.06.2013;04:00;5561;4854
01.06.2013;04:00;01.06.2013;04:15;5607;4821
01.06.2013;04:15;01.06.2013;04:30;5606;4876
01.06.2013;04:30;01.06.2013;04:45;5676;4876
01.06.2013;04:45;01.06.2013;05:00;5663;5004
01.06.2013;05:00;01.06.2013;05:15;5670;5041
01.06.2013;05:15;01.06.2013;05:30;5542;5042
01.06.2013;05:30;01.06.2013;05:45;5414;5029
01.06.2013;05:45;01.06.2013;06:00;5402;4988
01.06.2013;06:00;01.06.2013;06:15;5349;5105
01.06.2013;06:15;01.06.2013;06:30;5402;5155
01.06.2013;06:30;01.06.2013;06:45;5389;5184
01.06.2013;06:45;01.06.2013;07:00;5468;5277
01.06.2013;07:00;01.06.2013;07:15;5622;5361
01.06.2013;07:15;01.06.2013;07:30;5623;5501
01.06.2013;07:30;01.06.2013;07:45;5692;5615
01.06.2013;07:45;01.06.2013;08:00;5819;5650
01.06.2013;08:00;01.06.2013;08:15;5954;5811
01.06.2013;08:15;01.06.2013;08:30;6005;5897
01.06.2013;08:30;01.06.2013;08:45;6019;5996
01.06.2013;08:45;01.06.2013;09:00;6213;6130
01.06.2013;09:00;01.06.2013;09:15;6362;6323
01.06.2013;09:15;01.06.2013;09:30;6453;6444
01.06.2013;09:30;01.06.2013;09:45;6676;6499
01.06.2013;09:45;01.06.2013;10:00;6847;6496
01.06.2013;10:00;01.06.2013;10:15;6820;6639
01.06.2013;10:15;01.06.2013;10:30;7237;6609
01.06.2013;10:30;01.06.2013;10:45;6786;6682
01.06.2013;10:45;01.06.2013;11:00;6979;6832
01.06.2013;11:00;01.06.2013;11:15;6911;6861
01.06.2013;11:15;01.06.2013;11:30;7289;6966
01.06.2013;11:30;01.06.2013;11:45;7231;7007
01.06.2013;11:45;01.06.2013;12:00;7110;7125
01.06.2013;12:00;01.06.2013;12:15;6905;7075
01.06.2013;12:15;01.06.2013;12:30;6777;7011
01.06.2013;12:30;01.06.2013;12:45;6790;6965
01.06.2013;12:45;01.06.2013;13:00;6825;6870
01.06.2013;13:00;01.06.2013;13:15;6665;6789
01.06.2013;13:15;01.06.2013;13:30;6499;6700
01.06.2013;13:30;01.06.2013;13:45;6416;6733
01.06.2013;13:45;01.06.2013;14:00;6449;6751
01.06.2013;14:00;01.06.2013;14:15;6499;6450
01.06.2013;14:15;01.06.2013;14:30;6425;6547
