"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"02.01.2017 00:15 - 02.01.2017 00:30","5311","5667"
"02.01.2017 00:30 - 02.01.2017 00:45","5364","5567"
"02.01.2017 00:45 - 02.01.2017 01:00","5133","5376"
"02.01.2017 01:00 - 02.01.2017 01:15","5955","5357"
"02.01.2017 01:15 - 02.01.2017 01:30","5026","5293"
"02.01.2017 01:30 - 02.01.2017 01:45","5044","5229"
"02.01.2017 01:45 - 02.01.2017 02:00","5009","5257"
"02.01.2017 02:00 - 02.01.2017 02:15","5057","5275"
"02.01.2017 02:15 - 02.01.2017 02:30","5063","5211"
"02.01.2017 02:30 - 02.01.2017 02:45","4927","5185"
"02.01.2017 02:45 - 02.01.2017 03:00","4931","5176"
"02.01.2017 03:00 - 02.01.2017 03:15","4899","5175"
"02.01.2017 03:15 - 02.01.2017 03:30","4971","5093"
"02.01.2017 03:30 - 02.01.2017 03:45","4984","5113"
"02.01.2017 03:45 - 02.01.2017 04:00","5059","5157"
"02.01.2017 04:00 - 02.01.2017 04:15","5044","5200"
"02.01.2017 04:15 - 02.01.2017 04:30","5332","5272"
"02.01.2017 04:30 - 02.01.2017 04:45","5318","5273"
"02.01.2017 04:45 - 02.01.2017 05:00","5504","5377"
"02.01.2017 05:00 - 02.01.2017 05:15","5544","5396"
"02.01.2017 05:15 - 02.01.2017 05:30","5515","5461"
"02.01.2017 05:30 - 02.01.2017 05:45","5712","5633"
"02.01.2017 05:45 - 02.01.2017 06:00","6026","5659"
"02.01.2017 06:00 - 02.01.2017 06:15","6214","5731"
"02.01.2017 06:15 - 02.01.2017 06:30","6747","6174"
"02.01.2017 06:30 - 02.01.2017 06:45","6874","6295"
"02.01.2017 06:45 - 02.01.2017 07:00","7240","6499"
"02.01.2017 07:00 - 02.01.2017 07:15","7447","6643"
"02.01.2017 07:15 - 02.01.2017 07:30","7167","6868"
"02.01.2017 07:30 - 02.01.2017 07:45","8115","7045"
"02.01.2017 07:45 - 02.01.2017 08:00","8331","7161"
"02.01.2017 08:00 - 02.01.2017 08:15","8424","7317"
"02.01.2017 08:15 - 02.01.2017 08:30","8407","7259"
"02.01.2017 08:30 - 02.01.2017 08:45","8443","7389"
"02.01.2017 08:45 - 02.01.2017 09:00","8487","7475"
"02.01.2017 09:00 - 02.01.2017 09:15","8509","7587"
"02.01.2017 09:15 - 02.01.2017 09:30","8509","7818"
"02.01.2017 09:30 - 02.01.2017 09:45","8684","8001"
"02.01.2017 09:45 - 02.01.2017 10:00","8720","8212"
"02.01.2017 10:00 - 02.01.2017 10:15","8705","8216"
"02.01.2017 10:15 - 02.01.2017 10:30","8839","8289"
"02.01.2017 10:30 - 02.01.2017 10:45","8837","8334"
"02.01.2017 10:45 - 02.01.2017 11:00","8779","8467"
"02.01.2017 11:00 - 02.01.2017 11:15","8767","8532"
"02.01.2017 11:15 - 02.01.2017 11:30","8777","8584"
"02.01.2017 11:30 - 02.01.2017 11:45","8852","8580"
"02.01.2017 11:45 - 02.01.2017 12:00","8862","8609"
"02.01.2017 12:00 - 02.01.2017 12:15","8727","8664"
"02.01.2017 12:15 - 02.01.2017 12:30","8828","8701"
"02.01.2017 12:30 - 02.01.2017 12:45","8828","8714"
"02.01.2017 12:45 - 02.01.2017 13:00","8702","8705"
"02.01.2017 13:00 - 02.01.2017 13:15","8732","8627"
"02.01.2017 13:15 - 02.01.2017 13:30","8787","8588"
"02.01.2017 13:30 - 02.01.2017 13:45","8735","8472"
"02.01.2017 13:45 - 02.01.2017 14:00","8758","8381"
"02.01.2017 14:00 - 02.01.2017 14:15","8566","8269"
"02.01.2017 14:15 - 02.01.2017 14:30","8605","8286"
"02.01.2017 14:30 - 02.01.2017 14:45","8563","8309"
"02.01.2017 14:45 - 02.01.2017 15:00","8558","8248"
"02.01.2017 15:00 - 02.01.2017 15:15","8414","8186"
"02.01.2017 15:15 - 02.01.2017 15:30","8433","8125"
"02.01.2017 15:30 - 02.01.2017 15:45","8514","8085"
"02.01.2017 15:45 - 02.01.2017 16:00","8441","8185"
"02.01.2017 16:00 - 02.01.2017 16:15","8214","8118"
"02.01.2017 16:15 - 02.01.2017 16:30","8434","8097"
"02.01.2017 16:30 - 02.01.2017 16:45","8521","8251"
"02.01.2017 16:45 - 02.01.2017 17:00","8648","8236"
"02.01.2017 17:00 - 02.01.2017 17:15","8782","8515"
"02.01.2017 17:15 - 02.01.2017 17:30","8791","8390"
"02.01.2017 17:30 - 02.01.2017 17:45","8742","8471"
"02.01.2017 17:45 - 02.01.2017 18:00","8637","8358"
"02.01.2017 18:00 - 02.01.2017 18:15","8587","8320"
"02.01.2017 18:15 - 02.01.2017 18:30","8546","8323"
"02.01.2017 18:30 - 02.01.2017 18:45","8432","8352"
"02.01.2017 18:45 - 02.01.2017 19:00","8358","8276"
"02.01.2017 19:00 - 02.01.2017 19:15","8313","8265"
"02.01.2017 19:15 - 02.01.2017 19:30","8271","8286"
"02.01.2017 19:30 - 02.01.2017 19:45","8130","8143"
"02.01.2017 19:45 - 02.01.2017 20:00","8013","8129"
"02.01.2017 20:00 - 02.01.2017 20:15","7951","7855"
"02.01.2017 20:15 - 02.01.2017 20:30","7909","7802"
