"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.05.2012;00:00;01.05.2012;00:15;;5159
01.05.2012;00:15;01.05.2012;00:30;;5003
01.05.2012;00:30;01.05.2012;00:45;;4951
01.05.2012;00:45;01.05.2012;01:00;;4867
01.05.2012;01:00;01.05.2012;01:15;;4758
01.05.2012;01:15;01.05.2012;01:30;;4706
01.05.2012;01:30;01.05.2012;01:45;;4608
01.05.2012;01:45;01.05.2012;02:00;;4751
01.05.2012;02:00;01.05.2012;02:15;;4686
01.05.2012;02:15;01.05.2012;02:30;;4712
01.05.2012;02:30;01.05.2012;02:45;;4647
01.05.2012;02:45;01.05.2012;03:00;;4583
01.05.2012;03:00;01.05.2012;03:15;;4512
01.05.2012;03:15;01.05.2012;03:30;;4486
01.05.2012;03:30;01.05.2012;03:45;;4463
01.05.2012;03:45;01.05.2012;04:00;;4421
01.05.2012;04:00;01.05.2012;04:15;;4375
01.05.2012;04:15;01.05.2012;04:30;;4385
01.05.2012;04:30;01.05.2012;04:45;;4396
01.05.2012;04:45;01.05.2012;05:00;;4382
01.05.2012;05:00;01.05.2012;05:15;;4412
01.05.2012;05:15;01.05.2012;05:30;;4413
01.05.2012;05:30;01.05.2012;05:45;;4426
01.05.2012;05:45;01.05.2012;06:00;;4289
01.05.2012;06:00;01.05.2012;06:15;;4216
01.05.2012;06:15;01.05.2012;06:30;;4207
01.05.2012;06:30;01.05.2012;06:45;;4218
01.05.2012;06:45;01.05.2012;07:00;;4230
01.05.2012;07:00;01.05.2012;07:15;;4249
01.05.2012;07:15;01.05.2012;07:30;;4294
01.05.2012;07:30;01.05.2012;07:45;;4480
01.05.2012;07:45;01.05.2012;08:00;;4562
01.05.2012;08:00;01.05.2012;08:15;;4633
01.05.2012;08:15;01.05.2012;08:30;;4685
01.05.2012;08:30;01.05.2012;08:45;;4937
01.05.2012;08:45;01.05.2012;09:00;;4972
01.05.2012;09:00;01.05.2012;09:15;;5186
01.05.2012;09:15;01.05.2012;09:30;;5382
01.05.2012;09:30;01.05.2012;09:45;;5415
01.05.2012;09:45;01.05.2012;10:00;;5411
01.05.2012;10:00;01.05.2012;10:15;;5259
01.05.2012;10:15;01.05.2012;10:30;;5379
01.05.2012;10:30;01.05.2012;10:45;;5403
01.05.2012;10:45;01.05.2012;11:00;;5406
