"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.04.2014;00:00;01.04.2014;00:15;7016;6408
01.04.2014;00:15;01.04.2014;00:30;6864;6239
01.04.2014;00:30;01.04.2014;00:45;6739;6103
01.04.2014;00:45;01.04.2014;01:00;6650;5992
01.04.2014;01:00;01.04.2014;01:15;6516;5935
01.04.2014;01:15;01.04.2014;01:30;6434;5799
01.04.2014;01:30;01.04.2014;01:45;6423;5801
01.04.2014;01:45;01.04.2014;02:00;6385;5772
01.04.2014;02:00;01.04.2014;02:15;6319;5647
01.04.2014;02:15;01.04.2014;02:30;6291;5641
01.04.2014;02:30;01.04.2014;02:45;6342;5559
01.04.2014;02:45;01.04.2014;03:00;6334;5663
01.04.2014;03:00;01.04.2014;03:15;6366;5662
01.04.2014;03:15;01.04.2014;03:30;6393;5715
01.04.2014;03:30;01.04.2014;03:45;6451;5770
01.04.2014;03:45;01.04.2014;04:00;6496;5739
01.04.2014;04:00;01.04.2014;04:15;6579;5839
01.04.2014;04:15;01.04.2014;04:30;6610;5948
01.04.2014;04:30;01.04.2014;04:45;6700;5988
01.04.2014;04:45;01.04.2014;05:00;6767;6128
01.04.2014;05:00;01.04.2014;05:15;6923;6290
01.04.2014;05:15;01.04.2014;05:30;7050;6368
01.04.2014;05:30;01.04.2014;05:45;7165;6548
01.04.2014;05:45;01.04.2014;06:00;7355;6729
01.04.2014;06:00;01.04.2014;06:15;7720;7192
01.04.2014;06:15;01.04.2014;06:30;7928;7649
01.04.2014;06:30;01.04.2014;06:45;8176;7938
01.04.2014;06:45;01.04.2014;07:00;8368;8129
01.04.2014;07:00;01.04.2014;07:15;8478;8350
01.04.2014;07:15;01.04.2014;07:30;8781;8447
01.04.2014;07:30;01.04.2014;07:45;8957;8582
01.04.2014;07:45;01.04.2014;08:00;9040;8712
01.04.2014;08:00;01.04.2014;08:15;9095;8880
01.04.2014;08:15;01.04.2014;08:30;9178;8950
01.04.2014;08:30;01.04.2014;08:45;9302;8930
01.04.2014;08:45;01.04.2014;09:00;9231;8977
01.04.2014;09:00;01.04.2014;09:15;9284;8915
01.04.2014;09:15;01.04.2014;09:30;9430;8957
01.04.2014;09:30;01.04.2014;09:45;9259;9073
01.04.2014;09:45;01.04.2014;10:00;9476;9052
01.04.2014;10:00;01.04.2014;10:15;9387;9131
01.04.2014;10:15;01.04.2014;10:30;9513;9214
01.04.2014;10:30;01.04.2014;10:45;9570;9252
01.04.2014;10:45;01.04.2014;11:00;9557;9257
01.04.2014;11:00;01.04.2014;11:15;9611;9278
01.04.2014;11:15;01.04.2014;11:30;9798;9378
01.04.2014;11:30;01.04.2014;11:45;9746;9344
01.04.2014;11:45;01.04.2014;12:00;9680;9366
01.04.2014;12:00;01.04.2014;12:15;9503;9250
01.04.2014;12:15;01.04.2014;12:30;9487;9162
01.04.2014;12:30;01.04.2014;12:45;9446;9126
01.04.2014;12:45;01.04.2014;13:00;9465;9208
01.04.2014;13:00;01.04.2014;13:15;9297;9255
01.04.2014;13:15;01.04.2014;13:30;9500;9260
01.04.2014;13:30;01.04.2014;13:45;9404;9248
01.04.2014;13:45;01.04.2014;14:00;9291;9128
01.04.2014;14:00;01.04.2014;14:15;9241;9159
01.04.2014;14:15;01.04.2014;14:30;9238;9172
01.04.2014;14:30;01.04.2014;14:45;9192;9036
01.04.2014;14:45;01.04.2014;15:00;9071;9044
01.04.2014;15:00;01.04.2014;15:15;9223;8949
01.04.2014;15:15;01.04.2014;15:30;8981;8946
01.04.2014;15:30;01.04.2014;15:45;8981;8814
01.04.2014;15:45;01.04.2014;16:00;8886;8761
01.04.2014;16:00;01.04.2014;16:15;8789;8533
01.04.2014;16:15;01.04.2014;16:30;8705;8602
01.04.2014;16:30;01.04.2014;16:45;8633;8513
01.04.2014;16:45;01.04.2014;17:00;8649;8330
01.04.2014;17:00;01.04.2014;17:15;8513;8227
01.04.2014;17:15;01.04.2014;17:30;8456;8120
01.04.2014;17:30;01.04.2014;17:45;8473;8098
01.04.2014;17:45;01.04.2014;18:00;8423;8090
01.04.2014;18:00;01.04.2014;18:15;8500;7995
01.04.2014;18:15;01.04.2014;18:30;8497;7999
01.04.2014;18:30;01.04.2014;18:45;8514;8037
01.04.2014;18:45;01.04.2014;19:00;8812;8126
01.04.2014;19:00;01.04.2014;19:15;9156;8120
01.04.2014;19:15;01.04.2014;19:30;9109;8079
01.04.2014;19:30;01.04.2014;19:45;9162;8177
01.04.2014;19:45;01.04.2014;20:00;9028;8220
01.04.2014;20:00;01.04.2014;20:15;8867;8364
01.04.2014;20:15;01.04.2014;20:30;8812;8447
01.04.2014;20:30;01.04.2014;20:45;8625;8346
01.04.2014;20:45;01.04.2014;21:00;8477;8275
01.04.2014;21:00;01.04.2014;21:15;8400;8180
01.04.2014;21:15;01.04.2014;21:30;8404;8146
01.04.2014;21:30;01.04.2014;21:45;8153;7981
01.04.2014;21:45;01.04.2014;22:00;8127;7791
01.04.2014;22:00;01.04.2014;22:15;8113;7688
01.04.2014;22:15;01.04.2014;22:30;7990;7511
01.04.2014;22:30;01.04.2014;22:45;7815;7377
01.04.2014;22:45;01.04.2014;23:00;7561;7190
01.04.2014;23:00;01.04.2014;23:15;7477;6982
01.04.2014;23:15;01.04.2014;23:30;7312;6821
01.04.2014;23:30;01.04.2014;23:45;7224;6652
01.04.2014;23:45;02.04.2014;00:00;7055;6547
02.04.2014;00:00;02.04.2014;00:15;7016;6300
02.04.2014;00:15;02.04.2014;00:30;6864;6214
02.04.2014;00:30;02.04.2014;00:45;6739;6062
02.04.2014;00:45;02.04.2014;01:00;6650;5983
02.04.2014;01:00;02.04.2014;01:15;6516;5900
02.04.2014;01:15;02.04.2014;01:30;6434;5806
02.04.2014;01:30;02.04.2014;01:45;6423;5780
02.04.2014;01:45;02.04.2014;02:00;6385;5682
02.04.2014;02:00;02.04.2014;02:15;6319;5662
02.04.2014;02:15;02.04.2014;02:30;6291;5623
02.04.2014;02:30;02.04.2014;02:45;6342;5564
02.04.2014;02:45;02.04.2014;03:00;6334;5638
02.04.2014;03:00;02.04.2014;03:15;6366;5622
02.04.2014;03:15;02.04.2014;03:30;6393;5670
02.04.2014;03:30;02.04.2014;03:45;6451;5702
02.04.2014;03:45;02.04.2014;04:00;6496;5741
02.04.2014;04:00;02.04.2014;04:15;6579;5861
02.04.2014;04:15;02.04.2014;04:30;6610;5889
02.04.2014;04:30;02.04.2014;04:45;6700;5911
02.04.2014;04:45;02.04.2014;05:00;6767;6081
02.04.2014;05:00;02.04.2014;05:15;6923;6222
02.04.2014;05:15;02.04.2014;05:30;7050;6377
02.04.2014;05:30;02.04.2014;05:45;7165;6624
02.04.2014;05:45;02.04.2014;06:00;7355;6878
02.04.2014;06:00;02.04.2014;06:15;7720;7256
02.04.2014;06:15;02.04.2014;06:30;7928;7720
02.04.2014;06:30;02.04.2014;06:45;8176;7991
02.04.2014;06:45;02.04.2014;07:00;8368;8023
02.04.2014;07:00;02.04.2014;07:15;8478;8402
02.04.2014;07:15;02.04.2014;07:30;8781;8543
02.04.2014;07:30;02.04.2014;07:45;8957;8611
02.04.2014;07:45;02.04.2014;08:00;9040;8709
02.04.2014;08:00;02.04.2014;08:15;9095;8759
02.04.2014;08:15;02.04.2014;08:30;9178;8835
02.04.2014;08:30;02.04.2014;08:45;9302;8912
02.04.2014;08:45;02.04.2014;09:00;9231;8940
02.04.2014;09:00;02.04.2014;09:15;9284;8817
02.04.2014;09:15;02.04.2014;09:30;9430;8754
02.04.2014;09:30;02.04.2014;09:45;9259;8933
02.04.2014;09:45;02.04.2014;10:00;9476;9054
02.04.2014;10:00;02.04.2014;10:15;9387;9142
02.04.2014;10:15;02.04.2014;10:30;9513;9186
02.04.2014;10:30;02.04.2014;10:45;9570;9301
02.04.2014;10:45;02.04.2014;11:00;9557;9261
02.04.2014;11:00;02.04.2014;11:15;9611;9222
02.04.2014;11:15;02.04.2014;11:30;9798;9375
02.04.2014;11:30;02.04.2014;11:45;9746;9449
02.04.2014;11:45;02.04.2014;12:00;9680;9341
02.04.2014;12:00;02.04.2014;12:15;9503;9360
02.04.2014;12:15;02.04.2014;12:30;9487;9201
02.04.2014;12:30;02.04.2014;12:45;9446;9104
02.04.2014;12:45;02.04.2014;13:00;9465;9311
02.04.2014;13:00;02.04.2014;13:15;9297;9324
02.04.2014;13:15;02.04.2014;13:30;9500;9127
02.04.2014;13:30;02.04.2014;13:45;9404;9142
02.04.2014;13:45;02.04.2014;14:00;9291;9010
02.04.2014;14:00;02.04.2014;14:15;9241;9130
02.04.2014;14:15;02.04.2014;14:30;9238;9120
02.04.2014;14:30;02.04.2014;14:45;9192;9062
02.04.2014;14:45;02.04.2014;15:00;9071;9143
02.04.2014;15:00;02.04.2014;15:15;9223;9020
