"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.07.2011;00:00;01.07.2011;00:15;;7227
01.07.2011;00:15;01.07.2011;00:30;;7034
01.07.2011;00:30;01.07.2011;00:45;;6907
01.07.2011;00:45;01.07.2011;01:00;;6851
01.07.2011;01:00;01.07.2011;01:15;;6705
01.07.2011;01:15;01.07.2011;01:30;;6670
01.07.2011;01:30;01.07.2011;01:45;;6591
01.07.2011;01:45;01.07.2011;02:00;;6458
01.07.2011;02:00;01.07.2011;02:15;;6358
01.07.2011;02:15;01.07.2011;02:30;;6274
01.07.2011;02:30;01.07.2011;02:45;;6255
01.07.2011;02:45;01.07.2011;03:00;;6259
01.07.2011;03:00;01.07.2011;03:15;;6278
01.07.2011;03:15;01.07.2011;03:30;;6245
01.07.2011;03:30;01.07.2011;03:45;;6279
01.07.2011;03:45;01.07.2011;04:00;;6274
01.07.2011;04:00;01.07.2011;04:15;;6348
01.07.2011;04:15;01.07.2011;04:30;;6367
01.07.2011;04:30;01.07.2011;04:45;;6437
01.07.2011;04:45;01.07.2011;05:00;;6519
01.07.2011;05:00;01.07.2011;05:15;;6662
01.07.2011;05:15;01.07.2011;05:30;;6735
01.07.2011;05:30;01.07.2011;05:45;;6894
01.07.2011;05:45;01.07.2011;06:00;;7171
01.07.2011;06:00;01.07.2011;06:15;;7643
01.07.2011;06:15;01.07.2011;06:30;;7910
01.07.2011;06:30;01.07.2011;06:45;;8161
01.07.2011;06:45;01.07.2011;07:00;;8406
01.07.2011;07:00;01.07.2011;07:15;;8637
01.07.2011;07:15;01.07.2011;07:30;;8897
01.07.2011;07:30;01.07.2011;07:45;;9079
01.07.2011;07:45;01.07.2011;08:00;;9254
01.07.2011;08:00;01.07.2011;08:15;;9431
01.07.2011;08:15;01.07.2011;08:30;;9492
01.07.2011;08:30;01.07.2011;08:45;;9576
01.07.2011;08:45;01.07.2011;09:00;;9660
01.07.2011;09:00;01.07.2011;09:15;;9558
01.07.2011;09:15;01.07.2011;09:30;;9593
01.07.2011;09:30;01.07.2011;09:45;;9812
01.07.2011;09:45;01.07.2011;10:00;;9885
01.07.2011;10:00;01.07.2011;10:15;;9962
01.07.2011;10:15;01.07.2011;10:30;;9994
01.07.2011;10:30;01.07.2011;10:45;;9992
01.07.2011;10:45;01.07.2011;11:00;;9954
01.07.2011;11:00;01.07.2011;11:15;;9942
01.07.2011;11:15;01.07.2011;11:30;;10037
01.07.2011;11:30;01.07.2011;11:45;;10141
01.07.2011;11:45;01.07.2011;12:00;;10175
01.07.2011;12:00;01.07.2011;12:15;;9990
01.07.2011;12:15;01.07.2011;12:30;;9890
01.07.2011;12:30;01.07.2011;12:45;;9882
01.07.2011;12:45;01.07.2011;13:00;;9973
01.07.2011;13:00;01.07.2011;13:15;;10050
01.07.2011;13:15;01.07.2011;13:30;;9872
01.07.2011;13:30;01.07.2011;13:45;;9683
01.07.2011;13:45;01.07.2011;14:00;;9704
01.07.2011;14:00;01.07.2011;14:15;;9632
01.07.2011;14:15;01.07.2011;14:30;;9640
01.07.2011;14:30;01.07.2011;14:45;;9510
01.07.2011;14:45;01.07.2011;15:00;;9493
01.07.2011;15:00;01.07.2011;15:15;;9340
