"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"01.01.2016 00:00 - 01.01.2016 00:15","4468","4971"
"01.01.2016 00:15 - 01.01.2016 00:30","4414","4886"
"01.01.2016 00:30 - 01.01.2016 00:45","4226","4865"
"01.01.2016 00:45 - 01.01.2016 01:00","4148","4819"
"01.01.2016 01:00 - 01.01.2016 01:15","4026","4739"
"01.01.2016 01:15 - 01.01.2016 01:30","3909","4681"
"01.01.2016 01:30 - 01.01.2016 01:45","3855","4613"
"01.01.2016 01:45 - 01.01.2016 02:00","3779","4575"
"01.01.2016 02:00 - 01.01.2016 02:15","3777","4514"
"01.01.2016 02:15 - 01.01.2016 02:30","3691","4462"
"01.01.2016 02:30 - 01.01.2016 02:45","3671","4405"
"01.01.2016 02:45 - 01.01.2016 03:00","3681","4343"
"01.01.2016 03:00 - 01.01.2016 03:15","3668","4335"
"01.01.2016 03:15 - 01.01.2016 03:30","3627","4302"
"01.01.2016 03:30 - 01.01.2016 03:45","3724","4336"
"01.01.2016 03:45 - 01.01.2016 04:00","3693","4327"
"01.01.2016 04:00 - 01.01.2016 04:15","3768","4315"
"01.01.2016 04:15 - 01.01.2016 04:30","3678","4285"
"01.01.2016 04:30 - 01.01.2016 04:45","3884","4382"
"01.01.2016 04:45 - 01.01.2016 05:00","3883","4365"
"01.01.2016 05:00 - 01.01.2016 05:15","3838","4302"
"01.01.2016 05:15 - 01.01.2016 05:30","3845","4228"
"01.01.2016 05:30 - 01.01.2016 05:45","3782","4175"
"01.01.2016 05:45 - 01.01.2016 06:00","3772","4083"
"01.01.2016 06:00 - 01.01.2016 06:15","3779","4021"
"01.01.2016 06:15 - 01.01.2016 06:30","3758","4008"
"01.01.2016 06:30 - 01.01.2016 06:45","3804","3993"
"01.01.2016 06:45 - 01.01.2016 07:00","3819","3998"
"01.01.2016 07:00 - 01.01.2016 07:15","3938","4055"
"01.01.2016 07:15 - 01.01.2016 07:30","4046","4044"
"01.01.2016 07:30 - 01.01.2016 07:45","4117","4023"
"01.01.2016 07:45 - 01.01.2016 08:00","4153","4026"
"01.01.2016 08:00 - 01.01.2016 08:15","4181","4000"
"01.01.2016 08:15 - 01.01.2016 08:30","4266","3981"
"01.01.2016 08:30 - 01.01.2016 08:45","4289","3988"
"01.01.2016 08:45 - 01.01.2016 09:00","4367","4019"
"01.01.2016 09:00 - 01.01.2016 09:15","4498","4201"
"01.01.2016 09:15 - 01.01.2016 09:30","4642","4251"
"01.01.2016 09:30 - 01.01.2016 09:45","4658","4308"
"01.01.2016 09:45 - 01.01.2016 10:00","4869","4392"
"01.01.2016 10:00 - 01.01.2016 10:15","4911","4457"
"01.01.2016 10:15 - 01.01.2016 10:30","4904","4522"
"01.01.2016 10:30 - 01.01.2016 10:45","4861","4555"
"01.01.2016 10:45 - 01.01.2016 11:00","4914","4626"
"01.01.2016 11:00 - 01.01.2016 11:15","4957","4701"
"01.01.2016 11:15 - 01.01.2016 11:30","5044","4774"
"01.01.2016 11:30 - 01.01.2016 11:45","5110","4818"
"01.01.2016 11:45 - 01.01.2016 12:00","5178","4834"
"01.01.2016 12:00 - 01.01.2016 12:15","5213","4967"
"01.01.2016 12:15 - 01.01.2016 12:30","5183","5002"
"01.01.2016 12:30 - 01.01.2016 12:45","5054","4949"
"01.01.2016 12:45 - 01.01.2016 13:00","4914","4931"
"01.01.2016 13:00 - 01.01.2016 13:15","4800","4859"
"01.01.2016 13:15 - 01.01.2016 13:30","4732","4829"
"01.01.2016 13:30 - 01.01.2016 13:45","4712","4796"
"01.01.2016 13:45 - 01.01.2016 14:00","4654","4819"
"01.01.2016 14:00 - 01.01.2016 14:15","4605","4802"
"01.01.2016 14:15 - 01.01.2016 14:30","4546","4756"
"01.01.2016 14:30 - 01.01.2016 14:45","4461","4719"
"01.01.2016 14:45 - 01.01.2016 15:00","4344","4743"
"01.01.2016 15:00 - 01.01.2016 15:15","4315","4824"
"01.01.2016 15:15 - 01.01.2016 15:30","4311","4802"
"01.01.2016 15:30 - 01.01.2016 15:45","4235","4789"
"01.01.2016 15:45 - 01.01.2016 16:00","4290","4785"
"01.01.2016 16:00 - 01.01.2016 16:15","4301","4851"
"01.01.2016 16:15 - 01.01.2016 16:30","4438","4950"
"01.01.2016 16:30 - 01.01.2016 16:45","4552","5125"
"01.01.2016 16:45 - 01.01.2016 17:00","4823","5340"
"01.01.2016 17:00 - 01.01.2016 17:15","5083","5557"
"01.01.2016 17:15 - 01.01.2016 17:30","5209","5640"
"01.01.2016 17:30 - 01.01.2016 17:45","5269","5668"
"01.01.2016 17:45 - 01.01.2016 18:00","5308","5689"
"01.01.2016 18:00 - 01.01.2016 18:15","5356","5743"
"01.01.2016 18:15 - 01.01.2016 18:30","5346","5754"
"01.01.2016 18:30 - 01.01.2016 18:45","5336","5735"
