"Date from";"Time from";"Date to";"Time to";"Projection (MW)";"Actual value (MW)"
01.12.2012;00:00;01.12.2012;00:15;;7163
01.12.2012;00:15;01.12.2012;00:30;;7041
01.12.2012;00:30;01.12.2012;00:45;;6911
01.12.2012;00:45;01.12.2012;01:00;;7011
01.12.2012;01:00;01.12.2012;01:15;;6919
01.12.2012;01:15;01.12.2012;01:30;;6857
01.12.2012;01:30;01.12.2012;01:45;;6844
01.12.2012;01:45;01.12.2012;02:00;;6754
01.12.2012;02:00;01.12.2012;02:15;;6651
01.12.2012;02:15;01.12.2012;02:30;;6672
01.12.2012;02:30;01.12.2012;02:45;;6647
01.12.2012;02:45;01.12.2012;03:00;;6604
01.12.2012;03:00;01.12.2012;03:15;;6495
01.12.2012;03:15;01.12.2012;03:30;;6414
01.12.2012;03:30;01.12.2012;03:45;;6507
01.12.2012;03:45;01.12.2012;04:00;;6451
01.12.2012;04:00;01.12.2012;04:15;;6447
01.12.2012;04:15;01.12.2012;04:30;;6477
01.12.2012;04:30;01.12.2012;04:45;;6519
01.12.2012;04:45;01.12.2012;05:00;;6518
01.12.2012;05:00;01.12.2012;05:15;;6426
01.12.2012;05:15;01.12.2012;05:30;;6363
01.12.2012;05:30;01.12.2012;05:45;;6301
01.12.2012;05:45;01.12.2012;06:00;;6187
01.12.2012;06:00;01.12.2012;06:15;;6164
01.12.2012;06:15;01.12.2012;06:30;;6247
01.12.2012;06:30;01.12.2012;06:45;;6240
01.12.2012;06:45;01.12.2012;07:00;;6387
01.12.2012;07:00;01.12.2012;07:15;;6478
01.12.2012;07:15;01.12.2012;07:30;;6576
01.12.2012;07:30;01.12.2012;07:45;;6640
01.12.2012;07:45;01.12.2012;08:00;;6621
01.12.2012;08:00;01.12.2012;08:15;;6716
01.12.2012;08:15;01.12.2012;08:30;;6784
01.12.2012;08:30;01.12.2012;08:45;;6871
01.12.2012;08:45;01.12.2012;09:00;;6928
01.12.2012;09:00;01.12.2012;09:15;;7100
01.12.2012;09:15;01.12.2012;09:30;;7135
01.12.2012;09:30;01.12.2012;09:45;;7174
01.12.2012;09:45;01.12.2012;10:00;;7255
01.12.2012;10:00;01.12.2012;10:15;;7372
01.12.2012;10:15;01.12.2012;10:30;;7401
01.12.2012;10:30;01.12.2012;10:45;;7503
01.12.2012;10:45;01.12.2012;11:00;;7445
01.12.2012;11:00;01.12.2012;11:15;;7484
01.12.2012;11:15;01.12.2012;11:30;;7522
01.12.2012;11:30;01.12.2012;11:45;;7462
01.12.2012;11:45;01.12.2012;12:00;;7490
01.12.2012;12:00;01.12.2012;12:15;;7545
01.12.2012;12:15;01.12.2012;12:30;;7600
01.12.2012;12:30;01.12.2012;12:45;;7578
01.12.2012;12:45;01.12.2012;13:00;;7422
01.12.2012;13:00;01.12.2012;13:15;;7477
01.12.2012;13:15;01.12.2012;13:30;;7320
01.12.2012;13:30;01.12.2012;13:45;;7346
01.12.2012;13:45;01.12.2012;14:00;;7323
01.12.2012;14:00;01.12.2012;14:15;;7205
01.12.2012;14:15;01.12.2012;14:30;;7128
01.12.2012;14:30;01.12.2012;14:45;;7130
01.12.2012;14:45;01.12.2012;15:00;;7089
01.12.2012;15:00;01.12.2012;15:15;;7082
01.12.2012;15:15;01.12.2012;15:30;;7087
01.12.2012;15:30;01.12.2012;15:45;;7064
01.12.2012;15:45;01.12.2012;16:00;;7034
01.12.2012;16:00;01.12.2012;16:15;;7142
01.12.2012;16:15;01.12.2012;16:30;;7171
01.12.2012;16:30;01.12.2012;16:45;;7349
01.12.2012;16:45;01.12.2012;17:00;;7593
01.12.2012;17:00;01.12.2012;17:15;;7709
01.12.2012;17:15;01.12.2012;17:30;;7819
01.12.2012;17:30;01.12.2012;17:45;;7810
01.12.2012;17:45;01.12.2012;18:00;;7784
01.12.2012;18:00;01.12.2012;18:15;;7828
01.12.2012;18:15;01.12.2012;18:30;;7828
01.12.2012;18:30;01.12.2012;18:45;;7765
01.12.2012;18:45;01.12.2012;19:00;;7712
01.12.2012;19:00;01.12.2012;19:15;;7614
01.12.2012;19:15;01.12.2012;19:30;;7556
01.12.2012;19:30;01.12.2012;19:45;;7531
01.12.2012;19:45;01.12.2012;20:00;;7464
01.12.2012;20:00;01.12.2012;20:15;;7375
01.12.2012;20:15;01.12.2012;20:30;;7278
01.12.2012;20:30;01.12.2012;20:45;;7227
01.12.2012;20:45;01.12.2012;21:00;;7190
01.12.2012;21:00;01.12.2012;21:15;;7119
01.12.2012;21:15;01.12.2012;21:30;;7123
01.12.2012;21:30;01.12.2012;21:45;;7097
01.12.2012;21:45;01.12.2012;22:00;;7100
01.12.2012;22:00;01.12.2012;22:15;;7268
01.12.2012;22:15;01.12.2012;22:30;;7182
01.12.2012;22:30;01.12.2012;22:45;;7129
01.12.2012;22:45;01.12.2012;23:00;;6920
01.12.2012;23:00;01.12.2012;23:15;;6861
01.12.2012;23:15;01.12.2012;23:30;;6835
01.12.2012;23:30;01.12.2012;23:45;;6749
01.12.2012;23:45;02.12.2012;00:00;;6623
02.12.2012;00:00;02.12.2012;00:15;;7169
02.12.2012;00:15;02.12.2012;00:30;;7071
02.12.2012;00:30;02.12.2012;00:45;;7019
02.12.2012;00:45;02.12.2012;01:00;;6272
02.12.2012;01:00;02.12.2012;01:15;;6114
02.12.2012;01:15;02.12.2012;01:30;;5999
02.12.2012;01:30;02.12.2012;01:45;;5989
02.12.2012;01:45;02.12.2012;02:00;;5961
02.12.2012;02:00;02.12.2012;02:15;;5865
02.12.2012;02:15;02.12.2012;02:30;;5881
02.12.2012;02:30;02.12.2012;02:45;;5763
02.12.2012;02:45;02.12.2012;03:00;;5741
02.12.2012;03:00;02.12.2012;03:15;;5691
02.12.2012;03:15;02.12.2012;03:30;;5686
02.12.2012;03:30;02.12.2012;03:45;;5669
02.12.2012;03:45;02.12.2012;04:00;;5696
02.12.2012;04:00;02.12.2012;04:15;;5652
02.12.2012;04:15;02.12.2012;04:30;;5622
02.12.2012;04:30;02.12.2012;04:45;;5751
02.12.2012;04:45;02.12.2012;05:00;;5806
02.12.2012;05:00;02.12.2012;05:15;;5659
02.12.2012;05:15;02.12.2012;05:30;;5675
02.12.2012;05:30;02.12.2012;05:45;;5540
02.12.2012;05:45;02.12.2012;06:00;;5432
