,daily_cost
0,2.4766541087351115
1,2.936195237576266
2,2.968802217571158
3,2.1901882422272996
4,1.9169879538589947
5,2.6356180879763764
6,2.1494934711758726
7,3.0570235103383805
8,3.237503453630527
9,3.3856502373063213
10,2.8472403120401837
11,3.0382017515240687
12,2.1813168242847354
13,1.7601149861652887
14,2.741843664435222
15,2.7585489267499566
16,2.56641304630892
17,2.1171732756307855
18,1.913765065161106
19,0.9512306964293682
20,0.6408446737875897
21,2.5787992695557884
22,3.19645300706617
23,2.8100323042514237
24,1.9896010582424053
25,1.7986834666398734
26,1.2035606234420264
27,1.2761622775207262
28,3.1338864770722408
29,3.017719296810462
30,2.351229947544433
31,1.7179168623963066
32,2.5727453482706806
33,1.6515093175890736
34,0.9569359763517178
35,2.256717324621248
36,2.64461172806688
37,2.5738489873136077
38,2.273220855181612
39,3.003096380362003
40,1.504071747960714
41,0.9424743148168573
42,1.1464415710794067
43,0.2336295116782927
44,0.06289502446536899
45,1.0160533134694278
46,2.6016083075092578
47,1.1868077331867792
48,0.8171583453961428
49,2.693583328216056
50,2.2202145961163477
51,2.886165595430147
52,2.2267381739635974
53,0.8631225028096479
54,0.052828960687299364
55,0.335205311172627
56,1.1707848632452378
57,1.8679103526244965
58,1.7228311171136694
59,1.375258067638055
60,0.8339149776407946
61,0.07785666240798994
62,-0.12097923872670568
63,1.7232562198117245
64,1.843343936805328
65,2.5053108332197387
66,2.217784012756603
67,-0.638687977480469
68,-1.370597935603043
69,-2.118145795998037
70,-1.1859240718496964
71,-0.6895505732960072
72,-0.2598429341724082
73,-1.6636167942279787
74,0.17242644634222914
75,1.663023107547236
76,1.5242852018486355
77,1.4805833647013469
78,0.858929230260022
79,0.33343241542307034
80,-1.206632536078783
81,-0.4662139557900753
82,-2.6464931116974157
83,-3.0685505844597283
84,-2.718952512724671
85,-2.3727547783360246
86,-0.23395074269478977
87,-1.8414574344249295
88,-1.932168237445453
89,-1.174661423127771
90,-2.441074032946816
91,-1.421724020376708
92,-2.156853892685606
93,-0.602048115074024
94,-0.1363989315284937
95,-0.6504048757015677
96,-2.130474665015379
97,-3.9406263425217514
98,-1.0945591091792575
99,-0.9836673773675746
100,-0.5983655885087762
101,-0.24058311696074108
102,-0.8469231134190127
103,-0.290426398123528
104,-0.9138206337863881
105,-1.295975107962274
106,-0.7165772201972955
107,-1.0145770395672469
108,-2.8843535606799033
109,-0.8583573702883149
110,-0.6441232728007584
111,-1.942646991752106
112,-2.3030230282235573
113,-0.5836767101567637
114,-0.6836005359151676
115,-0.9741786048830057
116,-0.17408611435843957
117,-2.949465093184133
118,-4.759062756029906
119,-0.10201777556449843
120,0.37244284061319277
121,-0.4834029405312368
122,0.18543748384815117
123,0.02032406961653299
124,-3.332296629375981
125,-0.7214789552180947
126,0.9379044208582799
127,-2.4311223678267577
128,-3.9345929185115143
129,-2.3376182474898792
130,-1.5286202719412056
131,-2.946089301152596
132,-2.858883458587284
133,-3.560719040026788
134,-2.626908939068712
135,-3.7383114581838615
136,-0.7393886296293775
137,1.0839641208357897
138,-3.050825155626762
139,-4.205776965082609
140,-3.908070535798768
141,-3.0462983169445814
142,-1.3922250594586396
143,-4.295757609714171
144,-4.714844565788209
145,-4.932310174260102
146,-3.839297453592932
147,-3.667381549771602
148,-2.244805967812634
149,-2.9630652436250178
150,-3.7951761801504595
151,-2.8569545007727597
152,-2.8972982563868546
153,-2.6108683042865763
154,-3.6235801627089526
155,-0.9641795382665683
156,-1.4515368150105017
157,-2.840518960978753
158,-1.2376954945937269
159,-4.15942617337953
160,-3.822345599823793
161,-1.9611615966692226
162,-2.2843050630900414
163,-4.254025178847068
164,-3.3013490784010413
165,-2.0481996789168133
166,-1.5411178256788807
167,-4.266783876110718
168,-4.241261934914246
169,-3.4152382301895665
170,-3.5731003029988444
171,-2.8160557510467576
172,-2.6050491745810227
173,-1.972700766841521
174,-1.2421948784206749
175,-3.349068236610568
176,-0.9898602033785324
177,-0.8068429310534984
178,-0.8272477630216613
179,-1.6185224969806953
180,-0.4170896978072727
181,-1.1164691601338252
182,-2.946793343490939
183,-2.8301095227687747
184,-3.141376466763587
185,-2.913903492633022
186,-2.721763297387296
187,-2.9306359533602464
188,-3.1645253111290956
189,-1.0623706158929043
190,-1.4846426907626507
191,0.3887939283517836
192,-3.0529741304595395
193,-1.2592568433192977
194,-2.394063145132058
195,-1.7051126452852263
196,-2.8949595813060665
197,-3.6555892796076344
198,-2.6128480457276297
199,-1.1776379257757212
200,-3.552982772613676
201,-3.2305381337484143
202,-2.4416807466543156
203,-0.24884565428107086
204,0.8869141349902798
205,-1.1317730655793135
206,-0.6578883660611479
207,-1.4444082555298814
208,-2.4844753335223344
209,-3.1650074254428127
210,-2.5797781962050466
211,-0.8257348025344498
212,-1.7874188884815436
213,-1.2309202312830627
214,-1.4937033104517092
215,-1.7091581614467377
216,-3.4615195135534673
217,-3.8056447476318027
218,-0.0883183100616165
219,-1.8535339413326302
220,1.1120868066495397
221,1.2414489214462625
222,0.021692139782009345
223,-2.915879089598363
224,-3.0711590078271263
225,-1.2789022871272624
226,-2.109961004852583
227,-0.5353226754435649
228,-0.08196733247497434
229,-1.886308622366649
230,-2.5944691070804384
231,-2.350325232243844
232,-2.8432113250714983
233,-3.1223886156455833
234,-1.6485930900657384
235,-2.233536403070183
236,-2.204561794999139
237,-2.719753131028115
238,-2.785954287266997
239,-2.8098672862667535
240,-0.809519951537705
241,0.552167707186896
242,-0.7219391705934588
243,-1.4908197624604806
244,-2.7133597401117386
245,-1.9649956514701499
246,-0.522168014748781
247,-0.07984522910518876
248,-0.29422933813500984
249,0.9623622733649415
250,-0.07674616865752837
251,-1.7361742429788962
252,-0.5451390827649871
253,-0.33333775452701
254,0.3108110701068578
255,0.8165419247904411
256,-0.5426585944793523
257,-1.1543027066417744
258,-1.8089423968836793
259,0.10090953798232993
260,0.3657669520485043
261,0.2785562856728241
262,-1.6267084846248765
263,-0.8712575466183958
264,-1.208121709452258
265,-1.4386557541909237
266,-0.32869315089614615
267,-0.28983535038375896
268,-0.6814620910952081
269,0.7759913613312936
270,0.19751876485510955
271,0.7320153007554242
272,-1.3182748183708308
273,0.8513417589592751
274,-0.3795126419404342
275,0.7358026635372217
276,0.6764401442654333
277,0.916920779001158
278,1.086784742399924
279,0.4063392487167281
280,1.3866178444988644
281,1.9250747379931408
282,1.4740469249286647
283,0.5887814510533014
284,0.3960364810676782
285,-1.3858113025957244
286,-1.629235311929127
287,-0.36597460878079335
288,0.5172692613374803
289,-0.09383449126827026
290,-0.04693910459255113
291,1.0304707383939222
292,1.1320658060288102
293,1.1570808305956573
294,1.9770132817743522
295,2.0049532639757417
296,1.5863372467236418
297,1.2922249452042478
298,0.9890288093753332
299,1.6237202154237842
300,0.615565889854
301,0.7825436464870408
302,0.6381067118171733
303,1.1537436988781336
304,1.5372154610397883
305,1.6612376040813381
306,0.641278014759155
307,1.4214910659647133
308,1.5490271957771378
309,2.2815662018771263
310,2.75151373962508
311,2.517101535072171
312,2.8777504164824315
313,2.3120085644429316
314,1.990173677953524
315,1.7536181578529488
316,1.9280276597427544
317,2.2516497780611058
318,2.7464541877263424
319,1.9418936194782188
320,2.087102491591747
321,1.2682242407777786
322,3.0294581947628583
323,3.0744194952845363
324,1.6708408355069706
325,2.503795873545017
326,2.6235918378689735
327,2.057437833725908
328,2.0499137941495484
329,3.2921879254014303
330,2.689270194336775
331,2.6054739929373882
332,2.998232680765566
333,2.7085131778369917
334,2.3017080804354046
335,2.453104519065753
336,3.35713125924789
337,3.2815405035406515
338,3.2314617708636746
339,2.7332324618992154
340,3.1375170616452417
341,2.6924783740840823
342,2.749706066666502
343,3.5043334258519607
344,3.298379868504215
345,3.119570875699184
346,3.124863732568029
347,2.708374616697493
348,2.1723441901358447
349,2.178944593179164
350,3.2974482223600683
351,3.149164082101484
352,2.9961502849110073
353,2.9551448997606293
354,2.6443360338637096
355,2.2388024149686676
356,1.7268051351042777
357,1.412520002420131
358,1.404900911442621
359,2.1045622450742374
